,Feature,Importance
15,Orthologs count,0.036897435897435896
10,BIOGRID,0.030205128205128204
5,OncoDB_expression,0.029333333333333333
12,REACTOME,0.023974358974358973
0,Gene length,0.02278205128205128
6,HPA_kidney,0.022051282051282053
3,GTEX_kidney,0.017692307692307695
13,UCSC_TFBS,0.015025641025641027
2,GC content,0.013064102564102564
2645,protein-containing complex,0.012294871794871796
2983,Spliceosomal complex,0.010282051282051282
8,GO-BP,0.0077051282051282055
2770,RNA polymerase complex,0.007
1916,MIS12/MIND type complex,0.006871794871794872
14,UP_tissue,0.0066410256410256415
2232,Nucleus,0.006461538461538461
1,Transcripts count,0.0063717948717948725
1289,GO:0044444,0.006115384615384615
1845,Membrane,0.00608974358974359
782,Cytosol,0.005961538461538461
9,GO-CC,0.005948717948717949
11,KEGG,0.00558974358974359
2750,Ribonucleoprotein complex,0.005230769230769231
743,Cytoplasm,0.005076923076923077
1614,Intrinsic component of membrane,0.005076923076923077
4,Gene-Disease association,0.005025641025641026
1971,Mitochondrion,0.00491025641025641
2174,Nuclear lumen,0.004717948717948717
2212,Nucleolus,0.004653846153846154
1070,Extracellular region,0.004217948717948718
1265,GO:0005623,0.004205128205128205
7,GO-MF,0.004205128205128205
1288,GO:0044424,0.004179487179487179
2566,Preribosome,0.0041025641025641026
479,Chaperone complex,0.0038846153846153844
1593,Intracellular non-membrane-bounded organelle,0.0037307692307692306
3250,Ubiquitin ligase complex,0.003602564102564103
2754,Ribosomal subunit,0.003602564102564103
2564,Prefoldin complex,0.0035769230769230765
2933,sno(s)RNA-containing ribonucleoprotein complex,0.0033205128205128207
232,ATPase complex,0.003307692307692308
2755,Ribosome,0.0032820512820512823
863,DNA polymerase complex,0.0032564102564102567
1602,Intramolecular phosphotransferase complex,0.0031794871794871794
3155,"Transferase complex, transferring phosphorus-containing groups",0.0031153846153846158
1819,MCM complex,0.0030641025641025637
881,DNA-directed RNA polymerase complex,0.002935897435897436
16,Driver_genes_MUT (all),0.002923076923076923
2751,Ribonucleoprotein granule,0.002897435897435897
533,Chromosome,0.002846153846153846
2195,Nuclear protein-containing complex,0.002846153846153846
427,Cell junction,0.0028333333333333335
3150,Transcription export complex,0.002794871794871795
779,Cytoskeleton,0.002717948717948718
166,Anchoring junction,0.0026794871794871794
2704,Receptor complex,0.0026538461538461538
1595,Intracellular organelle lumen,0.002564102564102564
2216,Nucleomorph,0.002423076923076923
2263,Origin recognition complex,0.0024102564102564104
393,Catalytic complex,0.0023589743589743587
522,Chromatin,0.002346153846153846
2217,Nucleoplasm,0.0023333333333333335
1850,Membrane protein complex,0.0023205128205128207
3154,Transferase complex,0.002307692307692308
45,90S preribosome,0.002294871794871795
532,Chromosomal region,0.002269230769230769
454,cellular_component,0.002205128205128205
789,Cytosolic ribosome,0.002141025641025641
3044,Supramolecular complex,0.002141025641025641
2973,Spindle microtubule,0.002128205128205128
3152,Transcription preinitiation complex,0.0021025641025641025
1318,Golgi apparatus,0.0020897435897435897
441,Cell wall,0.002076923076923077
3241,U5 snRNP,0.002076923076923077
2290,"PAM complex, Tim23 associated import motor",0.002064102564102564
1033,Eukaryotic translation initiation factor 2 complex,0.002064102564102564
3287,Vesicle,0.0020384615384615385
1065,Extracellular matrix,0.002012820512820513
2647,protein-DNA complex,0.002012820512820513
640,"Condensed chromosome, centromeric region",0.002012820512820513
1049,exon-exon junction complex,0.0019743589743589744
1499,Integral component of membrane,0.001923076923076923
2984,Spliceosomal snRNP complex,0.0018974358974358976
3045,Supramolecular fiber,0.0018846153846153848
1882,Microbody,0.0018717948717948717
430,Cell periphery,0.001858974358974359
861,DNA methyltransferase complex,0.0018461538461538461
387,Cardiac Troponin complex,0.0018205128205128205
2771,RNA polymerase I complex,0.0018076923076923077
1596,Intracellular protein-containing complex,0.0017820512820512818
445,cell-substrate junction,0.0017692307692307693
2669,Prp19 complex,0.0017564102564102564
2659,proton-transporting two-sector ATPase complex,0.0017307692307692308
2240,Oligosaccharyltransferase complex,0.001705128205128205
1707,Large ribosomal subunit,0.001705128205128205
1587,Intracellular anatomical structure,0.001705128205128205
1899,Microtubule cytoskeleton,0.0016923076923076922
629,collagen-containing extracellular matrix,0.0016794871794871794
1192,GARP complex,0.0016794871794871794
2430,Plasma membrane,0.0016794871794871794
2204,Nuclear ubiquitin ligase complex,0.0016666666666666668
785,Cytosolic large ribosomal subunit,0.001653846153846154
968,Endoplasmic reticulum quality control compartment,0.001653846153846154
1352,Growth factor complex,0.0016282051282051283
2185,Nuclear pore,0.0016282051282051283
2431,Plasma membrane bounded cell projection,0.0016153846153846153
446,Cellular anatomical entity,0.0016153846153846153
2603,Proteasome accessory complex,0.0016153846153846153
1385,Heterochromatin,0.0016025641025641025
858,DNA helicase complex,0.0015897435897435897
536,"chromosome, centromeric region",0.001564102564102564
2258,Organelle membrane,0.001564102564102564
1897,Microtubule associated complex,0.0015128205128205128
1955,Mitochondrial protein-containing complex,0.0015128205128205128
57,Acidocalcisome,0.0015
1874,Methyltransferase complex,0.0014871794871794872
955,Endomembrane system,0.0014871794871794872
1434,i-AAA complex,0.0014871794871794872
2164,Nuclear DNA-directed RNA polymerase complex,0.0014615384615384616
444,cell-cell junction,0.0014487179487179486
2159,Nuclear chromosome,0.0014487179487179486
1592,Intracellular membrane-bounded organelle,0.001423076923076923
1594,Intracellular organelle,0.001423076923076923
1945,Mitochondrial matrix,0.0014102564102564104
1853,membrane-bounded organelle,0.0014102564102564104
2157,Nuclear body,0.0013846153846153847
3196,Tubulin complex,0.0013846153846153847
2914,Sm-like protein family complex,0.0013717948717948717
421,Cell cortex,0.0013717948717948717
2223,Nucleosome,0.0013717948717948717
964,Endoplasmic reticulum lumen,0.001346153846153846
1367,H4 histone acetyltransferase complex,0.0013333333333333333
2959,Sperm head,0.0013333333333333333
960,Endoplasmic reticulum,0.0013333333333333333
1055,External encapsulating structure,0.0013205128205128205
2368,Phosphatidylinositol 3-kinase complex,0.0013205128205128205
2452,Plastid,0.0013076923076923077
1981,Mitotic spindle,0.0012692307692307692
1776,LYSP100-associated nuclear domain,0.0012692307692307692
2317,Peptidase complex,0.0012692307692307692
2916,Small nuclear ribonucleoprotein complex,0.0012564102564102564
151,anaphase-promoting complex,0.0012564102564102564
771,Cytoplasmic stress granule,0.0012435897435897436
1902,Microtubule organizing center,0.0012435897435897436
3050,SWI/SNF complex,0.0012435897435897436
3171,Transporter complex,0.0012435897435897436
3159,Translation initiation complex,0.001217948717948718
2435,Plasma membrane protein complex,0.001217948717948718
2318,Peptidase inhibitor complex,0.0012051282051282052
368,Cajal body,0.0011923076923076924
2089,Ndc80 complex,0.0011794871794871794
2083,Nascent polypeptide-associated complex,0.0011666666666666668
2048,Myb complex,0.0011666666666666668
681,Creatine kinase complex,0.001153846153846154
1087,Extrinsic component of membrane,0.001141025641025641
2132,NMS complex,0.0011282051282051281
1279,GO:0031975,0.0011282051282051281
1510,Integral component of plasma membrane,0.0011282051282051281
1896,Microtubule,0.0011153846153846155
2455,Plastid envelope,0.0011153846153846155
1181,GAIT complex,0.0011153846153846155
482,chaperonin-containing T-complex,0.0011153846153846155
2253,Organelle,0.0011153846153846155
2334,Perinuclear region of cytoplasm,0.0011025641025641025
1866,methionine-importing ABC transporter complex,0.0011025641025641025
2254,Organelle envelope,0.0011025641025641025
133,aminoacyl-tRNA synthetase multienzyme complex,0.0011025641025641025
2077,N-terminal protein acetyltransferase complex,0.0011025641025641025
1245,Glycoprotein complex,0.0010897435897435897
669,Cortical cytoskeleton,0.0010897435897435897
68,Actin cytoskeleton,0.0010897435897435897
939,Electron transfer flavoprotein complex,0.0010769230769230769
870,DNA repair complex,0.0010769230769230769
2848,Secretory vesicle,0.0010512820512820513
3060,Synapse,0.0010512820512820513
3136,TOR complex,0.0010256410256410256
2172,Nuclear inner membrane,0.0010256410256410256
1355,GTPase complex,0.0010256410256410256
2688,R2TP complex,0.0010256410256410256
2282,Oxidoreductase complex,0.0010256410256410256
2606,Proteasome core complex,0.0010128205128205128
3151,Transcription export complex 2,0.0010128205128205128
1071,Extracellular space,0.001
3157,Transforming growth factor beta complex,0.001
3051,SWI/SNF superfamily-type complex,0.0009871794871794872
2165,Nuclear envelope,0.0009871794871794872
2192,Nuclear pore transmembrane ring,0.0009871794871794872
1401,Histone deacetylase complex,0.0009871794871794872
1035,Eukaryotic translation initiation factor 3 complex,0.0009743589743589743
2570,Presynapse,0.0009743589743589743
1014,ESC/E(Z) complex,0.0009743589743589743
1626,Intrinsic component of plasma membrane,0.0009743589743589743
3135,TOM complex,0.0009743589743589743
2572,Presynaptic active zone,0.0009615384615384615
2100,Neuromuscular junction,0.0009615384615384615
3210,Type III intermediate filament,0.0009615384615384615
422,Cell cortex region,0.0009487179487179488
805,Delta1 complex,0.0009487179487179488
1520,Integrator complex,0.0009487179487179488
1932,Mitochondrial envelope,0.0009487179487179488
2529,Postsynapse,0.0009487179487179488
1335,Golgi-associated vesicle membrane,0.0009487179487179488
2970,Spindle,0.0009358974358974359
1458,Immunoglobulin complex,0.0009358974358974359
2025,Multimerin complex,0.0009358974358974359
2605,Proteasome complex,0.0009358974358974359
2444,Plasma membrane signaling receptor complex,0.0009358974358974359
2514,Polysome,0.0009230769230769231
1968,Mitochondrial ribosome,0.0009230769230769231
3024,Subpellicular microtubule,0.0009230769230769231
753,Cytoplasmic region,0.0009230769230769231
340,Bounding membrane of organelle,0.0009102564102564102
2510,Polymeric cytoskeletal fiber,0.0009102564102564102
2915,SMAD protein complex,0.0009102564102564102
3235,U4 snRNP,0.0009102564102564102
1332,Golgi transport complex,0.0009102564102564102
560,Cilium,0.0008974358974358975
781,Cytoskeleton of presynaptic active zone,0.0008974358974358975
1579,Intermediate filament,0.0008974358974358975
1061,Extracellular exosome,0.0008846153846153846
862,DNA packaging complex,0.0008846153846153846
1382,Hemoglobin complex,0.0008846153846153846
2261,Organelle subcompartment,0.0008846153846153846
1580,Intermediate filament cytoskeleton,0.0008717948717948718
1172,G protein-coupled receptor complex,0.0008717948717948718
2331,Perinuclear endoplasmic reticulum,0.0008717948717948718
978,Endoribonuclease complex,0.0008717948717948718
2102,Neuron projection,0.0008717948717948718
