,number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_learning_rate,params_n_estimators,params_n_voters,state
0,0,0.8336893540390455,2024-06-05 09:02:04.931591,2024-06-05 09:03:21.744324,0 days 00:01:16.812733,dart,0.059358765481589325,120,4,COMPLETE
1,1,0.5,2024-06-05 09:03:21.790121,2024-06-05 09:03:56.267361,0 days 00:00:34.477240,gbdt,0.0011626830190072626,60,8,COMPLETE
2,2,0.8112798606419345,2024-06-05 09:03:56.292140,2024-06-05 09:04:41.707140,0 days 00:00:45.415000,gbdt,0.047005854602445926,60,3,COMPLETE
3,3,0.8632120420695983,2024-06-05 09:04:41.730677,2024-06-05 09:05:20.081727,0 days 00:00:38.351050,gbdt,0.025586809258292934,60,11,COMPLETE
4,4,0.6911586307707378,2024-06-05 09:05:20.105748,2024-06-05 09:06:34.957688,0 days 00:01:14.851940,gbdt,0.002881705029329282,160,6,COMPLETE
5,5,0.8727292551099638,2024-06-05 09:06:34.979220,2024-06-05 09:07:29.761371,0 days 00:00:54.782151,gbdt,0.04538788430149881,80,15,COMPLETE
6,6,0.5,2024-06-05 09:07:29.787005,2024-06-05 09:08:28.366860,0 days 00:00:58.579855,gbdt,0.0017896080688358683,80,2,COMPLETE
7,7,0.5,2024-06-05 09:08:28.390700,2024-06-05 09:09:43.382616,0 days 00:01:14.991916,gbdt,0.0018125571606215024,160,6,COMPLETE
8,8,0.5,2024-06-05 09:09:43.414233,2024-06-05 09:12:27.286404,0 days 00:02:43.872171,dart,0.0015733342863026496,200,1,COMPLETE
9,9,0.8471302776069134,2024-06-05 09:12:27.309588,2024-06-05 09:13:41.290758,0 days 00:01:13.981170,dart,0.007811503556843254,160,10,COMPLETE
10,10,0.8793240579213262,2024-06-05 09:13:41.320724,2024-06-05 09:14:54.764453,0 days 00:01:13.443729,gbdt,0.09673541869082392,100,18,COMPLETE
11,11,0.879808710383285,2024-06-05 09:14:54.793705,2024-06-05 09:16:07.915793,0 days 00:01:13.122088,gbdt,0.09670282359655182,100,18,COMPLETE
12,12,0.8784446946899822,2024-06-05 09:16:07.935522,2024-06-05 09:17:37.449536,0 days 00:01:29.514014,gbdt,0.09127853391560228,120,20,COMPLETE
13,13,0.8767452549409647,2024-06-05 09:17:37.472052,2024-06-05 09:18:55.673680,0 days 00:01:18.201628,gbdt,0.09945515430917751,100,20,COMPLETE
14,14,0.8514633714602078,2024-06-05 09:18:55.696144,2024-06-05 09:19:59.389435,0 days 00:01:03.693291,dart,0.018080496600196307,100,16,COMPLETE
15,15,0.8843413768415533,2024-06-05 09:19:59.416939,2024-06-05 09:21:31.526177,0 days 00:01:32.109238,gbdt,0.0982156566543175,140,16,COMPLETE
16,16,0.876961920324209,2024-06-05 09:21:31.550643,2024-06-05 09:22:54.516601,0 days 00:01:22.965958,gbdt,0.02889463353046438,140,14,COMPLETE
17,17,0.8710729915598625,2024-06-05 09:22:54.537456,2024-06-05 09:24:41.720346,0 days 00:01:47.182890,gbdt,0.01446152395728934,200,13,COMPLETE
18,18,0.8653262628507152,2024-06-05 09:24:41.741403,2024-06-05 09:26:08.695049,0 days 00:01:26.953646,dart,0.05409831061268894,140,17,COMPLETE
19,19,0.865889594236819,2024-06-05 09:26:08.717997,2024-06-05 09:27:41.726857,0 days 00:01:33.008860,gbdt,0.00870107269431442,180,12,COMPLETE
20,20,0.8715248716836914,2024-06-05 09:27:41.755230,2024-06-05 09:29:03.362539,0 days 00:01:21.607309,gbdt,0.032712974197082814,120,18,COMPLETE
21,21,0.8785425637043833,2024-06-05 09:29:03.386170,2024-06-05 09:30:16.660633,0 days 00:01:13.274463,gbdt,0.09783838080745638,100,18,COMPLETE
22,22,0.8753850749730259,2024-06-05 09:30:16.682583,2024-06-05 09:31:18.273324,0 days 00:01:01.590741,gbdt,0.0624845776273787,80,19,COMPLETE
23,23,0.881700052435741,2024-06-05 09:31:18.296233,2024-06-05 09:32:27.773046,0 days 00:01:09.476813,gbdt,0.0741450689101418,100,16,COMPLETE
24,24,0.8812941796327481,2024-06-05 09:32:27.794306,2024-06-05 09:33:56.466079,0 days 00:01:28.671773,gbdt,0.07155696443648016,140,15,COMPLETE
25,25,0.8780276598533816,2024-06-05 09:33:56.490324,2024-06-05 09:35:22.971430,0 days 00:01:26.481106,gbdt,0.03931677484629508,140,15,COMPLETE
26,26,0.8705883390979036,2024-06-05 09:35:22.987616,2024-06-05 09:37:01.987030,0 days 00:01:38.999414,dart,0.06115483843507888,180,13,COMPLETE
27,27,0.883252924169325,2024-06-05 09:37:02.022558,2024-06-05 09:38:33.492695,0 days 00:01:31.470137,gbdt,0.06715104866081788,140,16,COMPLETE
28,28,0.8762781211870645,2024-06-05 09:38:33.517211,2024-06-05 09:39:35.165316,0 days 00:01:01.648105,gbdt,0.0384583908363618,120,10,COMPLETE
29,29,0.8698833693051078,2024-06-05 09:39:35.193187,2024-06-05 09:40:50.426974,0 days 00:01:15.233787,dart,0.06834617679967112,120,16,COMPLETE
30,30,0.8855142484042392,2024-06-05 09:40:50.447946,2024-06-05 09:42:24.691140,0 days 00:01:34.243194,gbdt,0.04976465699679436,160,13,COMPLETE
31,31,0.8848575411670986,2024-06-05 09:42:24.713783,2024-06-05 09:44:01.525807,0 days 00:01:36.812024,gbdt,0.06680334577151206,160,14,COMPLETE
32,32,0.8853579495608507,2024-06-05 09:44:01.549875,2024-06-05 09:45:45.326905,0 days 00:01:43.777030,gbdt,0.04656473581634749,180,13,COMPLETE
33,33,0.8858583579546027,2024-06-05 09:45:45.350181,2024-06-05 09:47:26.614140,0 days 00:01:41.263959,gbdt,0.04621529935932453,180,12,COMPLETE
34,34,0.8863031297815583,2024-06-05 09:47:26.637552,2024-06-05 09:48:54.421916,0 days 00:01:27.784364,gbdt,0.048135797031692705,180,8,COMPLETE
35,35,0.8792954252918982,2024-06-05 09:48:54.445373,2024-06-05 09:50:19.120657,0 days 00:01:24.675284,gbdt,0.024141568538925014,180,8,COMPLETE
36,36,0.8821557139832004,2024-06-05 09:50:19.143800,2024-06-05 09:51:46.511520,0 days 00:01:27.367720,gbdt,0.04529774778918278,180,8,COMPLETE
37,37,0.8868119069467273,2024-06-05 09:51:46.535456,2024-06-05 09:53:32.096925,0 days 00:01:45.561469,gbdt,0.050481524996744666,200,11,COMPLETE
38,38,0.8818733676854662,2024-06-05 09:53:32.128452,2024-06-05 09:55:16.953392,0 days 00:01:44.824940,gbdt,0.034758916071936284,200,11,COMPLETE
39,39,0.8754046123284493,2024-06-05 09:55:16.974947,2024-06-05 09:56:59.334703,0 days 00:01:42.359756,gbdt,0.051323479342554816,200,6,COMPLETE
40,40,0.8628219251983987,2024-06-05 09:56:59.355506,2024-06-05 09:58:11.368406,0 days 00:01:12.012900,dart,0.023324486705492566,160,9,COMPLETE
41,41,0.8829044358620133,2024-06-05 09:58:11.389901,2024-06-05 09:59:51.266725,0 days 00:01:39.876824,gbdt,0.04440402937475066,180,12,COMPLETE
42,42,0.8875934011636701,2024-06-05 09:59:51.298225,2024-06-05 10:01:29.227557,0 days 00:01:37.929332,gbdt,0.05069605201315145,180,11,COMPLETE
43,43,0.8666159558241502,2024-06-05 10:01:29.251626,2024-06-05 10:03:15.094306,0 days 00:01:45.842680,gbdt,0.03461442188207725,200,5,COMPLETE
44,44,0.8852757533194231,2024-06-05 10:03:15.117075,2024-06-05 10:04:34.155724,0 days 00:01:19.038649,gbdt,0.052978201304650134,160,9,COMPLETE
45,45,0.8786081083806432,2024-06-05 10:04:34.178004,2024-06-05 10:06:02.102581,0 days 00:01:27.924577,gbdt,0.031388723581207596,180,7,COMPLETE
46,46,0.8829359477255998,2024-06-05 10:06:02.125392,2024-06-05 10:07:50.452718,0 days 00:01:48.327326,gbdt,0.04136574830401425,200,11,COMPLETE
47,47,0.876840292833446,2024-06-05 10:07:50.477770,2024-06-05 10:09:28.407283,0 days 00:01:37.929513,gbdt,0.02790626415451452,180,12,COMPLETE
48,48,0.8842178503362946,2024-06-05 10:09:28.429601,2024-06-05 10:10:48.156332,0 days 00:01:19.726731,gbdt,0.05390023323777349,160,10,COMPLETE
49,49,0.8494409156325113,2024-06-05 10:10:48.178928,2024-06-05 10:12:39.389946,0 days 00:01:51.211018,gbdt,0.02048890634046051,200,4,COMPLETE
