,number,values_0,values_1,datetime_start,datetime_complete,duration,params_boosting_type,params_learning_rate,params_n_estimators,params_n_voters,system_attrs_nsga2:generation,state
0,0,0.8551206370922111,0.4548197742715752,2024-05-31 12:07:52.971263,2024-05-31 12:08:04.484900,0 days 00:00:11.513637,dart,0.02208064774498075,70,14,0,COMPLETE
1,1,0.8308542980922702,0.4925007603206622,2024-05-31 12:08:04.485869,2024-05-31 12:08:19.260955,0 days 00:00:14.775086,gbdt,0.005421880091003205,140,10,0,COMPLETE
2,2,0.8537994139157019,0.45396255953112485,2024-05-31 12:08:19.261596,2024-05-31 12:08:39.112988,0 days 00:00:19.851392,dart,0.013232837476350475,180,14,0,COMPLETE
3,3,0.8798235835592376,0.4758680379366455,2024-05-31 12:08:39.113490,2024-05-31 12:08:51.744074,0 days 00:00:12.630584,gbdt,0.06004775667070801,70,18,0,COMPLETE
4,4,0.856349387313893,0.5488901081766643,2024-05-31 12:08:51.744717,2024-05-31 12:09:07.140017,0 days 00:00:15.395300,gbdt,0.03081386209958153,190,8,0,COMPLETE
5,5,0.6623913759468978,0.4377379006203235,2024-05-31 12:09:07.140515,2024-05-31 12:09:16.248060,0 days 00:00:09.107545,dart,0.0012120309856995422,80,11,0,COMPLETE
6,6,0.7662081021509463,0.5519427774734443,2024-05-31 12:09:16.248578,2024-05-31 12:09:24.991441,0 days 00:00:08.742863,gbdt,0.04066085812662342,120,3,0,COMPLETE
7,7,0.8300021957048636,0.359124805741653,2024-05-31 12:09:24.991978,2024-05-31 12:09:36.377692,0 days 00:00:11.385714,dart,0.002952357794427005,80,15,0,COMPLETE
8,8,0.8611389796728399,0.4276758564302567,2024-05-31 12:09:36.378382,2024-05-31 12:09:58.464422,0 days 00:00:22.086040,gbdt,0.009560764753481442,160,19,0,COMPLETE
9,9,0.6734328156536866,0.4689404521557589,2024-05-31 12:09:58.465167,2024-05-31 12:10:05.529440,0 days 00:00:07.064273,dart,0.01563386579886055,90,3,0,COMPLETE
10,10,0.7929572766503679,0.5313969924625565,2024-05-31 12:10:05.530171,2024-05-31 12:10:13.179063,0 days 00:00:07.648892,dart,0.044425382037632674,80,5,0,COMPLETE
11,11,0.5,0.0,2024-05-31 12:10:13.179778,2024-05-31 12:10:21.644540,0 days 00:00:08.464762,dart,0.001998731134484252,80,1,0,COMPLETE
12,12,0.8555880688775725,0.48035576271261665,2024-05-31 12:10:21.645203,2024-05-31 12:10:43.108649,0 days 00:00:21.463446,dart,0.022114182760567577,190,12,0,COMPLETE
13,13,0.8803708207713681,0.480453849192634,2024-05-31 12:10:43.109343,2024-05-31 12:11:03.326925,0 days 00:00:20.217582,gbdt,0.03150562317011261,140,17,0,COMPLETE
14,14,0.8549568037293203,0.5241426379401468,2024-05-31 12:11:03.327419,2024-05-31 12:11:20.492166,0 days 00:00:17.164747,dart,0.08503673667041212,160,9,0,COMPLETE
15,15,0.8477223784550683,0.43133982316284425,2024-05-31 12:11:20.492681,2024-05-31 12:11:36.206565,0 days 00:00:15.713884,dart,0.004565022640434371,150,14,0,COMPLETE
16,16,0.843016814032243,0.5144404296260321,2024-05-31 12:11:36.207070,2024-05-31 12:11:51.109761,0 days 00:00:14.902691,gbdt,0.007776912171660401,150,9,0,COMPLETE
17,17,0.8326779998817697,0.4709731834084654,2024-05-31 12:11:51.110313,2024-05-31 12:12:06.091642,0 days 00:00:14.981329,dart,0.004875432460910388,150,11,0,COMPLETE
18,18,0.8354184084517747,0.4817202386720813,2024-05-31 12:12:06.092165,2024-05-31 12:12:19.409582,0 days 00:00:13.317417,dart,0.0017710947861007097,120,12,0,COMPLETE
19,19,0.848181365221724,0.4907371467677806,2024-05-31 12:12:19.410243,2024-05-31 12:12:37.607249,0 days 00:00:18.197006,gbdt,0.008860957776209516,180,11,0,COMPLETE
20,20,0.836160303345072,0.4090898349450184,2024-05-31 12:12:37.607743,2024-05-31 12:12:57.758437,0 days 00:00:20.150694,dart,0.007216866897899055,160,15,0,COMPLETE
21,21,0.6634368692626654,0.4755531723654153,2024-05-31 12:12:57.758948,2024-05-31 12:13:05.459855,0 days 00:00:07.700907,gbdt,0.06892841487215584,60,1,0,COMPLETE
22,22,0.8450799321020497,0.42946447258143106,2024-05-31 12:13:05.460357,2024-05-31 12:13:20.919555,0 days 00:00:15.459198,dart,0.015121666955269926,140,15,0,COMPLETE
23,23,0.5,0.0,2024-05-31 12:13:20.920079,2024-05-31 12:13:26.076583,0 days 00:00:05.156504,dart,0.003824483691363801,70,3,0,COMPLETE
24,24,0.79697879455803,0.3039478452324004,2024-05-31 12:13:26.077067,2024-05-31 12:13:46.941142,0 days 00:00:20.864075,gbdt,0.0024751023392032287,150,19,0,COMPLETE
25,25,0.5,0.0,2024-05-31 12:13:46.941655,2024-05-31 12:14:02.401194,0 days 00:00:15.459539,dart,0.0011248309518653132,110,18,0,COMPLETE
26,26,0.5,0.0,2024-05-31 12:14:02.401695,2024-05-31 12:14:13.884311,0 days 00:00:11.482616,gbdt,0.0014295146664866799,150,7,0,COMPLETE
27,27,0.7561631746514319,0.5375931119881164,2024-05-31 12:14:13.884845,2024-05-31 12:14:21.320359,0 days 00:00:07.435514,gbdt,0.03177207659420183,90,3,0,COMPLETE
28,28,0.8356409346946703,0.49243337025057454,2024-05-31 12:14:21.320922,2024-05-31 12:14:34.489410,0 days 00:00:13.168488,gbdt,0.008037318525553722,120,10,0,COMPLETE
29,29,0.8428154003361117,0.4164089379812375,2024-05-31 12:14:34.489913,2024-05-31 12:14:50.068163,0 days 00:00:15.578250,gbdt,0.005068863466585009,140,15,0,COMPLETE
30,30,0.5,0.0,2024-05-31 12:14:50.068655,2024-05-31 12:14:54.262153,0 days 00:00:04.193498,gbdt,0.006384319758234372,50,4,0,COMPLETE
31,31,0.8549204901488857,0.457312017916272,2024-05-31 12:14:54.262642,2024-05-31 12:15:15.180047,0 days 00:00:20.917405,dart,0.01425616720171007,200,14,0,COMPLETE
32,32,0.5,0.0,2024-05-31 12:15:15.180569,2024-05-31 12:15:28.384356,0 days 00:00:13.203787,dart,0.001472771228642107,130,9,0,COMPLETE
33,33,0.8445466291707836,0.46518391494782446,2024-05-31 12:15:28.384870,2024-05-31 12:15:44.464890,0 days 00:00:16.080020,dart,0.007839308561921391,160,12,0,COMPLETE
34,34,0.8354745678261677,0.3816981660618802,2024-05-31 12:15:44.465440,2024-05-31 12:15:54.815584,0 days 00:00:10.350144,dart,0.0063930383399946325,80,16,0,COMPLETE
35,35,0.850311621190241,0.44384493814893655,2024-05-31 12:15:54.816229,2024-05-31 12:16:08.257489,0 days 00:00:13.441260,dart,0.012483239831304461,120,14,0,COMPLETE
36,36,0.7985402785167169,0.542198642343226,2024-05-31 12:16:08.257999,2024-05-31 12:16:14.928099,0 days 00:00:06.670100,dart,0.04651143424637172,90,5,0,COMPLETE
37,37,0.810137400454342,0.49341342396973037,2024-05-31 12:16:14.928606,2024-05-31 12:16:21.577512,0 days 00:00:06.648906,dart,0.014683498863909922,50,9,0,COMPLETE
38,38,0.7716483832011688,0.4782080438364026,2024-05-31 12:16:21.577973,2024-05-31 12:16:36.457481,0 days 00:00:14.879508,gbdt,0.0033634750794611042,190,8,0,COMPLETE
39,39,0.8469749942996123,0.42936989074311366,2024-05-31 12:16:36.458029,2024-05-31 12:17:00.230071,0 days 00:00:23.772042,dart,0.016532608970526677,170,16,0,COMPLETE
40,40,0.8151199614907148,0.5204295601195451,2024-05-31 12:17:00.231501,2024-05-31 12:17:14.354800,0 days 00:00:14.123299,dart,0.024740863969691388,200,6,0,COMPLETE
41,41,0.7181500342023257,0.516417088047933,2024-05-31 12:17:14.355324,2024-05-31 12:17:28.841549,0 days 00:00:14.486225,gbdt,0.014189830793085343,190,2,0,COMPLETE
42,42,0.5,0.0,2024-05-31 12:17:28.842059,2024-05-31 12:17:47.079067,0 days 00:00:18.237008,gbdt,0.001304823724103692,120,19,0,COMPLETE
43,43,0.777654058253739,0.499929658998506,2024-05-31 12:17:47.079608,2024-05-31 12:17:56.539342,0 days 00:00:09.459734,gbdt,0.0076740472342386274,110,7,0,COMPLETE
44,44,0.8579226942987679,0.42645105570095354,2024-05-31 12:17:56.540054,2024-05-31 12:18:10.157518,0 days 00:00:13.617464,dart,0.03482295024614374,80,19,0,COMPLETE
45,45,0.8712020639625717,0.45752030384666,2024-05-31 12:18:10.158080,2024-05-31 12:18:35.686139,0 days 00:00:25.528059,dart,0.05152748700305101,180,19,0,COMPLETE
46,46,0.841853934956466,0.3913225386902276,2024-05-31 12:18:35.686807,2024-05-31 12:18:55.304637,0 days 00:00:19.617830,dart,0.006106520782634371,140,17,0,COMPLETE
47,47,0.8561787979360374,0.42236568796799223,2024-05-31 12:18:55.305356,2024-05-31 12:19:10.925284,0 days 00:00:15.619928,dart,0.03160029675955079,90,19,0,COMPLETE
48,48,0.8467748473562868,0.43139642741286605,2024-05-31 12:19:10.925898,2024-05-31 12:19:27.523223,0 days 00:00:16.597325,dart,0.005721405389283758,140,14,0,COMPLETE
49,49,0.8581899791408039,0.44633244608146566,2024-05-31 12:19:27.523837,2024-05-31 12:19:48.311206,0 days 00:00:20.787369,gbdt,0.009383253593005117,170,16,0,COMPLETE
