gene,label,prediction,probabilities
A4GNT,1,1,5.747176101689177e-09
AAAS,1,0,0.9995471700596659
AASDH,1,1,0.01220873353128198
ABCA2,1,1,0.022590613650861013
ABCA3,1,1,5.319205323761622e-07
ABCA8,1,1,7.435725146720529e-10
ABCA9,1,1,3.9082976854842856e-10
ABCB11,1,1,1.6291100264353986e-06
ABCC2,1,1,4.529055632921386e-05
ABCC3,1,1,0.0018906044230565077
ABCC5,1,1,0.00020036413318887946
ABCC8,1,1,0.00011340796028047606
ABCD1,1,1,1.2084527800548805e-05
ABCG1,1,1,3.526206809534305e-06
ABHD13,1,1,0.00020300605516726522
ABHD2,1,1,1.3855019576070048e-09
ABHD3,1,1,9.873681256267197e-06
ABI2,1,1,0.0013424554477563632
ABL2,1,1,0.0018530681379258617
ABR,1,1,1.1227676074199166e-06
ABTB2,1,1,3.8566898035719e-06
ACAD11,1,1,0.006327541092322831
ACAD9,1,1,0.040015928863266104
ACADSB,1,1,5.194969954522843e-05
ACCS,1,1,7.26794874599479e-05
ACE2,1,1,0.0016997104865607681
ACIN1,1,0,0.9307328432521775
ACKR1,1,1,1.3406669036042373e-07
ACOD1,1,1,0.001915457358760586
ACP1,1,1,0.009905575448049575
ACP5,1,1,1.3010385573775096e-06
ACR,1,1,7.14192273998382e-07
ACSM3,1,1,3.096918809860627e-05
ACTB,0,0,0.8956745504169964
ACTL10,1,1,7.645437681835787e-08
ACTL6A,0,0,0.9971597830629122
ACTL7A,1,1,6.775597773733822e-07
ACTL8,1,1,1.4522053773846633e-05
ACTL9,1,1,5.193730413299847e-07
ACTR3C,1,1,3.09445404744757e-07
ACTR8,1,0,0.7877114954817945
ACVR1,1,1,4.6346707736066863e-07
ACVR1C,1,1,4.983546209036405e-09
ACVR2B,1,1,3.1265384082823644e-06
ADA,1,1,0.0021466543779973036
ADAD1,1,1,2.3279458686453757e-05
ADAM29,1,1,1.7982835220919924e-10
ADAM32,1,1,4.14770510159812e-09
ADAM33,1,1,5.432759930812381e-09
ADAMTS15,1,1,7.364169274381993e-10
ADAMTS2,1,1,7.69203030825949e-08
ADAMTSL1,1,1,7.13247194639166e-10
ADAMTSL3,1,1,3.838262963018479e-09
ADAMTSL5,1,1,7.466721626214756e-07
ADARB1,1,0,0.5302905473420729
ADARB2,1,1,0.007343442461411109
ADCK1,1,1,2.320112125282492e-05
ADCK5,1,1,1.3975064237603529e-05
ADCY1,1,1,5.23014243025699e-09
ADCY2,1,1,4.306270952492142e-07
ADCY6,1,1,1.8423094794162152e-08
ADCY8,1,1,2.1967870227901365e-06
ADD2,1,1,1.101478830720648e-05
ADGRA1,1,1,9.992075835407731e-07
ADGRA3,1,1,5.393893282690243e-07
ADGRE2,1,1,6.450513781919298e-06
ADGRG6,1,1,0.000757821783043422
ADGRG7,1,1,2.3618065181363334e-08
ADGRV1,1,1,0.07962025759713902
ADH1B,1,1,3.545643801894372e-08
ADH7,1,1,2.7263092450269255e-08
ADHFE1,1,1,6.430629228415529e-06
ADI1,1,1,0.07543123236563808
ADRA1A,1,1,3.985080243573691e-09
ADRA2C,1,1,1.7839570515265635e-06
ADRB2,1,1,0.0013214771103246426
ADRM1,1,0,0.9999854730106467
ADTRP,1,1,1.787141712394913e-07
AEBP1,1,1,1.3053715908206698e-08
AEBP2,1,1,0.026372561117199066
AFM,1,1,6.3444110076638084e-09
AGAP2,1,1,1.1009909646464421e-05
AGAP3,1,1,8.888931460337979e-07
AGBL1,1,1,3.1238701991842534e-08
AGBL4,1,1,9.193801653317735e-09
AGFG2,1,1,3.1206632833402637e-08
AGGF1,1,1,0.01448184983747225
AGMO,1,1,9.817770085795986e-09
AGO2,1,0,0.9143044579867101
AGPAT3,1,1,0.0010827904286737854
AGPS,1,1,0.006367667628939732
AGRN,1,1,0.008420154895599451
AGRP,1,1,1.288265663035304e-08
AGXT2,1,1,2.61832028713882e-05
AHCTF1,0,0,0.9999743478875731
AHSP,1,1,1.95205668257481e-06
AIDA,1,1,0.0007623304257173502
AIFM1,1,1,0.1610214907346974
AIFM3,1,1,4.992357856892227e-07
AIG1,1,1,0.00046427888739043467
AIMP2,1,0,0.9561190852283415
AIRE,1,1,0.00010159499143728157
AJM1,1,1,3.818033564078061e-05
AK1,1,1,0.058572295374405926
AK5,1,1,5.291226807435656e-06
AK7,1,1,8.196297779483608e-07
AK8,1,1,0.0002963860392135809
AKAP11,1,1,0.00013205826285584977
AKAP14,1,1,5.051690285196031e-06
AKAP7,1,1,9.56822458875184e-07
AKR1B1,1,1,0.1343718590297438
AKR1C2,1,1,0.0003891874796736694
AKR1D1,1,1,1.6132199798235548e-09
AKTIP,1,1,0.0032842117804742555
ALAD,1,1,0.11498002319732033
ALB,1,1,0.46659748764791137
ALCAM,1,1,0.00010252848716323371
ALDH1A1,1,1,2.67207992135976e-05
ALDH3A1,1,1,9.765720637489038e-07
ALDH7A1,1,1,0.09164633961897065
ALG10,1,1,1.3494780997436172e-06
ALG10B,1,1,3.2038003493273236e-06
ALG13,0,1,0.00016110720643571774
ALG6,1,1,0.05634855727755439
ALKAL1,1,1,4.348856462816908e-05
ALKBH1,1,1,0.2883894632415957
ALKBH7,1,1,5.203935912756474e-06
ALLC,1,1,7.693679411335808e-08
ALPK2,1,1,1.2873589967377086e-06
ALS2,1,1,0.005693166390888326
ALS2CL,1,1,2.3982449150250495e-06
AMBN,1,1,5.525557567054306e-10
AMBRA1,1,1,0.009270966501374722
AMER1,1,1,0.0015045422943754216
AMPD2,1,1,3.9292825884584824e-05
AMPD3,1,1,4.905494156659529e-07
ANAPC7,1,0,0.9959906685104292
ANGPT2,1,1,1.9476497400416904e-07
ANGPT4,1,1,1.29907351542613e-10
ANGPTL4,1,1,1.6874997327021025e-05
ANGPTL5,1,1,1.992730315203417e-08
ANKH,1,1,2.5596196495669687e-09
ANKK1,1,1,1.5728322562136298e-07
ANKLE2,0,1,0.09389089190698216
ANKMY2,1,1,0.001876995163519002
ANKRD12,1,1,0.0002900305896022193
ANKRD18A,1,1,9.717706329415155e-06
ANKRD28,1,1,0.10767529952672686
ANKRD31,1,1,7.00761187300003e-08
ANKRD42,1,1,1.3087121875088315e-08
ANKRD50,1,1,1.125287135927966e-06
ANKS3,1,1,0.0004105607381692189
ANO8,1,1,6.297368049634766e-06
ANOS1,1,1,0.03589388909468755
ANXA2,1,1,0.26394525556773807
ANXA2R,1,1,5.7054461266581315e-09
ANXA8L1,1,1,6.542474394466424e-08
AOAH,1,1,9.164246594917102e-09
AOC2,1,1,6.589682839397426e-08
AP2B1,1,0,0.5999453482068766
AP3S2,1,1,0.0007284705700240091
AP4S1,1,1,0.0004883877481962062
AP5B1,1,1,1.5917951776667215e-05
AP5S1,1,1,0.0001785192045148043
AP5Z1,1,1,0.01566841103065316
APC2,1,1,0.000574815630385983
APH1B,1,1,2.209026998079011e-06
API5,1,0,0.9958497753100559
APIP,1,1,0.0037849266177976903
APMAP,1,1,7.275585736599144e-06
APOA1,1,1,0.0017948446442444643
APOB,1,1,0.1039760566377494
APOBEC3A,1,1,2.2794370148848664e-05
APOBEC3C,1,1,0.2136315564038859
APOC3,1,1,0.0015127928139007985
APOD,1,1,0.0005503224954129804
APOL1,1,1,2.287231679942714e-07
APOOL,1,1,0.002129326063658643
ARAP3,1,1,1.695459728772164e-05
ARCN1,0,0,0.9995513331831105
ARF3,1,1,0.05722243841810983
ARGLU1,1,0,0.6279193158699382
ARHGAP10,1,1,0.0001060651789306255
ARHGAP11A,1,1,0.0002555744620075351
ARHGAP15,1,1,4.0433430907871327e-07
ARHGAP25,1,1,0.00026230782693114073
ARHGAP28,1,1,8.229717166741147e-07
ARHGAP44,1,1,1.3808093032308122e-07
ARHGDIA,1,0,0.6667832842059053
ARHGEF10L,1,1,0.00010232587918411751
ARHGEF12,1,1,0.0001560270112118789
ARID1A,1,1,0.09998988005089281
ARID2,1,0,0.5662612673784188
ARID4B,1,1,0.004068047838531252
ARIH1,0,1,0.16528846672771924
ARIH2,1,0,0.7770696799911423
ARL15,1,1,2.0031905026418606e-06
ARL5B,1,1,3.678908612192444e-07
ARMC12,1,1,0.00021708941603134634
ARMC3,1,1,3.2408811132200733e-06
ARMCX3,1,1,0.00016037500194699962
ARMH3,1,1,0.10448743121394818
ARMT1,1,1,0.44487393978388756
ARPC3,0,0,0.908125535304247
ARSF,1,1,1.29038763663214e-07
ARSI,1,1,0.00018605818861161527
ARVCF,1,1,5.368836850758729e-05
ASAP3,1,1,3.0605030659769383e-07
ASB17,1,1,4.041353178219076e-07
ASB18,1,1,6.4952707205856445e-06
ASB7,1,1,0.07565383496784203
ASCC2,1,0,0.799010130899017
ASF1A,1,1,0.4264507298004524
ASIC1,1,1,5.7915456574964e-08
ASIC2,1,1,1.3806633503143928e-09
ASIP,1,1,9.879965234826926e-09
ASPM,1,0,0.8571498398446785
ASTN1,1,1,8.185344423372598e-08
ASXL3,1,1,1.1086735149046235e-06
ATAD2B,1,1,0.0007013218558170941
ATF1,1,1,0.011278516244755909
ATF4,1,0,0.6383808325289356
ATG12,1,0,0.6623584861144239
ATG13,1,1,0.04056323281394938
ATG14,1,1,0.36768144101211403
ATG2B,1,1,0.0012233623307663978
ATG3,1,1,0.12871797372482083
ATG5,1,1,0.15213414208287962
ATG9A,1,1,0.0940429203246526
ATIC,1,0,0.6832626956442935
ATOX1,1,1,0.0006886697969127776
ATP13A3,1,1,0.0002956411128097303
ATP2A3,1,1,0.0001110712808050085
ATP2B3,1,1,6.17370743416501e-08
ATP2B4,1,1,6.872521242700103e-05
ATP2C2,1,1,3.0311149146200478e-09
ATP4A,1,1,0.0021847453129595017
ATP4B,1,1,1.938238518572888e-08
ATP5F1C,1,0,0.998008548530521
ATP5IF1,1,1,0.022887801416447907
ATP5MF,0,0,0.8995739908150384
ATP5MGL,1,1,9.21668777478235e-06
ATP5PB,1,0,0.7300325973086716
ATP6V0C,0,0,0.9227744883318115
ATP6V0D2,1,1,0.0041761842932557134
ATP6V1A,0,0,0.9996232900684753
ATP6V1B1,1,1,0.39066354584087176
ATP6V1E2,1,1,0.01490064717773818
ATP6V1G2,1,1,0.039136845062045775
ATP6V1H,0,0,0.9616234041745653
ATP9B,1,1,7.1440225032692876e-06
ATPSCKMT,1,1,4.041981131368555e-05
ATRIP,1,0,0.9999936976454749
ATXN1L,1,1,0.04988945771642865
ATXN2,1,1,0.42335715711465777
ATXN7L3,1,1,0.17822909101785633
ATXN7L3B,1,1,0.006460315206135381
AURKAIP1,1,0,0.6952121236191695
AVEN,1,1,0.00027106929302320724
AVL9,1,1,0.027452208433387294
AVP,1,1,7.6109342315833215e-06
B3GALNT1,1,1,7.88678304920465e-06
B3GALNT2,1,1,0.0010578996448166289
B3GALT1,1,1,4.5019701579995795e-07
B3GALT6,1,1,7.0717768956507495e-06
B3GAT3,1,1,2.7716752067075134e-05
B3GNT2,1,1,3.011884452575053e-06
B3GNT9,1,1,0.0006018789439884209
B4GAT1,1,1,0.11517855876754397
BABAM1,1,0,0.8735153345103186
BACE2,1,1,1.7224061016174463e-05
BACH1,1,1,0.003323456862255236
BAIAP2L2,1,1,4.8420166864904243e-08
BAP1,1,0,0.6948144881586258
BARHL1,1,1,7.383119252635239e-08
BARHL2,1,1,1.4873878443344424e-06
BARX2,1,1,6.392176000180605e-06
BBX,1,1,0.03390337937708339
BCAR1,1,1,0.04150248943186983
BCAT1,1,1,0.0012195206914829893
BCKDK,1,1,0.19081863343583327
BCL2L11,1,1,0.20539802614657104
BCOR,1,1,0.15050425351032293
BCR,1,1,0.28620806182814
BDH1,1,1,2.3101177795137318e-07
BDKRB1,1,1,1.1580945313838242e-09
BDNF,1,1,3.7839502031589146e-05
BEAN1,1,1,5.954875370584034e-09
BEND4,1,1,1.012076616798696e-05
BET1,1,0,0.8432592884380525
BEX2,1,1,2.6696624091138153e-05
BEX5,1,1,3.7011550638732515e-06
BFSP2,1,1,0.11144393807281991
BGN,1,1,4.878351967119165e-06
BICC1,1,1,9.024391419698575e-08
BIRC2,1,1,0.3577745324931786
BIRC6,1,1,0.03595700385228127
BLID,1,1,1.0937569078661724e-06
BLK,1,1,1.021839677206593e-07
BLOC1S1,1,1,0.24802439123441894
BLZF1,1,1,0.04015840508038225
BMERB1,1,1,3.669407685311654e-05
BMP1,1,1,2.1032295797196454e-07
BMP15,1,1,7.41009292926087e-08
BMP5,1,1,4.65778081137902e-07
BMP8B,1,1,7.048767869388684e-09
BMS1,0,0,0.9999999965046029
BNIP2,1,1,0.0695104889192947
BOD1L2,1,1,3.1607001909883524e-05
BOK,1,1,0.00015485589250361365
BORCS6,1,1,0.39758757449528676
BPNT2,1,1,0.16873452545128306
BRD1,1,0,0.5831628830525037
BRF1,0,0,0.9939073217292277
BRINP3,1,1,5.127727342735255e-09
BRMS1L,1,1,2.914261598663259e-06
BROX,1,1,0.0021638519512986233
BRPF1,1,0,0.6656720700796827
BRWD1,1,1,6.9260781555335885e-06
BSCL2,1,1,5.71962299973805e-05
BSN,1,1,7.331572638991091e-08
BSX,1,1,5.345794938738102e-06
BTN3A2,1,1,3.095558042898183e-07
BUB1B,0,0,0.999981583278789
BUD31,0,0,0.9999998330889154
BYSL,0,0,0.9999999106794929
BZW2,1,1,0.12754282848707627
C11orf68,1,1,7.545518444862509e-06
C12orf29,1,1,0.00018279128007478996
C14orf119,1,1,0.0009182589085709014
