,gene,prediction
0,LAGE3,0.23921020328998566
1,SERPINI2,0.8797231316566467
2,SPAST,0.635280966758728
3,IFT57,0.8108114004135132
4,KIAA0753,0.34263330698013306
5,UBR3,0.7980695366859436
6,SOX1,0.8400723338127136
7,PLEKHF1,0.8968527317047119
8,ZSCAN30,0.9052518010139465
9,FUT5,0.8496696949005127
10,H2BW1,0.2181318998336792
11,MYL5,0.8759252429008484
12,GPR19,0.8477042317390442
13,RUNX1T1,0.37190380692481995
14,HAUS7,0.3671880066394806
15,ZNF248,0.7994135022163391
16,RFC5,0.1824091374874115
17,MDGA2,0.9649869203567505
18,OXCT1,0.3389461040496826
19,RAB11FIP2,0.8628376126289368
20,TLCD4,0.9270017743110657
21,TNFRSF9,0.8382039666175842
22,ZBTB11,0.5402886271476746
23,CST9,0.5603418946266174
24,DRD1,0.930138885974884
25,TLL1,0.8496600389480591
26,CHIT1,0.9433823823928833
27,ZNF799,0.4102841913700104
28,NTHL1,0.4207029342651367
29,KMO,0.9839296340942383
30,EIF3B,0.07990112155675888
31,ASB4,0.5055147409439087
32,THOC3,0.5926011204719543
33,LCNL1,0.9571969509124756
34,ARID4A,0.2890278995037079
35,TRIM22,0.7540456056594849
36,SMARCD2,0.1798015981912613
37,DSCC1,0.6245371103286743
38,OR4C6,0.9820359349250793
39,ZNF813,0.9665387272834778
40,ADGRB3,0.45047903060913086
41,RYR3,0.8319782018661499
42,CENPO,0.19393804669380188
43,HCAR2,0.945040762424469
44,TRO,0.5281021595001221
45,LMO2,0.46919479966163635
46,BTLA,0.9585064649581909
47,OR5AS1,0.9852573275566101
48,HAUS8,0.6061547994613647
49,PRPF39,0.7351334691047668
50,LPCAT1,0.5994119048118591
51,TRIM72,0.894370436668396
52,IL17RC,0.9051574468612671
53,CLK1,0.4832100570201874
54,IQCF2,0.7527564764022827
55,PITPNA,0.44924086332321167
56,UBL4B,0.4128011465072632
57,GPX5,0.9815318584442139
58,NIF3L1,0.5447904467582703
59,IL33,0.7433042526245117
60,ZNF280B,0.9906880855560303
61,ZNF354A,0.2977992594242096
62,KLK5,0.9236238598823547
63,CACNA1B,0.849707841873169
64,KRTAP12-2,0.6611592769622803
65,TAF1B,0.1702522486448288
66,USP39,0.06948211044073105
67,PPP2R1B,0.2610592544078827
68,HTATIP2,0.1918354034423828
69,TTC13,0.9581682682037354
70,MYLK2,0.6268410682678223
71,WSB1,0.8065088987350464
72,DNAAF4,0.5111766457557678
73,STUB1,0.4858279824256897
74,MAPKAP1,0.6424199342727661
75,RFX3,0.6289145946502686
76,HIRIP3,0.4686731994152069
77,PLAAT3,0.943949282169342
78,SETDB2,0.9447765946388245
79,PLEKHO1,0.6470111608505249
80,MCL1,0.36657798290252686
81,OR4F6,0.9840801358222961
82,RNF19B,0.532314658164978
83,DCAF4,0.7760913372039795
84,TP53BP1,0.17112265527248383
85,XRN2,0.22902975976467133
86,PXMP4,0.28194940090179443
87,ZNF468,0.8647063374519348
88,DEFB121,0.9729851484298706
89,CCNB3,0.09033672511577606
