,gene,prediction
0,LAGE3,0.3516800105571747
1,SERPINI2,0.8478585481643677
2,SPAST,0.5015426278114319
3,IFT57,0.6560961604118347
4,KIAA0753,0.37603530287742615
5,UBR3,0.6636803150177002
6,SOX1,0.8631830811500549
7,PLEKHF1,0.5870608687400818
8,ZSCAN30,0.7653115391731262
9,FUT5,0.8804616332054138
10,H2BW1,0.20561212301254272
11,MYL5,0.7863198518753052
12,GPR19,0.8842306733131409
13,RUNX1T1,0.2589830756187439
14,HAUS7,0.7846738696098328
15,ZNF248,0.8432151675224304
16,RFC5,0.3391255736351013
17,MDGA2,0.7997004389762878
18,OXCT1,0.4433099031448364
19,RAB11FIP2,0.21084606647491455
20,TLCD4,0.8364435434341431
21,TNFRSF9,0.20038510859012604
22,ZBTB11,0.7884774208068848
23,CST9,0.7923552989959717
24,DRD1,0.6398477554321289
25,TLL1,0.8914055228233337
26,CHIT1,0.8634364604949951
27,ZNF799,0.7654063105583191
28,NTHL1,0.4417027235031128
29,KMO,0.9135775566101074
30,EIF3B,0.17326223850250244
31,ASB4,0.5968483090400696
32,THOC3,0.520878791809082
33,LCNL1,0.9124396443367004
34,ARID4A,0.36497601866722107
35,TRIM22,0.5349956154823303
36,SMARCD2,0.23460878431797028
37,DSCC1,0.6652706265449524
38,OR4C6,0.8789861798286438
39,ZNF813,0.9539047479629517
40,ADGRB3,0.8315573334693909
41,RYR3,0.7807557582855225
42,CENPO,0.2620724141597748
43,HCAR2,0.822138249874115
44,TRO,0.4866449236869812
45,LMO2,0.576334536075592
46,BTLA,0.4930565655231476
47,OR5AS1,0.8783086538314819
48,HAUS8,0.6504968404769897
49,PRPF39,0.8046872019767761
50,LPCAT1,0.6263589859008789
51,TRIM72,0.5749848484992981
52,IL17RC,0.8312327265739441
53,CLK1,0.274341881275177
54,IQCF2,0.8285561203956604
55,PITPNA,0.7163400650024414
56,UBL4B,0.16612011194229126
57,GPX5,0.6931557059288025
58,NIF3L1,0.4993683993816376
59,IL33,0.99210125207901
60,ZNF280B,0.894578754901886
61,ZNF354A,0.7642401456832886
62,KLK5,0.6836482882499695
63,CACNA1B,0.7067064642906189
64,KRTAP12-2,0.7578495144844055
65,TAF1B,0.21837379038333893
66,USP39,0.11780663579702377
67,PPP2R1B,0.2764860987663269
68,HTATIP2,0.24256567656993866
69,TTC13,0.8169865608215332
70,MYLK2,0.09626074880361557
71,WSB1,0.638380765914917
72,DNAAF4,0.6994998455047607
73,STUB1,0.33405178785324097
74,MAPKAP1,0.18880672752857208
75,RFX3,0.7344270348548889
76,HIRIP3,0.2969023585319519
77,PLAAT3,0.8046714663505554
78,SETDB2,0.8508895039558411
79,PLEKHO1,0.31983473896980286
80,MCL1,0.2793930768966675
81,OR4F6,0.8780412077903748
82,RNF19B,0.7457417249679565
83,DCAF4,0.5740821361541748
84,TP53BP1,0.2428567111492157
85,XRN2,0.19175812602043152
86,PXMP4,0.8536309003829956
87,ZNF468,0.8724946975708008
88,DEFB121,0.6150999069213867
89,CCNB3,0.3767395615577698
90,SNCAIP,0.5943422913551331
91,HAO1,0.8557520508766174
92,GAS2L3,0.21137644350528717
93,TGFBR3,0.6846998333930969
94,LTK,0.2736753821372986
95,PRMT1,0.1844637393951416
96,NOSIP,0.7797547578811646
97,NKAIN4,0.9150638580322266
98,CHFR,0.22631998360157013
99,CACNA2D3,0.833171010017395
100,CCL17,0.8138977289199829
101,ABCG1,0.7832275032997131
102,OR1D2,0.8790042400360107
103,ATP6V1D,0.5301439166069031
104,ATRN,0.8474348187446594
105,BEND2,0.9032593965530396
106,UNC5CL,0.6710386872291565
107,NRN1,0.8506208062171936
108,FIGLA,0.8098779320716858
109,ELF4,0.3271753191947937
110,MRPS18B,0.25752368569374084
111,CDC42EP1,0.5190736055374146
112,SYT4,0.7813238501548767
113,TMEM268,0.8498125076293945
114,HSPA2,0.23756058514118195
115,FANCC,0.22108671069145203
116,ITFG1,0.0804293304681778
117,HIF1AN,0.45316001772880554
118,SEC23A,0.2565842866897583
119,C16orf96,0.8540999293327332
120,C1orf198,0.42078009247779846
121,SMYD4,0.8222318291664124
122,SMIM2,0.8898846507072449
123,KIF22,0.21853262186050415
124,MTIF2,0.3825100064277649
125,ARID5B,0.3541465401649475
126,CSNK2A1,0.2376004159450531
127,DPY19L1,0.8582989573478699
128,TBX21,0.8716481924057007
129,OR5F1,0.8407223224639893
130,OLIG3,0.741248607635498
131,KLHL29,0.8841608762741089
132,GOSR1,0.6979530453681946
133,MEIG1,0.7833840250968933
134,ARC,0.6499218940734863
135,H1-0,0.6983424425125122
136,TRNT1,0.6085910201072693
137,CHAC2,0.32287701964378357
138,PURG,0.8008659482002258
139,CHI3L2,0.874487578868866
140,MYOF,0.4297866225242615
141,KIF1C,0.6930628418922424
142,SPEG,0.29340025782585144
143,C8G,0.795283317565918
144,QRICH2,0.8309310674667358
145,PRR15L,0.9404953122138977
146,ANKMY1,0.9025554060935974
147,LMNB1,0.33306363224983215
148,ZFP36,0.33202359080314636
149,PNMA2,0.5979019403457642
150,BHLHA15,0.09347272664308548
151,PRKAA1,0.18738088011741638
152,MKRN1,0.10079269111156464
153,TGFB3,0.730921745300293
154,APOA1,0.8402474522590637
155,MAN2B1,0.837348461151123
156,XKR3,0.8867616057395935
157,HEPACAM2,0.8596921563148499
158,ADAP1,0.22898830473423004
159,CCR9,0.8528809547424316
160,KRT18,0.5091744661331177
161,SS18L2,0.8303878307342529
162,NXNL2,0.9126335382461548
163,KRT74,0.7577284574508667
164,PARP6,0.7583304047584534
165,SLX4,0.2843577563762665
166,BPHL,0.8106251358985901
167,BTD,0.7976354360580444
168,SS18,0.170039564371109
169,DSCAM,0.5620678067207336
170,PDXP,0.8948929905891418
171,MYO7B,0.18846115469932556
172,CNNM3,0.6178008317947388
173,ZFX,0.7763768434524536
174,ETAA1,0.796923816204071
175,ZNF445,0.8133286237716675
176,RAPGEF1,0.14630575478076935
177,BTN3A3,0.8773627877235413
178,ADCY1,0.7977525591850281
179,ALG13,0.4135715067386627
180,MYOM2,0.6559408903121948
181,THAP9,0.7523778676986694
182,TMEM270,0.9069203734397888
183,SLAMF9,0.8346708416938782
184,DSEL,0.8561120629310608
185,PFKM,0.4711969494819641
186,SYT5,0.874465823173523
187,ATP8A2,0.7393613457679749
188,KAZN,0.8276196718215942
189,CCDC6,0.18014219403266907
190,C20orf85,0.7838066816329956
191,ROS1,0.46088477969169617
192,RGMA,0.7618772387504578
193,PCMTD2,0.21160650253295898
194,RAB11FIP4,0.5875211358070374
195,GATD1,0.6034965515136719
196,PPM1N,0.7098572850227356
197,EPOP,0.8461458683013916
198,UBFD1,0.47720128297805786
199,SBK1,0.12214305251836777
200,CEACAM4,0.867651641368866
201,PEX26,0.8137936592102051
202,TP53,0.5367316603660583
203,GNB1,0.33699914813041687
204,HADHB,0.29103320837020874
205,GIT2,0.3454780578613281
206,OPA3,0.3972136080265045
207,TIMD4,0.8408122658729553
208,MCFD2,0.5264116525650024
209,HSPA13,0.7344255447387695
210,PASD1,0.8600487112998962
211,KRT72,0.7109333276748657
212,ZDHHC12,0.9264800548553467
213,SH2D3C,0.316276878118515
214,OR8D1,0.8871070742607117
215,NEFM,0.5675631761550903
216,STUM,0.7000779509544373
217,EVA1C,0.852712094783783
218,TMEM209,0.42680516839027405
219,SYNGR4,0.9170700907707214
220,FSTL5,0.7854629755020142
221,GLRX2,0.6471793055534363
222,CHN1,0.41838178038597107
223,VPS26B,0.7801420092582703
224,CHCHD1,0.15547233819961548
225,TTC34,0.9119345545768738
226,AMMECR1L,0.5940860509872437
227,JADE2,0.6707895398139954
228,DNAJB4,0.2638951539993286
229,SAP25,0.4390670657157898
230,COPS4,0.3444844186306
231,LACC1,0.7787497043609619
232,KRT38,0.8632224798202515
233,SPG21,0.6675601601600647
234,ZNF623,0.8980002403259277
235,GTF3C4,0.27117234468460083
236,AXDND1,0.9213488101959229
237,OR51Q1,0.87839674949646
238,CPXCR1,0.8907760381698608
239,MEX3A,0.7794093489646912
240,FBF1,0.41175875067710876
241,MBNL3,0.760008692741394
242,SRARP,0.8246550559997559
243,HMOX2,0.48746728897094727
244,BICD1,0.39865127205848694
245,ZNF785,0.7296748757362366
246,ARHGEF40,0.2854017913341522
247,SERHL2,0.8694044351577759
248,PRUNE1,0.7314925789833069
249,LEF1,0.38273316621780396
