,gene,prediction
0,LAGE3,0.7906898856163025
1,SERPINI2,0.5971338748931885
2,SPAST,0.6463423371315002
3,IFT57,0.8040506839752197
4,KIAA0753,0.16328726708889008
5,UBR3,0.9655892848968506
6,SOX1,0.9959134459495544
7,PLEKHF1,0.9280369877815247
8,ZSCAN30,0.9392810463905334
9,FUT5,0.9305821657180786
10,H2BW1,0.11640268564224243
11,MYL5,0.7689614295959473
12,GPR19,0.8760619759559631
13,RUNX1T1,0.5145623683929443
14,HAUS7,0.338706910610199
15,ZNF248,0.8277159333229065
16,RFC5,0.04192572459578514
17,MDGA2,0.9119439125061035
18,OXCT1,0.4018837809562683
19,RAB11FIP2,0.7830764651298523
20,TLCD4,0.9362946152687073
21,TNFRSF9,0.7012714147567749
22,ZBTB11,0.7303449511528015
23,CST9,0.5630521178245544
24,DRD1,0.988520622253418
25,TLL1,0.375820517539978
26,CHIT1,0.9300534725189209
27,ZNF799,0.9698269963264465
28,NTHL1,0.12907220423221588
29,KMO,0.9614604711532593
30,EIF3B,0.020428434014320374
31,ASB4,0.4540395736694336
32,THOC3,0.2632858455181122
33,LCNL1,0.9763755798339844
34,ARID4A,0.23342031240463257
35,TRIM22,0.7831491231918335
36,SMARCD2,0.18434856832027435
37,DSCC1,0.15271200239658356
38,OR4C6,0.9996005892753601
39,ZNF813,0.9906438589096069
40,ADGRB3,0.16166016459465027
41,RYR3,0.8588663935661316
42,CENPO,0.07574688643217087
43,HCAR2,0.9913608431816101
44,TRO,0.6202741861343384
45,LMO2,0.4261726140975952
46,BTLA,0.9397210478782654
47,OR5AS1,0.9997352957725525
48,HAUS8,0.33830586075782776
49,PRPF39,0.367956280708313
50,LPCAT1,0.20808188617229462
51,TRIM72,0.7103445529937744
52,IL17RC,0.9711119532585144
53,CLK1,0.29191896319389343
54,IQCF2,0.9664552211761475
55,PITPNA,0.7816781997680664
56,UBL4B,0.6137136816978455
57,GPX5,0.8954542279243469
58,NIF3L1,0.776007354259491
59,IL33,0.08338729292154312
60,ZNF280B,0.9813816547393799
61,ZNF354A,0.5702328681945801
62,KLK5,0.9550125598907471
63,CACNA1B,0.9337450861930847
64,KRTAP12-2,0.18309807777404785
65,TAF1B,0.08769770711660385
66,USP39,0.027123866602778435
67,PPP2R1B,0.20579202473163605
68,HTATIP2,0.09043581038713455
69,TTC13,0.7609274983406067
70,MYLK2,0.5469635725021362
71,WSB1,0.8305829763412476
72,DNAAF4,0.9061139225959778
73,STUB1,0.5449508428573608
74,MAPKAP1,0.6986993551254272
75,RFX3,0.9582051634788513
76,HIRIP3,0.15412406623363495
77,PLAAT3,0.9743357300758362
78,SETDB2,0.9362067580223083
79,PLEKHO1,0.9017363786697388
80,MCL1,0.6842536330223083
81,OR4F6,0.9997363686561584
82,RNF19B,0.7028299570083618
83,DCAF4,0.7602735757827759
84,TP53BP1,0.14858761429786682
85,XRN2,0.12029440701007843
86,PXMP4,0.6837267279624939
87,ZNF468,0.5663367509841919
88,DEFB121,0.9491557478904724
89,CCNB3,0.3524874746799469
90,SNCAIP,0.6732266545295715
91,HAO1,0.9095531702041626
92,GAS2L3,0.11528196185827255
93,TGFBR3,0.9643059372901917
94,LTK,0.8229665160179138
95,PRMT1,0.3944791853427887
96,NOSIP,0.28442099690437317
97,NKAIN4,0.9872938990592957
98,CHFR,0.2942191958427429
99,CACNA2D3,0.989885687828064
100,CCL17,0.9106802344322205
101,ABCG1,0.7871028184890747
102,OR1D2,0.9929553866386414
103,ATP6V1D,0.17325183749198914
104,ATRN,0.9967845678329468
105,BEND2,0.741756021976471
106,UNC5CL,0.8765143752098083
107,NRN1,0.9374579191207886
108,FIGLA,0.9212010502815247
109,ELF4,0.7858606576919556
110,MRPS18B,0.38005852699279785
111,CDC42EP1,0.7244694232940674
112,SYT4,0.9229846596717834
113,TMEM268,0.998012900352478
114,HSPA2,0.09963987022638321
115,FANCC,0.33238476514816284
116,ITFG1,0.0661439374089241
117,HIF1AN,0.4291524291038513
118,SEC23A,0.17890162765979767
119,C16orf96,0.3588120937347412
120,C1orf198,0.5600159168243408
121,SMYD4,0.958706796169281
122,SMIM2,0.9911935925483704
123,KIF22,0.11240508407354355
124,MTIF2,0.24198590219020844
125,ARID5B,0.6420953273773193
126,CSNK2A1,0.3147813081741333
127,DPY19L1,0.8852919936180115
128,TBX21,0.8715826272964478
129,OR5F1,0.9818578958511353
130,OLIG3,0.6809918880462646
131,KLHL29,0.9068084359169006
132,GOSR1,0.503767192363739
133,MEIG1,0.9239240884780884
134,ARC,0.8600446581840515
135,H1-0,0.12939231097698212
136,TRNT1,0.2735670804977417
137,CHAC2,0.11478438228368759
138,PURG,0.6456120610237122
139,CHI3L2,0.9451068639755249
140,MYOF,0.8656420111656189
141,KIF1C,0.9422332048416138
142,SPEG,0.9616464972496033
143,C8G,0.953062117099762
144,QRICH2,0.9659371972084045
145,PRR15L,0.9983574748039246
146,ANKMY1,0.9983687996864319
147,LMNB1,0.08922460675239563
148,ZFP36,0.7494767308235168
149,PNMA2,0.8722265958786011
150,BHLHA15,0.06284129619598389
151,PRKAA1,0.3576033413410187
152,MKRN1,0.09481974691152573
153,TGFB3,0.974465012550354
154,APOA1,0.9798910021781921
155,MAN2B1,0.9304518699645996
156,XKR3,0.8325697183609009
157,HEPACAM2,0.4572279751300812
158,ADAP1,0.8511848449707031
159,CCR9,0.9955742359161377
160,KRT18,0.6570917963981628
161,SS18L2,0.8998160362243652
162,NXNL2,0.8460884094238281
163,KRT74,0.607309103012085
164,PARP6,0.36514711380004883
165,SLX4,0.3411574363708496
166,BPHL,0.6351470947265625
167,BTD,0.6695656776428223
168,SS18,0.30234962701797485
169,DSCAM,0.9111635684967041
170,PDXP,0.41743460297584534
171,MYO7B,0.7098092436790466
172,CNNM3,0.7903968095779419
173,ZFX,0.9357675909996033
174,ETAA1,0.6224015355110168
