,gene,prediction
0,LAGE3,0.6418852210044861
1,SERPINI2,0.8313905000686646
2,SPAST,0.3195447027683258
3,IFT57,0.8310431241989136
4,KIAA0753,0.2334422469139099
5,UBR3,0.9296896457672119
6,SOX1,0.7520879507064819
7,PLEKHF1,0.9261066913604736
8,ZSCAN30,0.5421023368835449
9,FUT5,0.9558970332145691
10,H2BW1,0.12825164198875427
11,MYL5,0.8298120498657227
12,GPR19,0.970628559589386
13,RUNX1T1,0.5562430024147034
14,HAUS7,0.4292811155319214
15,ZNF248,0.921247124671936
16,RFC5,0.051148537546396255
17,MDGA2,0.9149037599563599
18,OXCT1,0.3928556740283966
19,RAB11FIP2,0.7272313237190247
20,TLCD4,0.9504618644714355
21,TNFRSF9,0.5942001938819885
22,ZBTB11,0.5678995847702026
23,CST9,0.5189060568809509
24,DRD1,0.9791943430900574
25,TLL1,0.6314411759376526
26,CHIT1,0.9718628525733948
27,ZNF799,0.9174432158470154
28,NTHL1,0.13632088899612427
29,KMO,0.4989784359931946
30,EIF3B,0.020204821601510048
31,ASB4,0.45159050822257996
32,THOC3,0.27139216661453247
33,LCNL1,0.8501973152160645
34,ARID4A,0.28523239493370056
35,TRIM22,0.8359061479568481
36,SMARCD2,0.19324879348278046
37,DSCC1,0.16916634142398834
38,OR4C6,0.998838484287262
39,ZNF813,0.9615411162376404
40,ADGRB3,0.19999606907367706
41,RYR3,0.975371241569519
42,CENPO,0.058621570467948914
43,HCAR2,0.9946181178092957
44,TRO,0.5060195326805115
45,LMO2,0.3454604148864746
46,BTLA,0.9419386386871338
47,OR5AS1,0.9990189075469971
48,HAUS8,0.3413037657737732
49,PRPF39,0.23841112852096558
50,LPCAT1,0.2879992723464966
51,TRIM72,0.7420330047607422
52,IL17RC,0.9535170197486877
53,CLK1,0.3146972954273224
54,IQCF2,0.9213696122169495
55,PITPNA,0.34346938133239746
56,UBL4B,0.61391681432724
57,GPX5,0.9670857191085815
58,NIF3L1,0.7968753576278687
59,IL33,0.8411118388175964
60,ZNF280B,0.9800516366958618
61,ZNF354A,0.919477641582489
62,KLK5,0.9214610457420349
63,CACNA1B,0.8787707686424255
64,KRTAP12-2,0.3080006241798401
65,TAF1B,0.0740990936756134
66,USP39,0.02970442920923233
67,PPP2R1B,0.19229893386363983
68,HTATIP2,0.08570139110088348
69,TTC13,0.7545681595802307
70,MYLK2,0.42941945791244507
71,WSB1,0.7185329794883728
72,DNAAF4,0.9172539114952087
73,STUB1,0.6446566581726074
74,MAPKAP1,0.4381173849105835
75,RFX3,0.9539203643798828
76,HIRIP3,0.1064663678407669
77,PLAAT3,0.9185276627540588
78,SETDB2,0.9022984504699707
79,PLEKHO1,0.8535270690917969
80,MCL1,0.4933192729949951
81,OR4F6,0.9990317821502686
82,RNF19B,0.7434157729148865
83,DCAF4,0.5134830474853516
84,TP53BP1,0.1678691953420639
85,XRN2,0.10913416743278503
86,PXMP4,0.5082492828369141
87,ZNF468,0.8705212473869324
88,DEFB121,0.9342518448829651
89,CCNB3,0.13128167390823364
90,SNCAIP,0.7001597285270691
