,gene,prediction
0,LAGE3,0.40791305899620056
1,SERPINI2,0.5887247323989868
2,SPAST,0.3308974504470825
3,IFT57,0.914757490158081
4,KIAA0753,0.7007684707641602
5,UBR3,0.9314996600151062
6,SOX1,0.3375035524368286
7,PLEKHF1,0.8950331807136536
8,ZSCAN30,0.45601335167884827
9,FUT5,0.9929002523422241
10,H2BW1,0.15017196536064148
11,MYL5,0.8841596841812134
12,GPR19,0.8718792200088501
13,RUNX1T1,0.8674525618553162
14,HAUS7,0.39396047592163086
15,ZNF248,0.9780809283256531
16,RFC5,0.03708868846297264
17,MDGA2,0.9755045175552368
18,OXCT1,0.26129448413848877
19,RAB11FIP2,0.8043279647827148
20,TLCD4,0.9160373210906982
21,TNFRSF9,0.8718141317367554
22,ZBTB11,0.9885147213935852
23,CST9,0.5780162811279297
24,DRD1,0.9745270609855652
25,TLL1,0.7185467481613159
26,CHIT1,0.9708915948867798
27,ZNF799,0.9762855768203735
28,NTHL1,0.28201085329055786
29,KMO,0.899763822555542
30,EIF3B,0.020994490012526512
31,ASB4,0.7962130308151245
32,THOC3,0.13015393912792206
33,LCNL1,0.9965665340423584
34,ARID4A,0.6559228301048279
35,TRIM22,0.9351767897605896
36,SMARCD2,0.15462210774421692
37,DSCC1,0.1442907154560089
38,OR4C6,0.9859781265258789
39,ZNF813,0.9909771680831909
40,ADGRB3,0.20885467529296875
41,RYR3,0.9899606704711914
42,CENPO,0.1267576515674591
43,HCAR2,0.9847630858421326
44,TRO,0.9533281326293945
45,LMO2,0.41381964087486267
46,BTLA,0.9405878186225891
47,OR5AS1,0.9916958212852478
48,HAUS8,0.3325115442276001
49,PRPF39,0.953864336013794
50,LPCAT1,0.5761400461196899
51,TRIM72,0.9681679606437683
52,IL17RC,0.9819151163101196
53,CLK1,0.31453222036361694
54,IQCF2,0.984885573387146
55,PITPNA,0.29502832889556885
56,UBL4B,0.9039795994758606
57,GPX5,0.9796527624130249
58,NIF3L1,0.6454829573631287
59,IL33,0.026131248101592064
60,ZNF280B,0.9992235898971558
61,ZNF354A,0.3688294589519501
62,KLK5,0.9729920625686646
63,CACNA1B,0.9716478586196899
64,KRTAP12-2,0.45968103408813477
65,TAF1B,0.41683635115623474
66,USP39,0.020144298672676086
67,PPP2R1B,0.11774744838476181
68,HTATIP2,0.08188998699188232
69,TTC13,0.9594999551773071
70,MYLK2,0.4216576814651489
71,WSB1,0.9590185284614563
72,DNAAF4,0.8441975712776184
73,STUB1,0.9085913896560669
74,MAPKAP1,0.7882091403007507
75,RFX3,0.9664626717567444
