gene,label,prediction,probabilities
A1CF,1,1,0.15021098772187863
A2M,1,1,0.07996483640835741
AAGAB,1,1,0.0977365455283891
AARD,1,1,0.0007319160143576808
AASDH,1,1,0.016942518176181455
AASS,1,1,0.048645314871501144
ABCA12,1,1,0.0018476338055121166
ABCA2,1,1,0.07976253000463769
ABCB4,1,1,0.001707922328572442
ABCC2,1,1,0.03769807650713548
ABCC4,1,1,0.024972516366427798
ABHD12,1,1,0.06142359640381804
ABHD18,1,1,0.020351218804475622
ABHD4,1,1,0.002455660527774539
ABHD6,1,1,0.0003962118482594312
ABHD8,1,1,0.0027581956185267708
ABRACL,1,1,0.08189394433643626
ACAD8,1,1,0.028703207271839913
ACAD9,1,1,0.2544450663775654
ACBD5,1,1,0.375442070234424
ACER3,1,1,0.002927713474388538
ACOT7,1,1,0.09876685078049363
ACOT8,1,1,0.2404418256809409
ACOX1,1,1,0.11485233969481012
ACOX3,1,1,0.031128722792003925
ACP3,1,1,0.232620749766703
ACP4,1,1,0.003766972907984312
ACSL4,1,1,0.05523428191336571
ACSM2A,1,1,0.002747607078183423
ACSS1,1,1,0.11218962474761016
ACTA2,1,0,0.6795156842844143
ACTG1,0,0,0.8545484889938436
ACTL10,1,1,0.0017206305784445487
ACTL6A,0,0,0.9663145837784372
ACTR1B,1,1,0.3622112171628177
ACTRT3,1,1,0.0005256460810774688
ACVR1C,1,1,0.0016185521257984447
ADA2,1,1,0.10320383212419237
ADAL,1,1,0.09360005943494931
ADAM28,1,1,0.0004008622161537301
ADAM29,1,1,0.00015915172879396033
ADAMTS17,1,1,0.0006983656857418418
ADAMTS3,1,1,0.0018710736365567416
ADAMTS6,1,1,0.0006116236106461281
ADAMTS7,1,1,0.003810022637230892
ADAMTSL4,1,1,0.008618766368964437
ADAR,1,0,0.9929681296974362
ADARB1,1,0,0.6798315475380211
ADCY10,1,1,0.27520779867592704
ADCY5,1,1,0.0017562204048023223
ADGRB2,1,1,0.003828963958703013
ADGRB3,1,1,0.004124979273384599
ADGRG5,1,1,0.004170639190851255
ADGRG6,1,1,0.02324617434103384
ADGRG7,1,1,0.0015590829845741339
ADIPOR1,1,1,0.0015457556790167582
ADIRF,1,1,0.004280957191905676
ADK,1,1,0.028855741057339967
ADORA1,1,1,0.0005117801413414558
ADPGK,1,1,0.10533584564973139
ADRA1A,1,1,0.000483468713696078
ADRA2C,1,1,0.0017591681844770224
AEBP1,1,1,0.002582764903977497
AFAP1L1,1,1,0.0012274659085029227
AFG3L2,0,0,0.7467000158303165
AFP,1,1,0.008128417536032061
AGAP6,1,1,0.028342087304725115
AGAP9,1,1,0.005100397816841662
AGFG1,1,1,0.433889990041049
AGPAT3,1,1,0.07326377817002011
AGPAT4,1,1,0.004462666089364864
AGT,1,1,0.007905107893131447
AGTR2,1,1,0.0005342187921015152
AGXT,1,1,0.027657691699505837
AHCY,1,0,0.6817971539217043
AHNAK,1,1,0.32370957646088294
AHRR,1,1,0.02277855158456814
AIPL1,1,1,0.002555951013837221
AJAP1,1,1,0.00024777727247126123
AK5,1,1,0.006957329688155411
AKAP1,1,1,0.0760201817346129
AKAP13,1,1,0.016940248172160232
AKAP7,1,1,0.006097383263002498
AKIP1,1,1,0.036042854899269436
AKNAD1,1,1,0.0013209567505838237
AKR1A1,1,1,0.12007825877628513
AKR1C4,1,1,0.0017355808635217684
AKR7A3,1,1,0.011185534021320187
AKT1S1,1,1,0.03833607315869316
AKTIP,1,1,0.31217364846134815
ALAD,1,1,0.11654218847864577
ALAS1,1,1,0.4201033876056597
ALDH1B1,1,1,0.032548191577110516
ALG11,0,1,0.20772310122516102
ALG6,1,1,0.1116728939129354
ALG9,1,0,0.6021532955991843
ALK,1,1,0.08945484354716712
ALKBH8,1,0,0.5948406779030428
ALOX12,1,1,0.0004990382197482713
ALOX15,1,1,0.0011030506253815631
ALPK3,1,1,0.02026289340630579
ALPP,1,1,0.0031965989503255575
ALS2CL,1,1,0.0017902540775736053
ALX3,1,1,0.001282641145229313
ALX4,1,1,0.0019553029454856376
AMACR,1,1,0.1410490742189693
AMD1,1,1,0.2994437643805929
AMELY,1,1,0.009073120368911725
AMH,1,1,0.0008902829088288545
AMHR2,1,1,0.00554804585464499
AMN,1,1,0.017791041720155398
AMOTL2,1,1,0.007238204948754068
AMPD1,1,1,0.07993197925338313
ANAPC15,1,0,0.9603017121968647
ANAPC5,0,0,0.9959335002274152
ANGEL1,1,1,0.032364388453681246
ANGPT4,1,1,0.0002989961052622947
ANGPTL4,1,1,0.00344781311275546
ANK3,1,1,0.012574376372564732
ANKAR,1,1,0.00018876096063611403
ANKEF1,1,1,0.025439062233722377
ANKIB1,1,1,0.019648676200136474
ANKMY2,1,1,0.14545395789475005
ANKRD11,1,1,0.3144575899202759
ANKRD13C,1,1,0.0013187806225060327
ANKRD27,1,1,0.014216982850943981
ANKRD28,1,0,0.5141245867343914
ANKRD34B,1,1,0.0019271750739073613
ANKRD39,1,1,0.08010571816883388
ANKRD46,1,1,0.008451586225804242
ANKRD55,1,1,0.06245756307474933
ANP32B,1,0,0.7815922971979778
ANP32D,1,1,0.0007342447790882444
ANXA1,1,0,0.5078017702358417
ANXA3,1,1,0.005390669112222979
ANXA4,1,1,0.09455423241184158
ANXA7,1,1,0.28565445391050825
ANXA9,1,1,0.003589122112911891
AOC2,1,1,0.0006675769325864
AP1G2,1,1,0.1839623833725969
AP2M1,1,0,0.8761135626456799
AP3M1,1,1,0.11174479107848778
AP3S1,1,0,0.5110583331151526
AP4S1,1,1,0.03720199459531629
AP5M1,1,1,0.09170525703771587
AP5S1,1,1,0.025725712180129423
APAF1,1,0,0.5100517535546784
APBB1IP,1,1,0.0010608704451256167
APCDD1L,1,1,0.00029616814878925536
APCS,1,1,0.0012367697241268516
APEH,1,0,0.6404283797886687
APEX2,1,1,0.04093195032147477
APIP,1,1,0.11452094349992654
APLF,1,1,0.041856209354242835
APLN,1,1,0.0006421204738945696
APLNR,1,1,0.0012042174398312678
APOBEC3C,1,1,0.2468915148959999
APOC2,1,1,0.010582534308815594
APOC3,1,1,0.008122463952944392
APOD,1,1,0.01686012982806382
APOH,1,1,0.005641883899790423
APPL2,1,1,0.05504465960394074
AQP10,1,1,0.0002544990660070634
AQP12B,1,1,0.0005198078590151756
AQR,0,0,0.9982871396759394
ARAF,1,1,0.3645775111401789
ARAP2,1,1,0.000492309069696839
ARC,1,1,0.0007120223910201395
ARF3,1,0,0.5829378395770255
ARF5,1,1,0.337541332301628
ARFGAP2,1,1,0.48491628962087124
ARFGEF1,1,0,0.677076988693669
ARFIP2,1,1,0.045989296274690374
ARFRP1,0,1,0.0443233522029414
ARG1,1,1,0.024549138498127766
ARGFX,1,1,0.0024573431818651903
ARHGAP20,1,1,0.001108593506019473
ARHGAP28,1,1,0.0005639825463261139
ARHGAP31,1,1,0.0024749661477141416
ARHGAP33,1,1,0.002482707079163882
ARHGAP39,1,1,0.07286733112901954
ARHGAP9,1,1,0.0017412253669946143
ARHGDIB,1,1,0.05031550603288677
ARHGDIG,1,1,0.001656894108220197
ARHGEF2,1,1,0.3845189138555969
ARHGEF28,1,1,0.0185405656352311
ARHGEF39,1,1,0.28619675125711286
ARHGEF9,1,1,0.00216339184022738
ARID1A,1,1,0.31990265053026223
ARID3B,1,1,0.024778948652400667
ARID4A,1,1,0.1616951136941645
ARID5B,1,1,0.01011982742388039
ARL5B,1,1,0.01839663962948688
ARL6IP1,1,0,0.5929727724399977
ARMC10,1,1,0.12134496846848566
ARMC7,0,1,0.1702817882754501
ARMCX3,1,1,0.04254936099405053
ARMH1,1,1,0.006629307588395949
ARNT,1,1,0.08734894090659776
ARPC2,1,0,0.8788784975565221
ARPC5,1,0,0.8341480377087341
ARPIN,1,1,0.0037515383968452333
ARRDC2,1,1,0.003814762039449826
ARRDC3,1,1,0.00299467460914562
ARRDC5,1,1,0.0006807039670627679
ARSG,1,1,0.001269872670611938
ART1,1,1,0.0014080462207906263
ART3,1,1,0.0003668699701598555
ARVCF,1,1,0.027258486214478673
ASAH1,1,1,0.016081128264916457
ASAH2,1,1,0.0002402276476306642
ASB10,1,1,0.014927204806047622
ASB12,1,1,0.07981165115110397
ASB18,1,1,0.005247445376805637
ASB4,1,1,0.06203080146669125
ASB9,1,1,0.00631159640133998
ASCC1,1,0,0.6217163091964385
ASCC3,1,0,0.7669284789741271
ASCL1,1,1,0.001520909170447038
ASCL3,1,1,0.002504300778474078
ASGR2,1,1,0.0014884075230746862
