,Feature,Value
2148,Nuclear lumen,0.026130095112132115
2957,Spliceosomal complex,0.02347238344562692
1828,membrane-enclosed lumen,0.02186578183676264
2159,Nuclear pore,0.018944631712487902
3124,Transcription export complex,0.01640706439833776
2191,Nucleoplasm,0.015999471298084024
3133,Translation initiation complex,0.014586270486157049
2147,Nuclear lamina,0.0138377919569275
2745,RNA polymerase I complex,0.013672659683498711
2206,Nucleus,0.01335074163472011
1568,Intracellular organelle,0.01202218676029475
2619,protein-containing complex,0.011831317524852326
2131,Nuclear body,0.010941603085680167
579,Cohesin complex,0.010861488189702714
759,Cytosolic large ribosomal subunit,0.010558678716571138
3170,Tubulin complex,0.010322412377999093
2621,protein-DNA complex,0.009981554118551637
1569,Intracellular organelle lumen,0.009458927664977135
3123,Transcription elongation factor complex,0.009176920696867414
1009,Eukaryotic translation initiation factor 3 complex,0.008825338176332286
2488,Polysome,0.008565031269213359
2178,Nuclear ubiquitin ligase complex,0.008314985637659776
2654,Pwp2p-containing subcomplex of 90S preribosome,0.008101330041176684
3128,Transferase complex,0.00782390827407306
2728,Ribosomal subunit,0.007744793432504671
2227,Organelle,0.0076280875180794174
1793,MCM complex,0.0073383847738486725
2138,Nuclear DNA-directed RNA polymerase complex,0.0073091145451167315
844,DNA repair complex,0.00695343840190647
1561,Intracellular anatomical structure,0.006949842458130204
3216,U6 snRNP,0.0066886887422746445
463,Chloroplast,0.0065738642250116035
634,COPI-coated vesicle,0.006571139021958688
2959,Spliceosomal tri-snRNP complex,0.006379513225906733
2231,Organelle lumen,0.006340074284973795
2890,Small nuclear ribonucleoprotein complex,0.006275522521172731
206,ATPase complex,0.006187574424546969
1311,Granular component,0.006132470604821116
2534,pre-replicative complex,0.005779760106310188
730,Cytoplasmic ribonucleoprotein granule,0.00566258815531599
1029,External encapsulating structure,0.005627304730725695
125,anaphase-promoting complex,0.005472298371929292
931,Endonuclease complex,0.005393838159980294
372,Cation channel complex,0.0053535170887735965
2135,Nuclear cyclin-dependent protein kinase holoenzyme complex,0.005219045260330422
745,Cytoplasmic stress granule,0.005206050945000433
2169,Nuclear protein-containing complex,0.00519984703267327
1008,Eukaryotic translation initiation factor 2B complex,0.005141372293008191
1566,Intracellular membrane-bounded organelle,0.005106665994249572
3211,U4/U6 x U5 tri-snRNP complex,0.00502332908038164
382,CCR4-NOT complex,0.004934098861627795
1833,Messenger ribonucleoprotein complex,0.004891885197136815
2643,Prp19 complex,0.004809973950264228
3209,U4 snRNP,0.004805482427514179
2678,Receptor complex,0.00479432613001595
2662,R2TP complex,0.00474023557581863
3145,Transporter complex,0.004714023276583862
1681,Large ribosomal subunit,0.004694563810318964
3126,Transcription preinitiation complex,0.0046336889829070235
1023,exon-exon junction complex,0.004540412061693168
2603,Protein complex involved in cell-matrix adhesion,0.0045120673585154975
806,Dense fibrillar component,0.004507641883823452
2729,Ribosome,0.004482674376477326
2724,Ribonucleoprotein complex,0.00438336930262616
1979,Mpp10 complex,0.004352538083350471
3224,Ubiquitin ligase complex,0.004349990929954417
2172,Nuclear RNA export factor complex,0.0042776096520043706
2158,Nuclear periphery,0.0042532527635038685
876,DSIF complex,0.004252130335743096
1827,membrane-bounded organelle,0.0042413305222800965
2186,Nucleolus,0.004159461442404703
407,Cell projection,0.004154934817632218
2907,sno(s)RNA-containing ribonucleoprotein complex,0.003987767467701227
2911,Sodium channel complex,0.0038781291267894038
2748,"RNA polymerase II, holoenzyme",0.0037725773429228616
763,Cytosolic ribosome,0.0037385689951783124
2170,Nuclear replication fork,0.0036980846989530117
2228,Organelle envelope,0.0036034080091538086
2893,small-subunit processome,0.003600566660337596
1942,Mitochondrial ribosome,0.0035808382293334683
2588,Protein acetyltransferase complex,0.003574030034763363
2527,Potassium channel complex,0.0035722737851933005
