ROC-AUC,Accuracy,BA,Sensitivity,Specificity,MCC,CM
0.9427761495219333,0.8472020875616121,0.8672679271811393,0.8438475952529669,0.8906882591093117,0.4660195368455761,"[[2702  500]
 [  27  220]]"
0.9376692704711377,0.8338648883734415,0.8582167774695472,0.829793878825734,0.8866396761133604,0.4448527036774744,"[[2657  545]
 [  28  219]]"
0.947919695939026,0.8472020875616121,0.8728723444608253,0.8429106808244847,0.902834008097166,0.47169055318307784,"[[2699  503]
 [  24  223]]"
0.9467804787999403,0.8451725137721079,0.8811199730937396,0.8391630231105559,0.9230769230769231,0.47807115655445465,"[[2687  515]
 [  19  228]]"
0.9403739024898057,0.8445475638051044,0.8675167451237286,0.8407245471580262,0.8943089430894309,0.46312602693669447,"[[2692  510]
 [  26  220]]"
0.9502531312666426,0.842563061757031,0.8722420450781014,0.8376014990630856,0.9068825910931174,0.46670715509706207,"[[2682  520]
 [  23  224]]"
0.9471307153676726,0.85445056538127,0.8786442936727299,0.8504059962523423,0.9068825910931174,0.4847218793614682,"[[2723  479]
 [  23  224]]"
0.9511755051878,0.8585097129602783,0.888302983712103,0.8535290443472829,0.9230769230769231,0.49867691019581745,"[[2733  469]
 [  19  228]]"
0.9310843172409957,0.8303856190200058,0.8507385313328968,0.8269831355402874,0.8744939271255061,0.43435107008511176,"[[2648  554]
 [  31  216]]"
0.9353947989823432,0.8343967517401392,0.8658041467984949,0.8291692692067458,0.9024390243902439,0.45238407746281406,"[[2655  547]
 [  24  222]]"
0.9531087604660042,0.84343287909539,0.8689742241058853,0.8391630231105559,0.8987854251012146,0.46420154087555654,"[[2687  515]
 [  25  222]]"
0.9471496812467916,0.8399536097419542,0.8671003952489209,0.8354153653966271,0.8987854251012146,0.45914641452050425,"[[2675  527]
 [  25  222]]"
0.9233727907911806,0.8837344157726877,0.8346352355688627,0.8919425359150531,0.7773279352226721,0.47560735684317823,"[[2856  346]
 [  55  192]]"
0.9360179745958371,0.8448825746593216,0.866018707943163,0.8413491567770144,0.8906882591093117,0.4625540194099072,"[[2694  508]
 [  27  220]]"
0.9505733205364534,0.837877030162413,0.8845652869395653,0.830106183635228,0.9390243902439024,0.47427252041781576,"[[2658  544]
 [  15  231]]"
0.9543111972021535,0.863728616990432,0.8855093097178637,0.8600874453466584,0.9109311740890689,0.5016568461037944,"[[2754  448]
 [  22  225]]"
0.9478887183364648,0.8396636706291679,0.8632079646577164,0.8357276702061212,0.8906882591093117,0.4549378417237247,"[[2676  526]
 [  27  220]]"
0.9312853555596577,0.8506813569150479,0.8616691996651891,0.8488444722048719,0.8744939271255061,0.4637290162930925,"[[2718  484]
 [  31  216]]"
0.9377786403740578,0.8292258625688606,0.8613227562732806,0.8238600874453467,0.8987854251012146,0.4442092464155109,"[[2638  564]
 [  25  222]]"
0.9320997293358317,0.8349767981438515,0.8511055082443391,0.8322923173016864,0.8699186991869918,0.4379105559828869,"[[2665  537]
 [  32  214]]"
0.9352087637534233,0.8338648883734415,0.8507442210966324,0.8310430980637101,0.8704453441295547,0.4372205698056757,"[[2661  541]
 [  32  215]]"
0.9397529883903532,0.8431429399826037,0.8669499326079095,0.8391630231105559,0.8947368421052632,0.46188317691905223,"[[2687  515]
 [  26  221]]"
0.9487055155305263,0.8492316613511163,0.8814379676669692,0.8438475952529669,0.9190283400809717,0.48228281816276547,"[[2702  500]
 [  20  227]]"
0.9446841169613122,0.8906929544795593,0.8570642842150781,0.89631480324797,0.8178137651821862,0.5090326501538267,"[[2870  332]
 [  45  202]]"
0.9404132579739289,0.8384570765661253,0.8698666483854095,0.8332292317301686,0.9065040650406504,0.459990218040725,"[[2668  534]
 [  23  223]]"
0.9402815042218047,0.8492316613511163,0.8571521594549965,0.8479075577763897,0.8663967611336032,0.4576938145650021,"[[2715  487]
 [  33  214]]"
0.9379145625077444,0.8527109307045521,0.8571578492187322,0.8519675202998126,0.8623481781376519,0.4611679628834664,"[[2728  474]
 [  34  213]]"
0.9448965348074457,0.8399536097419542,0.8783092298082928,0.8335415365396627,0.9230769230769231,0.470466942106776,"[[2669  533]
 [  19  228]]"
0.9298578570579623,0.8396636706291679,0.8632079646577164,0.8357276702061212,0.8906882591093117,0.4549378417237247,"[[2676  526]
 [  27  220]]"
0.9498877733936615,0.880800464037123,0.8663957485920892,0.8831980012492192,0.8495934959349594,0.50322481426614,"[[2828  374]
 [  37  209]]"
0.9492757562960397,0.8402435488547405,0.8803335213062686,0.8335415365396627,0.9271255060728745,0.47276184791990106,"[[2669  533]
 [  18  229]]"
0.9413941691301236,0.8419831835314584,0.8663253229889214,0.8379138038725796,0.8947368421052632,0.4601884505669666,"[[2683  519]
 [  26  221]]"
0.9406292120056543,0.8382139750652363,0.869899759006896,0.8329169269206745,0.9068825910931174,0.46044329857590893,"[[2667  535]
 [  23  224]]"
0.9305058579278639,0.84894172223833,0.8588641461434781,0.8472829481574016,0.8704453441295547,0.4591575211275189,"[[2713  489]
 [  32  215]]"
0.9490143355524748,0.8497679814385151,0.8722038563296314,0.8460337289194254,0.8983739837398373,0.4728688657166697,"[[2709  493]
 [  25  221]]"
0.9409541607345612,0.8451725137721079,0.8717792776275961,0.8407245471580262,0.902834008097166,0.46865952196053,"[[2692  510]
 [  24  223]]"
0.9527736966015673,0.8431429399826037,0.8818950453537389,0.8366645846346034,0.9271255060728745,0.47696198542196694,"[[2679  523]
 [  18  229]]"
