gene;Fiper_consensus_PANCancer;ADAM_PANCancer;Fiper_consensus_lung;ADAM_lung;Fiper_consensus_LungNeuro;ADAM_LungNeuro;Fiper_consensus_NSCLC;ADAM_NSCLC;Fiper_consensus_bone;ADAM_bone;Fiper_consensus_Osteosarcoma;ADAM_Osteosarcoma;Fiper_consensus_Ewing;ADAM_Ewing
A1BG;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
A1CF;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
A2M;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
A2ML1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
A3GALT2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
A4GALT;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
A4GNT;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
AAAS;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
AACS;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
AADAC;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
AADACL2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
AADACL3;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
AADACL4;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
AADAT;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
AAGAB;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
AAK1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
AAMDC;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
AAMP;E;E;E;E;E;E;E;E;E;E;E;E;E;E
AANAT;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
AAR2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
AARD;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
AARS1;E;E;E;E;E;E;E;E;E;E;E;E;E;E
AARS2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
AARSD1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
AASDH;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
AASDHPPT;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
AASS;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
AATF;E;E;E;E;E;E;E;E;E;E;E;E;E;E
AATK;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ABAT;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ABCA1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ABCA10;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ABCA12;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ABCA13;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ABCA2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ABCA3;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ABCA4;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ABCA5;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ABCA6;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ABCA7;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ABCA8;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ABCA9;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ABCB1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ABCB10;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ABCB11;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ABCB4;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ABCB5;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ABCB6;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ABCB7;E;E;E;E;E;E;E;E;E;E;E;E;E;E
ABCB8;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ABCB9;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ABCC1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ABCC10;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
