OGEE_Common,OGEE_Kidney,OGEE_Lung,FIPER_Common,FIPER_Kidney,FIPER_Lung,ADAM_Common,ADAM_Kidney,ADAM_Lung
AARS,AARS,AARS,AAMP,AAMP,AAMP,AAMP,AAMP,AAMP
ABCB7,ABCB7,ABCB7,AARS1,AARS1,AARS1,AARS1,AARS1,AARS1
ABCE1,ABCE1,ABCE1,AATF,AATF,AATF,AATF,AATF,AATF
ABCF1,ABCF1,ACTL6A,ABCB7,ABCB7,ABCB7,ABCB7,ABCB7,ABCB7
ACTL6A,ACTL6A,ACTR2,ABCE1,ABCE1,ABCE1,ABCE1,ABCE1,ABCE1
ACTR10,ACTR10,ACTR6,ABCF1,ABCF1,ABCF1,ABCF1,ABCF1,ABCF1
ACTR1A,ACTR1A,ADSL,ABT1,ABT1,ABT1,ABT1,ABT1,ABT1
ACTR2,ACTR2,AFG3L2,ACIN1,ACD,ACIN1,ACTL6A,ACTG1,ACIN1
ACTR6,ACTR6,AHCTF1,ACTG1,ACIN1,ACTG1,ACTR10,ACTL6A,ACLY
ACTR8,ACTR8,AK6,ACTL6A,ACTG1,ACTL6A,ACTR2,ACTR10,ACO2
ADSL,AFG3L2,ALDOA,ACTR10,ACTL6A,ACTR10,AFG3L2,ACTR1A,ACTB
AFG3L2,AIFM1,ALG1,ACTR1A,ACTR10,ACTR2,AHCTF1,ACTR2,ACTG1
AHCTF1,AK6,ALG11,ACTR2,ACTR1A,AFG3L2,AKIRIN2,ACTR3,ACTL6A
AHCY,ALDOA,ALG13,ACTR3,ACTR2,AGAP6,ALDOA,ACTR8,ACTR10
AIFM1,ALG1,ALG14,ACTR6,ACTR3,AHCTF1,ALG1,AFG3L2,ACTR1A
AK6,ALG11,ALG2,ACTR8,AFG3L2,AK6,ALG11,AHCTF1,ACTR2
AKIRIN2,ALG13,ANAPC1,AFG3L2,AHCTF1,AKIRIN2,ALG14,AK6,ACTR3
ALDOA,ALG14,ANAPC11,AGAP6,AK6,ALDOA,ALG2,AKIRIN2,ACTR6
ALG1,ALG2,ANAPC2,AHCTF1,AKIRIN2,ALG11,ALYREF,ALDOA,ACTR8
ALG11,ANAPC1,ANAPC4,AK6,ALDOA,ALG14,ANAPC1,ALG1,ADAR
ALG13,ANAPC11,ANKLE2,AKIRIN2,ALG11,ALG2,ANAPC10,ALG11,ADSL
ALG14,ANAPC2,AQR,ALDOA,ALG14,ALYREF,ANAPC11,ALG13,AFG3L2
ALG2,ANAPC4,ARCN1,ALG1,ALG2,ANAPC1,ANAPC2,ALG14,AGAP6
ANAPC1,ANKLE2,ARIH1,ALG11,ALYREF,ANAPC10,ANAPC4,ALG2,AHCTF1
ANAPC11,AQP7,ARL2,ALG14,ANAPC1,ANAPC11,ANAPC5,ALYREF,AHCY
ANAPC15,AQR,ARMC7,ALG2,ANAPC10,ANAPC2,ANKLE2,ANAPC1,AK4
ANAPC2,ARCN1,ATP1A1,ALYREF,ANAPC11,ANAPC4,AQR,ANAPC10,AK6
ANAPC4,ARIH1,ATP2A2,ANAPC1,ANAPC2,ANAPC5,ARCN1,ANAPC11,AKIRIN2
ANKLE2,ARL2,ATP6AP1,ANAPC10,ANAPC4,ANKLE2,ARIH1,ANAPC2,ALDOA
AP2S1,ARMC7,ATP6AP2,ANAPC11,ANAPC5,ANLN,ARL2,ANAPC4,ALG1
AQP7,ASNA1,ATP6V0B,ANAPC2,ANKLE2,AQR,ARMC7,ANAPC5,ALG11
AQR,ATP1A1,ATP6V0C,ANAPC4,AQR,ARCN1,ARPC3,ANKLE2,ALG13
ARCN1,ATP2A2,ATP6V1A,ANAPC5,ARCN1,ARGLU1,ATP2A2,AQR,ALG14
ARIH1,ATP6AP1,ATP6V1B2,ANKLE2,ARF4,ARIH1,ATP5F1B,ARCN1,ALG2
ARL2,ATP6AP2,ATP6V1E1,ANLN,ARFRP1,ARL2,ATP5MF,ARF4,ALYREF
ARMC7,ATP6V0B,ATP6V1F,AQR,ARGLU1,ARMC7,ATP6AP1,ARFRP1,ANAPC1
ASNA1,ATP6V0C,ATP6V1G1,ARCN1,ARIH1,ARPC3,ATP6V0B,ARGLU1,ANAPC10
ATL2,ATP6V1A,AURKA,ARF4,ARL2,ATP2A2,ATP6V0C,ARIH1,ANAPC11
ATP1A1,ATP6V1B2,AURKB,ARFRP1,ARMC7,ATP5F1A,ATP6V0D1,ARL2,ANAPC15
ATP2A2,ATP6V1E1,BANF1,ARGLU1,ARPC3,ATP5F1B,ATP6V1A,ARMC7,ANAPC2
ATP5F1D,ATP6V1F,BIRC5,ARIH1,ARPC4,ATP5MF,ATP6V1B2,ARPC3,ANAPC4
ATP5ME,ATP6V1G1,BMS1,ARL2,ATP2A2,ATP5PB,ATP6V1C1,ARPC4,ANAPC5
