ROC-AUC,Accuracy,BA,Sensitivity,Specificity,MCC,CM
0.7326790809098103,0.7766267400453221,0.66537067425059,0.4790996784565916,0.8516416700445886,0.32287048695980775,"[[ 298  324]
 [ 366 2101]]"
0.7243928538378623,0.7504046617028165,0.6471504241844437,0.4742765273311897,0.8200243210376976,0.27664009863831124,"[[ 295  327]
 [ 444 2023]]"
0.7216414224027257,0.7630301068306895,0.6550547614361664,0.4742765273311897,0.8358329955411431,0.29705562122529366,"[[ 295  327]
 [ 405 2062]]"
0.7383928402415916,0.7648963730569949,0.6733193777835218,0.5201288244766505,0.8265099310903932,0.32386063796376385,"[[ 323  298]
 [ 428 2039]]"
0.714206919420081,0.7538860103626943,0.6513664754795507,0.47987117552334946,0.8228617754357519,0.28492820099127797,"[[ 298  323]
 [ 437 2030]]"
0.7206935405878496,0.7552606021366138,0.6465834546561232,0.4646302250803859,0.8285366842318606,0.2791516041881211,"[[ 289  333]
 [ 423 2044]]"
0.7480902250543183,0.7588216251213985,0.6686519289346056,0.5176848874598071,0.8196189704094041,0.3130922270736708,"[[ 322  300]
 [ 445 2022]]"
0.7213813984466338,0.7662674004532211,0.6600874306114017,0.48231511254019294,0.8378597486826105,0.30669726430947825,"[[ 300  322]
 [ 400 2067]]"
0.7083120377387309,0.7457901554404145,0.6372624276520931,0.4557165861513688,0.8188082691528172,0.2589874476927081,"[[ 283  338]
 [ 447 2020]]"
0.7191670795237881,0.760038860103627,0.6552173064483386,0.47987117552334946,0.8305634373733279,0.2948401745701438,"[[ 298  323]
 [ 418 2049]]"
0.7105522804557132,0.7572029783101327,0.650204239368018,0.47106109324758844,0.8293473854884476,0.2857663187532576,"[[ 293  329]
 [ 421 2046]]"
0.7174673536338836,0.7572029783101327,0.6520077889882787,0.4758842443729904,0.828131333603567,0.2883545617116494,"[[ 296  326]
 [ 424 2043]]"
0.7443039113077186,0.7623826481061833,0.6786967390780163,0.5385852090032154,0.8188082691528172,0.3296091174467194,"[[ 335  287]
 [ 447 2020]]"
0.7214732047568972,0.7642487046632125,0.6458025322338605,0.4476650563607085,0.8439400081070125,0.28465105744779745,"[[ 278  343]
 [ 385 2082]]"
0.7188805273082957,0.7571243523316062,0.6431511083173902,0.4524959742351047,0.8338062423996757,0.2753480749924508,"[[ 281  340]
 [ 410 2057]]"
0.7143047063684365,0.7646487536419553,0.6536634051798857,0.4678456591639871,0.8394811511957844,0.29635710632308304,"[[ 291  331]
 [ 396 2071]]"
0.7161587618949555,0.7546131434121075,0.6600053177831622,0.5016077170418006,0.8184029185245237,0.29795634558176354,"[[ 312  310]
 [ 448 2019]]"
0.7296513332907563,0.7695046940757526,0.6669236494068977,0.49517684887459806,0.8386704499391974,0.3188329974042339,"[[ 308  314]
 [ 398 2069]]"
0.7330540917893978,0.7661917098445595,0.6596706150820459,0.48148148148148145,0.8378597486826105,0.30587128388629126,"[[ 299  322]
 [ 400 2067]]"
0.7050822874830207,0.7467616580310881,0.6300382439505825,0.43478260869565216,0.8252938792055128,0.2488549295750202,"[[ 270  351]
 [ 431 2036]]"
0.7303584159783744,0.7601165425704112,0.6574389660561208,0.4855305466237942,0.8293473854884476,0.29822597899530967,"[[ 302  320]
 [ 421 2046]]"
0.7129615751065186,0.7610877306571706,0.6550410759647931,0.477491961414791,0.8325901905147953,0.2955494401668968,"[[ 297  325]
 [ 413 2054]]"
0.7239588288885964,0.7559080608611201,0.6608160190397492,0.5016077170418006,0.8200243210376976,0.29999968773452074,"[[ 312  310]
 [ 444 2023]]"
0.71827935512044,0.7616580310880829,0.647193518045283,0.4557165861513688,0.8386704499391974,0.2846016770036297,"[[ 283  338]
 [ 398 2069]]"
0.7221468309217909,0.756800518134715,0.6471657766576785,0.463768115942029,0.8305634373733279,0.2809273148384416,"[[ 288  333]
 [ 418 2049]]"
0.7277079963557546,0.7682097766267401,0.6607022992895285,0.4807073954983923,0.8406972030806648,0.3091325875445833,"[[ 299  323]
 [ 393 2074]]"
0.7328087670432996,0.7584978957591454,0.6564255894853872,0.4855305466237942,0.8273206323469802,0.2955996257239817,"[[ 302  320]
 [ 426 2041]]"
0.7293300505580413,0.7468436387180317,0.665962407965205,0.5305466237942122,0.8013781921361978,0.3014361373597047,"[[ 330  292]
 [ 490 1977]]"
0.7229777670728657,0.7642487046632125,0.6500198758882956,0.45893719806763283,0.8411025537089583,0.2906807237174477,"[[ 285  336]
 [ 392 2075]]"
0.7096775667474104,0.7558290155440415,0.6429428847257226,0.45410628019323673,0.8317794892582083,0.27410485992825023,"[[ 282  339]
 [ 415 2052]]"
0.7072019467257185,0.7529944966008417,0.6415576282165745,0.454983922829582,0.828131333603567,0.2702479789402294,"[[ 283  339]
 [ 424 2043]]"
0.7363041016009395,0.7568792489478796,0.6596204953619286,0.4967845659163987,0.8224564248074584,0.29898174391154764,"[[ 309  313]
 [ 438 2029]]"
0.7258239631300367,0.759792813208158,0.656033924328467,0.48231511254019294,0.8297527361167409,0.2959920288384246,"[[ 300  322]
 [ 420 2047]]"
0.7399385250850681,0.772020725388601,0.6627162930717679,0.47987117552334946,0.8455614106201864,0.3149474708524801,"[[ 298  323]
 [ 381 2086]]"
0.7120032741364759,0.7477331606217616,0.6324537028877806,0.4396135265700483,0.8252938792055128,0.25309584723724415,"[[ 273  348]
 [ 431 2036]]"
0.7113062847594682,0.7487860148915506,0.6473394140272171,0.477491961414791,0.8171868666396432,0.2758526721660888,"[[ 297  325]
 [ 451 2016]]"
0.7322476627169963,0.7753318225963095,0.6699706218547854,0.49356913183279744,0.8463721118767734,0.32797797704044573,"[[ 307  315]
 [ 379 2088]]"
0.7223817412351072,0.7630301068306895,0.6622689599172095,0.49356913183279744,0.8309687880016214,0.30722769293634145,"[[ 307  315]
 [ 417 2050]]"
0.724685331072247,0.7506476683937824,0.644519901018729,0.4669887278582931,0.822051074179165,0.27281000362202934,"[[ 290  331]
 [ 439 2028]]"
0.7227101442747977,0.7661917098445595,0.6578631820872881,0.47665056360708535,0.8390758005674909,0.30333452730494037,"[[ 296  325]
 [ 397 2070]]"
0.7410076677741037,0.759792813208158,0.66324812280951,0.5016077170418006,0.8248885285772193,0.3061963909443091,"[[ 312  310]
 [ 432 2035]]"
0.7202761337109654,0.755584331498867,0.6461849467635163,0.4630225080385852,0.8293473854884476,0.27880516855655246,"[[ 288  334]
 [ 421 2046]]"
0.735280623848954,0.7656199417287148,0.6608844463966154,0.4855305466237942,0.8362383461694366,0.3072978002973976,"[[ 302  320]
 [ 404 2063]]"
0.7203041500463119,0.7506476683937824,0.6487372446731641,0.4782608695652174,0.8192136197811106,0.2789422322860753,"[[ 297  324]
 [ 446 2021]]"
0.7333634898535057,0.7648963730569949,0.6660896458044905,0.500805152979066,0.8313741386299148,0.3138251394433124,"[[ 311  310]
 [ 416 2051]]"
0.7077350284201622,0.7539656846876012,0.6457727533995363,0.4646302250803859,0.8269152817186867,0.27706440801279936,"[[ 289  333]
 [ 427 2040]]"
0.7423683946420728,0.7688572353512464,0.66411356595159,0.4887459807073955,0.8394811511957844,0.31441057877682593,"[[ 304  318]
 [ 396 2071]]"
0.7220350426269848,0.7607640012949175,0.6548384006506465,0.477491961414791,0.8321848398865018,0.29501745623826653,"[[ 297  325]
 [ 414 2053]]"
0.7152741469196942,0.7441709844559585,0.6428763053954714,0.47342995169082125,0.8123226591001216,0.26625728875490795,"[[ 294  327]
 [ 463 2004]]"
0.7238028285771541,0.7632772020725389,0.6626663585740796,0.4943639291465378,0.8309687880016214,0.3077975056303549,"[[ 307  314]
 [ 417 2050]]"
