ROC-AUC,Accuracy,BA,Sensitivity,Specificity,MCC,CM
0.7354687504077962,0.7688572353512464,0.6595165297776108,0.47665056360708535,0.8423824959481362,0.3077808177323717,"[[ 296  325]
 [ 389 2079]]"
0.7291019593684871,0.7591453544836516,0.6574321233204343,0.4871382636655949,0.8277259829752737,0.29750168679913735,"[[ 303  319]
 [ 425 2042]]"
0.7215228149841575,0.7591453544836516,0.6652475050082308,0.5080385852090032,0.8224564248074584,0.30854290087176295,"[[ 316  306]
 [ 438 2029]]"
0.7428376108034415,0.7704758821625122,0.6723411410033666,0.5080385852090032,0.83664369679773,0.32708460872645273,"[[ 316  306]
 [ 403 2064]]"
0.7238791989853832,0.7555051813471503,0.6602120616942351,0.500805152979066,0.8196189704094041,0.29869668923321313,"[[ 311  310]
 [ 445 2022]]"
0.7277147487844409,0.7542894140498543,0.6528100752433076,0.4830917874396135,0.8225283630470016,0.2872406279767751,"[[ 300  321]
 [ 438 2030]]"
0.7532672433680858,0.7649724830042085,0.6827228744182046,0.545016077170418,0.8204296716659911,0.3370353912726851,"[[ 339  283]
 [ 443 2024]]"
0.7231337904715232,0.7601165425704112,0.6634507981236567,0.5016077170418006,0.8252938792055128,0.30671738831274326,"[[ 312  310]
 [ 431 2036]]"
0.7231565995904785,0.7442538038200065,0.6414960435953949,0.4694533762057878,0.8135387109850021,0.2644330796217921,"[[ 292  330]
 [ 460 2007]]"
0.7228367755499812,0.7597150259067358,0.6622443631132233,0.499194847020934,0.8252938792055128,0.3045540215888311,"[[ 310  311]
 [ 431 2036]]"
0.7099589724316664,0.7552606021366138,0.6558280939667029,0.4895330112721417,0.8221231766612642,0.29223735011940655,"[[ 304  317]
 [ 439 2029]]"
0.735495029567135,0.7620589187439301,0.6706786820760731,0.5176848874598071,0.8236724766923389,0.3182561690131783,"[[ 322  300]
 [ 435 2032]]"
0.7626450497043287,0.7750080932340563,0.6878034427432462,0.5418006430868167,0.8338062423996757,0.35177062128927994,"[[ 337  285]
 [ 410 2057]]"
0.7083528296992976,0.7481385561670444,0.6409222313313878,0.46141479099678456,0.8204296716659911,0.2660503737349602,"[[ 287  335]
 [ 443 2024]]"
0.7134007873332171,0.7558290155440415,0.6531850050293504,0.48148148148148145,0.8248885285772193,0.28889374974321397,"[[ 299  322]
 [ 432 2035]]"
0.7304062042452573,0.7695046940757526,0.6707677923148996,0.5056360708534622,0.8358995137763371,0.3239035583606604,"[[ 314  307]
 [ 405 2063]]"
0.7398633016916546,0.7636775655551958,0.6674837761995316,0.5064308681672026,0.8285366842318606,0.3150126625810587,"[[ 315  307]
 [ 423 2044]]"
0.7266392262104148,0.7594690838459048,0.6696584627696527,0.5192926045016077,0.8200243210376976,0.3149607969858601,"[[ 323  299]
 [ 444 2023]]"
0.7321609880649655,0.7581741663968922,0.6550205477577333,0.48231511254019294,0.8277259829752737,0.2933636432759707,"[[ 300  322]
 [ 425 2042]]"
0.7081090360553183,0.7532383419689119,0.6431289152073065,0.45893719806763283,0.8273206323469802,0.2725450878194535,"[[ 285  336]
 [ 426 2041]]"
0.7155604621604199,0.7491097442538038,0.6543890624469865,0.49597423510466987,0.8128038897893031,0.28606792539307146,"[[ 308  313]
 [ 462 2006]]"
0.722425404405679,0.7584978957591454,0.6564255894853872,0.4855305466237942,0.8273206323469802,0.2955996257239817,"[[ 302  320]
 [ 426 2041]]"
0.739774020283172,0.7643250242797022,0.6672879436210715,0.5048231511254019,0.8297527361167409,0.31523245171381437,"[[ 314  308]
 [ 420 2047]]"
0.7219275139233379,0.7584978957591454,0.6528184902448657,0.4758842443729904,0.8297527361167409,0.29045595658782525,"[[ 296  326]
 [ 420 2047]]"
0.7201246469500466,0.7642487046632125,0.6632743845165199,0.4943639291465378,0.8321848398865018,0.30939384127547936,"[[ 307  314]
 [ 414 2053]]"
0.7320452190616378,0.7633538361929427,0.6651108422918021,0.500805152979066,0.8294165316045381,0.3112351467699564,"[[ 311  310]
 [ 421 2047]]"
0.7348048907964553,0.7559080608611201,0.6632207518667634,0.5080385852090032,0.8184029185245237,0.3034079659257297,"[[ 316  306]
 [ 448 2019]]"
0.7482427203067632,0.7682097766267401,0.6763330626651217,0.522508038585209,0.8301580867450344,0.33073916234381134,"[[ 325  297]
 [ 419 2048]]"
0.720847013373964,0.7572029783101327,0.6496030561612643,0.4694533762057878,0.8297527361167409,0.2849020936014487,"[[ 292  330]
 [ 420 2047]]"
0.7266644343008877,0.7610103626943006,0.6504030334065053,0.46537842190016104,0.8354276449128496,0.2887042747041321,"[[ 289  332]
 [ 406 2061]]"
0.7194772638892152,0.7549368727743606,0.6556255007738342,0.4895330112721417,0.8217179902755267,0.2917233848771904,"[[ 304  317]
 [ 440 2028]]"
0.7358586720921958,0.7620589187439301,0.6706786820760731,0.5176848874598071,0.8236724766923389,0.3182561690131783,"[[ 322  300]
 [ 435 2032]]"
0.7368687902173644,0.7649724830042085,0.6694968438696257,0.5096463022508039,0.8293473854884476,0.3187989505493734,"[[ 317  305]
 [ 421 2046]]"
0.7350740384001293,0.7565555195856264,0.6660308353220712,0.5144694533762058,0.8175922172679367,0.3078242136688486,"[[ 320  302]
 [ 450 2017]]"
0.7344457303393523,0.7571243523316062,0.6612254382649687,0.500805152979066,0.8216457235508715,0.30126217829893714,"[[ 311  310]
 [ 440 2027]]"
0.7150084691131833,0.7562317902233733,0.6504102756833361,0.47342995169082125,0.8273905996758509,0.2851524465680718,"[[ 294  327]
 [ 426 2042]]"
0.723824580931316,0.7594690838459048,0.6642478139088703,0.5048231511254019,0.8236724766923389,0.3073693248231632,"[[ 314  308]
 [ 435 2032]]"
0.7289761833696758,0.7601165425704112,0.6658555309506711,0.5080385852090032,0.8236724766923389,0.3100969536364167,"[[ 316  306]
 [ 435 2032]]"
0.7257529290167184,0.7614114600194237,0.6582496673127078,0.4855305466237942,0.8309687880016214,0.3003405351311746,"[[ 302  320]
 [ 417 2050]]"
0.7385201242553069,0.7742875647668394,0.6834143055482123,0.5314009661835749,0.8354276449128496,0.3450928891127038,"[[ 330  291]
 [ 406 2061]]"
0.7333762661258962,0.7601165425704112,0.6636874701493122,0.5024154589371981,0.8249594813614263,0.3068357217583328,"[[ 312  309]
 [ 432 2036]]"
0.715321341384735,0.7565555195856264,0.6594178200477818,0.4967845659163987,0.822051074179165,0.2984661771693343,"[[ 309  313]
 [ 439 2028]]"
0.7362751014354104,0.7601165425704112,0.6664567141574247,0.5096463022508039,0.8232671260640454,0.31094041429339325,"[[ 317  305]
 [ 436 2031]]"
0.7204286289634103,0.7604402719326643,0.6564392749567605,0.48231511254019294,0.8305634373733279,0.29704863300019885,"[[ 300  322]
 [ 418 2049]]"
0.7269183495897864,0.7645725388601037,0.6670919258201823,0.5040257648953301,0.8301580867450344,0.31497251007383736,"[[ 313  308]
 [ 419 2048]]"
0.7189585470185851,0.7542894140498543,0.6455793578089399,0.463768115942029,0.8273905996758509,0.2768007482781056,"[[ 288  333]
 [ 426 2042]]"
0.7387639021580034,0.7620589187439301,0.6652680332152907,0.5032154340836013,0.8273206323469802,0.3107008713283145,"[[ 313  309]
 [ 426 2041]]"
0.7228248898319554,0.7591453544836516,0.6586344897339413,0.4903536977491961,0.8269152817186867,0.2992072047773098,"[[ 305  317]
 [ 427 2040]]"
0.7270986670350883,0.751375849789576,0.6585797478484483,0.5032154340836013,0.8139440616132955,0.29375537282220043,"[[ 313  309]
 [ 459 2008]]"
0.7177160417674332,0.7555051813471503,0.6565971957047194,0.49114331723027377,0.822051074179165,0.2935479687981539,"[[ 305  316]
 [ 439 2028]]"
