ROC-AUC,Accuracy,BA,Sensitivity,Specificity,MCC,CM
0.9414480351311789,0.9026402640264026,0.8717361658471894,0.8192771084337349,0.9241952232606438,0.7153720006391789,"[[204  45]
 [ 73 890]]"
0.9379324150183288,0.8902640264026402,0.8356603986037608,0.7429718875502008,0.9283489096573209,0.6664127628455727,"[[185  64]
 [ 69 894]]"
0.9400520885673131,0.8868703550784476,0.8315684353331323,0.7379032258064516,0.9252336448598131,0.6563615367221743,"[[183  65]
 [ 72 891]]"
0.9488284259538405,0.8959537572254336,0.8552427729206444,0.7862903225806451,0.9241952232606438,0.6906706286078316,"[[195  53]
 [ 73 890]]"
0.944088533815697,0.8984310487200661,0.8523096506213781,0.7741935483870968,0.9304257528556594,0.6934659844544543,"[[192  56]
 [ 67 896]]"
0.9397548657767102,0.8968646864686468,0.8487470129740144,0.7670682730923695,0.9304257528556594,0.6884450299361977,"[[191  58]
 [ 67 896]]"
0.9480330459949873,0.8993399339933993,0.8651928586620625,0.8072289156626506,0.9231568016614745,0.7045777862616414,"[[201  48]
 [ 74 889]]"
0.9294124543596959,0.8835672997522709,0.8264977556694469,0.7298387096774194,0.9231568016614745,0.6463237926500085,"[[181  67]
 [ 74 889]]"
0.9491257160084413,0.911643270024773,0.8725923692761196,0.8064516129032258,0.9387331256490135,0.7333893173365245,"[[200  48]
 [ 59 904]]"
0.9447291729474424,0.9017341040462428,0.8528895755870431,0.7701612903225806,0.9356178608515057,0.7005913871504011,"[[191  57]
 [ 62 901]]"
0.9384328591625068,0.8935643564356436,0.8407148844599582,0.751004016064257,0.9304257528556594,0.6764478277451071,"[[187  62]
 [ 67 896]]"
0.9416273609495094,0.8952145214521452,0.8477085913748452,0.7670682730923695,0.9283489096573209,0.6844679010756651,"[[191  58]
 [ 69 894]]"
0.9425685860717516,0.8893476465730801,0.8391137406625799,0.7540322580645161,0.9241952232606438,0.6665572164338869,"[[187  61]
 [ 73 890]]"
0.9433264663517904,0.893476465730801,0.8297344487991156,0.7217741935483871,0.9376947040498442,0.6686536487883209,"[[179  69]
 [ 60 903]]"
0.9465631594814592,0.8984310487200661,0.8762603423441531,0.8387096774193549,0.9138110072689511,0.7107502445309364,"[[208  40]
 [ 83 880]]"
0.9435749227439352,0.9018151815181518,0.8503734564425929,0.7630522088353414,0.9376947040498442,0.6997074047591856,"[[190  59]
 [ 60 903]]"
0.934237469087148,0.8968646864686468,0.8561911196186616,0.7871485943775101,0.9252336448598131,0.6935415843859287,"[[196  53]
 [ 72 891]]"
0.9540456570528925,0.8976052848885219,0.8637657856831809,0.8064516129032258,0.9210799584631361,0.6998911175934974,"[[200  48]
 [ 76 887]]"
0.9363129333735303,0.8852188274153592,0.8260392590359428,0.7258064516129032,0.9262720664589823,0.6491818958243375,"[[180  68]
 [ 71 892]]"
0.9352368271195526,0.8876961189099918,0.8305907279000435,0.7338709677419355,0.9273104880581516,0.6572794805900678,"[[182  66]
 [ 70 893]]"
0.9368397786368736,0.8985148514851485,0.8527630772310426,0.7751004016064257,0.9304257528556594,0.6944177079278013,"[[193  56]
 [ 67 896]]"
0.9463774099513318,0.900990099009901,0.8587871736165847,0.7871485943775101,0.9304257528556594,0.7033455454429919,"[[196  53]
 [ 67 896]]"
0.9351907680970086,0.8893476465730801,0.8421075771279268,0.7620967741935484,0.9221183800623053,0.6687360257934628,"[[189  59]
 [ 75 888]]"
0.9490126620440156,0.9149463253509497,0.8761661307071316,0.8104838709677419,0.9418483904465212,0.7425195974239205,"[[201  47]
 [ 56 907]]"
0.9327287039828491,0.8786127167630058,0.829370163802633,0.7459677419354839,0.9127725856697819,0.6395163379431339,"[[185  63]
 [ 84 879]]"
0.9349756241998106,0.8886138613861386,0.8450437263070976,0.7710843373493976,0.9190031152647975,0.6700537076361381,"[[192  57]
 [ 78 885]]"
0.9478453794409205,0.900990099009901,0.8513430669719375,0.7670682730923695,0.9356178608515057,0.6985614840416099,"[[191  58]
 [ 62 901]]"
0.948648377047533,0.9066886870355079,0.8649863497805915,0.7943548387096774,0.9356178608515057,0.7184180675057481,"[[197  51]
 [ 62 901]]"
0.9454577429404081,0.9108175061932288,0.8675824037785147,0.7943548387096774,0.940809968847352,0.7287035175277896,"[[197  51]
 [ 57 906]]"
0.9414212976920242,0.8943022295623452,0.8482166783907814,0.7701612903225806,0.9262720664589823,0.6825505112138779,"[[191  57]
 [ 71 892]]"
0.9406640059719668,0.9051155115511551,0.8643608702723667,0.7951807228915663,0.9335410176531672,0.7152569643895098,"[[198  51]
 [ 64 899]]"
0.9400551322632169,0.8894389438943895,0.8291859024884585,0.7269076305220884,0.9314641744548287,0.6603465414638526,"[[181  68]
 [ 66 897]]"
0.9337001306401367,0.8976052848885219,0.8323305027970389,0.7217741935483871,0.9428868120456906,0.6793349738056084,"[[179  69]
 [ 55 908]]"
0.9427318862425887,0.8967795210569777,0.8527681472548823,0.7782258064516129,0.9273104880581516,0.6905200620602696,"[[193  55]
 [ 70 893]]"
0.9439880414028741,0.9033856317093312,0.8599156701169062,0.7862903225806451,0.9335410176531672,0.7084372342852306,"[[195  53]
 [ 64 899]]"
0.9321356036816008,0.8886138613861386,0.8375996196624504,0.751004016064257,0.9241952232606438,0.6645682873713927,"[[187  62]
 [ 73 890]]"
0.9439252336448597,0.8935643564356436,0.8541142764203231,0.7871485943775101,0.9210799584631361,0.685863782139155,"[[196  53]
 [ 76 887]]"
0.9514998492613808,0.911643270024773,0.8651077781127525,0.7862903225806451,0.9439252336448598,0.7291264534380397,"[[195  53]
 [ 54 909]]"
0.940052088567313,0.8959537572254336,0.853745854687971,0.782258064516129,0.9252336448598131,0.6896101046080408,"[[194  54]
 [ 72 891]]"
0.9450808963923223,0.893476465730801,0.8417097946605031,0.7540322580645161,0.9293873312564901,0.6764370248665058,"[[187  61]
 [ 68 895]]"
0.9447634775863579,0.8960396039603961,0.8422725168587122,0.751004016064257,0.9335410176531672,0.682521421459451,"[[187  62]
 [ 64 899]]"
0.9362517567674645,0.900990099009901,0.8379436750115727,0.7309236947791165,0.944963655244029,0.6907261884712803,"[[182  67]
 [ 53 910]]"
0.9502395069172276,0.9000825763831544,0.8743049274779755,0.8306451612903226,0.9179646936656283,0.7121420012062094,"[[206  42]
 [ 79 884]]"
0.928918366663317,0.8868703550784476,0.8255807624024386,0.7217741935483871,0.9293873312564901,0.6521398239035582,"[[179  69]
 [ 68 895]]"
0.9520860550028472,0.9058629232039637,0.8734486483770476,0.8185483870967742,0.9283489096573209,0.7222418060855299,"[[203  45]
 [ 69 894]]"
0.9460145879468027,0.8993399339933993,0.8503046453727683,0.7670682730923695,0.9335410176531672,0.6944846485483946,"[[191  58]
 [ 64 899]]"
0.9422529161297318,0.9018151815181518,0.8593063844161694,0.7871485943775101,0.9314641744548287,0.7053347787076307,"[[196  53]
 [ 66 897]]"
0.9376947040498445,0.8901734104046243,0.841129869694838,0.7580645161290323,0.9241952232606438,0.6695864733671135,"[[188  60]
 [ 73 890]]"
0.9392900211034066,0.8951279933938894,0.8427482162596724,0.7540322580645161,0.9314641744548287,0.6804577547331384,"[[187  61]
 [ 66 897]]"
0.9422336113623422,0.8852188274153592,0.8395115231300037,0.7620967741935484,0.9169262720664589,0.6592071469220915,"[[189  59]
 [ 80 883]]"
