ROC-AUC,Accuracy,BA,Sensitivity,Specificity,MCC,CM
0.9579749494225831,0.9264705882352942,0.8995860182445057,0.8537549407114624,0.945417095777549,0.7815060222236707,"[[216  37]
 [ 53 918]]"
0.9593162015922055,0.9264104660670482,0.8890114919981037,0.8253968253968254,0.952626158599382,0.7757531815681494,"[[208  44]
 [ 46 925]]"
0.9654095761201837,0.928045789043336,0.8812261945629608,0.8015873015873016,0.96086508753862,0.7764978099698937,"[[202  50]
 [ 38 933]]"
0.9602705676215313,0.9304987735077678,0.8977527403121308,0.841897233201581,0.9536082474226805,0.7897975716986229,"[[213  40]
 [ 45 925]]"
0.9794955380791328,0.9484873262469338,0.9237011531722423,0.8814229249011858,0.965979381443299,0.8437281706301983,"[[223  30]
 [ 33 937]]"
0.9588745557939128,0.928921568627451,0.898208114368057,0.8458498023715415,0.9505664263645726,0.786270161975437,"[[214  39]
 [ 48 923]]"
0.9661983227894659,0.9313164349959117,0.9053238356791395,0.8611111111111112,0.9495365602471678,0.7947769030797379,"[[217  35]
 [ 49 922]]"
0.9695086067382669,0.9329517579721995,0.9048845078711196,0.8571428571428571,0.952626158599382,0.7982863460994258,"[[216  36]
 [ 46 925]]"
0.9585102481561467,0.9321340964840557,0.8929403854773644,0.8260869565217391,0.9597938144329897,0.7917255164108252,"[[209  44]
 [ 39 931]]"
0.9742920011409478,0.9386753883892068,0.9058290208222974,0.849802371541502,0.9618556701030928,0.812847993898777,"[[215  38]
 [ 37 933]]"
0.9524307689802697,0.9240196078431373,0.8834277038056199,0.8142292490118577,0.952626158599382,0.7679800830748477,"[[206  47]
 [ 46 925]]"
0.9564840697693426,0.9174161896974653,0.8833472283523777,0.8253968253968254,0.94129763130793,0.7527079744097182,"[[208  44]
 [ 57 914]]"
0.9643388422997072,0.9223221586263287,0.8805600510028935,0.8095238095238095,0.9515962924819773,0.7622423675843684,"[[204  48]
 [ 47 924]]"
0.9656248726620758,0.9419460343417825,0.9064300558249461,0.8458498023715415,0.9670103092783505,0.8213856379089425,"[[214  39]
 [ 32 938]]"
0.9754451733833177,0.9386753883892068,0.9058290208222974,0.849802371541502,0.9618556701030928,0.812847993898777,"[[215  38]
 [ 37 933]]"
0.9683550229379272,0.9321895424836601,0.9002678466028665,0.8458498023715415,0.9546858908341915,0.7947895709783688,"[[214  39]
 [ 44 927]]"
0.9660430255177939,0.937857726901063,0.9050357183724846,0.8492063492063492,0.96086508753862,0.8100714367449692,"[[214  38]
 [ 38 933]]"
0.9630596831935658,0.9304987735077678,0.8989321269187387,0.8452380952380952,0.952626158599382,0.7898606794270638,"[[213  39]
 [ 46 925]]"
0.9635956155005909,0.9174161896974653,0.882201214294446,0.8221343873517787,0.9422680412371134,0.7525873582453537,"[[208  45]
 [ 56 914]]"
0.9649769773032884,0.9337694194603434,0.8925104926449615,0.8221343873517787,0.9628865979381444,0.7956849344349153,"[[208  45]
 [ 36 934]]"
0.952679076621225,0.923202614379085,0.8799900676943617,0.8063241106719368,0.9536560247167868,0.7644870530738463,"[[204  49]
 [ 45 926]]"
0.9606403151717261,0.9296811120196239,0.8954788060091871,0.8373015873015873,0.9536560247167868,0.7863753212627916,"[[211  41]
 [ 45 926]]"
0.9711964428751246,0.9321340964840557,0.901431186961568,0.8492063492063492,0.9536560247167868,0.794808662129295,"[[214  38]
 [ 45 926]]"
0.9732488488651644,0.92886345053148,0.8981826331445336,0.8458498023715415,0.9505154639175257,0.7862236402879533,"[[214  39]
 [ 48 922]]"
0.9616397049834969,0.9419460343417825,0.9122733384947639,0.8616600790513834,0.9628865979381444,0.823346467729668,"[[218  35]
 [ 36 934]]"
0.9673943573106246,0.9281045751633987,0.8860023690991317,0.8142292490118577,0.9577754891864058,0.7789222019391672,"[[206  47]
 [ 41 930]]"
0.9712209634969676,0.9427636958299264,0.9140020924263973,0.8650793650793651,0.9629248197734295,0.8255885673866269,"[[218  34]
 [ 36 935]]"
0.9661247609239372,0.9296811120196239,0.8984171938600363,0.8452380952380952,0.9515962924819773,0.7877313608545999,"[[213  39]
 [ 47 924]]"
0.9562976243836846,0.9247751430907605,0.8897620308870868,0.8300395256916996,0.9494845360824742,0.7728358396600022,"[[210  43]
 [ 49 921]]"
0.9597163929750215,0.9321340964840557,0.8929403854773644,0.8260869565217391,0.9597938144329897,0.7917255164108252,"[[209  44]
 [ 39 931]]"
0.9656765569092619,0.923202614379085,0.8843741222731953,0.8181818181818182,0.9505664263645726,0.7665174283188005,"[[207  46]
 [ 48 923]]"
0.9615802723423732,0.9337694194603434,0.8921766956010004,0.8214285714285714,0.9629248197734295,0.7950702243542226,"[[207  45]
 [ 36 935]]"
0.9578040965785558,0.9239574816026165,0.8889358867474213,0.8293650793650794,0.9485066941297632,0.7700687486181391,"[[209  43]
 [ 50 921]]"
0.9657797155780123,0.9354047424366312,0.9052279858196488,0.8537549407114624,0.9567010309278351,0.8046407899880952,"[[216  37]
 [ 42 928]]"
0.9705431726498512,0.9247751430907605,0.8926836722219958,0.8379446640316206,0.9474226804123711,0.7742932554361432,"[[212  41]
 [ 51 919]]"
0.9664866097051652,0.9354575163398693,0.9052502818902317,0.8537549407114624,0.956745623069001,0.8046829152429193,"[[216  37]
 [ 42 929]]"
0.9543589492096187,0.9255928045789044,0.8884965589394014,0.8253968253968254,0.9515962924819773,0.7736050365967291,"[[208  44]
 [ 47 924]]"
0.9667745574027757,0.9329517579721995,0.8901925686168735,0.8174603174603174,0.9629248197734295,0.7922763427307059,"[[206  46]
 [ 36 935]]"
0.9646387677763741,0.9231398201144726,0.8901919237194897,0.83399209486166,0.9463917525773196,0.7693800283370476,"[[211  42]
 [ 52 918]]"
0.9681349578256795,0.9329517579721995,0.902220773399617,0.849802371541502,0.954639175257732,0.7975395356789926,"[[215  38]
 [ 44 926]]"
