ROC-AUC,Accuracy,BA,Sensitivity,Specificity,MCC,CM
0.7526148201806271,0.7656957928802589,0.673544195281598,0.5192926045016077,0.8277957860615883,0.3249104003773122,"[[ 323  299]
 [ 425 2043]]"
0.7299247082918592,0.7491909385113269,0.6541929625248193,0.49517684887459806,0.8132090761750406,0.2859970662843005,"[[ 308  314]
 [ 461 2007]]"
0.7222935894562946,0.7533980582524272,0.6706557765768395,0.5321543408360129,0.8091572123176661,0.31217891359808136,"[[ 331  291]
 [ 471 1997]]"
0.7492424776266648,0.7685335059889932,0.6804035291016477,0.533011272141707,0.8277957860615883,0.33633737888875676,"[[ 331  290]
 [ 425 2043]]"
0.7266570883475965,0.7549368727743606,0.6646638975667938,0.5136876006441223,0.8156401944894651,0.30457958197738705,"[[ 319  302]
 [ 455 2013]]"
0.7445579950700152,0.7666666666666667,0.6759557708442989,0.5241157556270096,0.8277957860615883,0.32897750405777754,"[[ 326  296]
 [ 425 2043]]"
0.7510608457060668,0.7650485436893204,0.6899744380807454,0.5643086816720257,0.8156401944894651,0.346958365810563,"[[ 351  271]
 [ 455 2013]]"
0.7294436308869282,0.7601941747572816,0.668296315018735,0.5144694533762058,0.8221231766612642,0.31353089907850484,"[[ 320  302]
 [ 439 2029]]"
0.734344537617739,0.7546131434121075,0.6680766630911088,0.5233494363929146,0.8128038897893031,0.30918311248809777,"[[ 325  296]
 [ 462 2006]]"
0.7277969605148803,0.7669148591777274,0.667339367413358,0.500805152979066,0.8338735818476499,0.3170939930613948,"[[ 311  310]
 [ 410 2058]]"
0.7261422086957429,0.7592233009708738,0.6676885354401287,0.5144694533762058,0.8209076175040518,0.3119838863494706,"[[ 320  302]
 [ 442 2026]]"
0.735387233111154,0.7608414239482201,0.6650939094362828,0.5048231511254019,0.8253646677471637,0.3095132585779652,"[[ 314  308]
 [ 431 2037]]"
0.743575646083372,0.7660194174757281,0.6815632377388776,0.5401929260450161,0.8229335494327391,0.3361808110160032,"[[ 336  286]
 [ 437 2031]]"
0.7406918051869077,0.7594690838459048,0.6711155609841397,0.5233494363929146,0.8188816855753647,0.3167861689264766,"[[ 325  296]
 [ 447 2021]]"
0.7312648600965139,0.7487860148915506,0.6571992681851042,0.5040257648953301,0.8103727714748784,0.28990484544390865,"[[ 313  308]
 [ 468 2000]]"
0.7346928139999063,0.7592233009708738,0.6652834741280025,0.5080385852090032,0.8225283630470016,0.308606526445813,"[[ 316  306]
 [ 438 2030]]"
0.7421607508585781,0.7540453074433657,0.6716622282906085,0.5337620578778135,0.8095623987034035,0.3140200057011188,"[[ 332  290]
 [ 470 1998]]"
0.7497140243997769,0.7527508090614887,0.6720543861751969,0.5369774919614148,0.807131280388979,0.3137282170042528,"[[ 334  288]
 [ 476 1992]]"
