ROC-AUC,Accuracy,BA,Sensitivity,Specificity,MCC,CM
0.9470355434210855,0.9042113955408753,0.845947198356837,0.7469879518072289,0.9449064449064449,0.7025786367913922,"[[186  63]
 [ 53 909]]"
0.938665247132989,0.8900826446280992,0.8336085775601905,0.7379032258064516,0.9293139293139293,0.6642543638662717,"[[183  65]
 [ 68 894]]"
0.941364596606532,0.8991735537190083,0.8453113473274764,0.7540322580645161,0.9365904365904366,0.6906226946549527,"[[187  61]
 [ 61 901]]"
0.9464195895647507,0.9057851239669421,0.8659295151230635,0.7983870967741935,0.9334719334719335,0.7172755017964856,"[[198  50]
 [ 64 898]]"
0.9316391476415548,0.8867768595041322,0.8275537112027715,0.7269076305220884,0.9281997918834547,0.6541363247834663,"[[181  68]
 [ 69 892]]"
0.936861792283479,0.8876961189099918,0.8355521879618265,0.7469879518072289,0.9241164241164241,0.661468129321833,"[[186  63]
 [ 73 889]]"
0.941586748038361,0.8851239669421488,0.8200154248541345,0.7096774193548387,0.9303534303534303,0.6449082166350648,"[[176  72]
 [ 67 895]]"
0.950766212862987,0.9057851239669421,0.8614403795855409,0.7862903225806451,0.9365904365904366,0.7144730828370487,"[[195  53]
 [ 61 901]]"
0.931954597277178,0.9016528925619834,0.8393887063241903,0.7338709677419355,0.9449064449064449,0.6926351373671954,"[[182  66]
 [ 53 909]]"
0.9455344792280465,0.8917355371900827,0.8470406078006093,0.7710843373493976,0.922996878251821,0.6775554499001095,"[[192  57]
 [ 74 887]]"
0.9411909592632486,0.893476465730801,0.8317490335562625,0.7269076305220884,0.9365904365904366,0.6705903508788523,"[[181  68]
 [ 61 901]]"
0.9499446717188652,0.9115702479338843,0.866575011736302,0.7903225806451613,0.9428274428274428,0.7298944559848307,"[[196  52]
 [ 55 907]]"
0.9316569981892562,0.8876033057851239,0.8365384615384616,0.75,0.9230769230769231,0.6614996222474901,"[[186  62]
 [ 74 888]]"
0.9361461337267789,0.8834710743801653,0.814486788277111,0.6975806451612904,0.9313929313929314,0.6377305351735775,"[[173  75]
 [ 66 896]]"
0.9328845036754719,0.8942148760330578,0.8352118150019432,0.7349397590361446,0.9354838709677419,0.6744720879421334,"[[183  66]
 [ 62 899]]"
0.9396504938673613,0.884393063583815,0.834961467491588,0.751004016064257,0.918918918918919,0.6548525916571702,"[[187  62]
 [ 78 884]]"
0.9395538528603045,0.8925619834710744,0.8276859365569043,0.717741935483871,0.9376299376299376,0.6655482779562911,"[[178  70]
 [ 60 902]]"
0.947668667426732,0.8966942148760331,0.8572195023807927,0.7903225806451613,0.9241164241164241,0.6935975997027443,"[[196  52]
 [ 73 889]]"
0.9406897592381462,0.8950413223140495,0.8217632955536182,0.6975806451612904,0.9459459459459459,0.6676832774410083,"[[173  75]
 [ 52 910]]"
0.933682701670365,0.8768595041322315,0.8064328071913043,0.6867469879518072,0.9261186264308012,0.61941434809328,"[[171  78]
 [ 71 890]]"
0.9312134191652265,0.8901734104046243,0.8415762843473686,0.7590361445783133,0.9241164241164241,0.6705345547791005,"[[189  60]
 [ 73 889]]"
0.9363137951847629,0.8909090909090909,0.8266464355174032,0.717741935483871,0.9355509355509356,0.661347639032714,"[[178  70]
 [ 62 900]]"
0.9331785259204615,0.8727272727272727,0.8077300315203542,0.6975806451612904,0.9178794178794178,0.6118292398956553,"[[173  75]
 [ 79 883]]"
0.9435861109248208,0.8842975206611571,0.8344594594594594,0.75,0.918918918918919,0.6537915813192282,"[[186  62]
 [ 78 884]]"
0.948927865468116,0.9041322314049587,0.8474062744213064,0.751004016064257,0.9438085327783559,0.7033291397311913,"[[187  62]
 [ 54 907]]"
0.9353797727291704,0.884393063583815,0.8275200594477703,0.7309236947791165,0.9241164241164241,0.6493159528006519,"[[182  67]
 [ 73 889]]"
0.9403209040305814,0.8917355371900827,0.8301589430621689,0.7258064516129032,0.9345114345114345,0.6653498507873263,"[[180  68]
 [ 63 899]]"
0.9490015760177049,0.9041322314049587,0.8514226074709945,0.7620967741935484,0.9407484407484408,0.7049640952697278,"[[189  59]
 [ 57 905]]"
0.9349389712292938,0.8892561983471075,0.8256069344779022,0.717741935483871,0.9334719334719335,0.6571910736637657,"[[178  70]
 [ 64 898]]"
0.9442306165348178,0.8892561983471075,0.8261391037615602,0.7188755020080321,0.9334027055150884,0.6582302886802402,"[[179  70]
 [ 64 897]]"
0.9312593408978951,0.8852188274153592,0.8295280915762844,0.7349397590361446,0.9241164241164241,0.6523609852783613,"[[183  66]
 [ 73 889]]"
0.9439046676949903,0.9008264462809917,0.8373725772919322,0.7298387096774194,0.9449064449064449,0.6896366180418024,"[[181  67]
 [ 53 909]]"
0.9413855542887801,0.8942148760330578,0.8436892227214807,0.7580645161290323,0.9293139293139293,0.6793836891640668,"[[188  60]
 [ 68 894]]"
0.9488297230232714,0.8917355371900827,0.8451227281872443,0.7661290322580645,0.9241164241164241,0.6755602211735056,"[[190  58]
 [ 73 889]]"
0.9242213390502698,0.8859504132231405,0.8210824567782053,0.7108433734939759,0.931321540062435,0.6480247102469312,"[[177  72]
 [ 66 895]]"
0.9400721388673194,0.8976052848885219,0.8358360677637786,0.7309236947791165,0.9407484407484408,0.6820441032491863,"[[182  67]
 [ 57 905]]"
0.928718731138086,0.8842975206611571,0.8284739454094293,0.7338709677419355,0.9230769230769231,0.6493070660157966,"[[182  66]
 [ 74 888]]"
0.931154013815304,0.8727272727272727,0.8092264100328617,0.7016129032258065,0.9168399168399168,0.613019297634236,"[[174  74]
 [ 80 882]]"
0.9510512373415599,0.9,0.8503202333847495,0.7661290322580645,0.9345114345114345,0.6954923608222295,"[[190  58]
 [ 63 899]]"
0.9447613555157154,0.8975206611570248,0.8343174989238954,0.7269076305220884,0.9417273673257024,0.6811141128085919,"[[181  68]
 [ 56 905]]"
0.933208927184831,0.8860445912469034,0.833024405313562,0.7429718875502008,0.9230769230769231,0.6564851558242203,"[[185  64]
 [ 74 888]]"
0.9368335457045134,0.8933884297520661,0.8431694722017302,0.7580645161290323,0.9282744282744283,0.6773903522081657,"[[188  60]
 [ 69 893]]"
0.9519356515324258,0.9090909090909091,0.8590302461270203,0.7741935483870968,0.9438669438669439,0.720225242356649,"[[192  56]
 [ 54 908]]"
0.9274361209845082,0.8785123966942149,0.8098719066461002,0.6935483870967742,0.9261954261954262,0.6244665824828034,"[[172  76]
 [ 71 891]]"
0.9477577322818851,0.8900826446280992,0.848975506604984,0.7791164658634538,0.918834547346514,0.6759280015029615,"[[194  55]
 [ 78 883]]"
0.938732059213987,0.8951279933938894,0.8298119713782364,0.7188755020080321,0.9407484407484408,0.6730158795136385,"[[179  70]
 [ 57 905]]"
0.9337318087318088,0.8859504132231405,0.8265206894239152,0.7258064516129032,0.9272349272349273,0.6511011404551907,"[[180  68]
 [ 70 892]]"
0.9371269532559856,0.903305785123967,0.8389318288511838,0.7298387096774194,0.9480249480249481,0.6962390714196123,"[[181  67]
 [ 50 912]]"
0.9395706190061028,0.8851239669421488,0.8319864529541949,0.7419354838709677,0.922037422037422,0.6534668994411253,"[[184  64]
 [ 75 887]]"
0.9484556331465299,0.8983471074380165,0.8586416425326697,0.7911646586345381,0.9261186264308012,0.6983276361960926,"[[197  52]
 [ 71 890]]"
