ROC-AUC,Accuracy,BA,Sensitivity,Specificity,MCC,CM
0.8640712806861874,0.8143036386449184,0.774005471753919,0.6693877551020408,0.8786231884057971,0.5573494882783748,"[[164  81]
 [ 67 485]]"
0.8559967465246969,0.7929736511919699,0.7483917480035492,0.6326530612244898,0.8641304347826086,0.5058995498794047,"[[155  90]
 [ 75 477]]"
0.8785862170955339,0.8255959849435383,0.7878327417923692,0.689795918367347,0.8858695652173914,0.5847288943358655,"[[169  76]
 [ 63 489]]"
0.8671580428904775,0.7964824120603015,0.758924404607578,0.6612244897959184,0.8566243194192378,0.5202436771854912,"[[162  83]
 [ 79 472]]"
0.8618585174625801,0.8090452261306532,0.7674180327868853,0.6598360655737705,0.875,0.5440176671317046,"[[161  83]
 [ 69 483]]"
0.8794069801833777,0.820577164366374,0.7830745341614906,0.6857142857142857,0.8804347826086957,0.5736159936244829,"[[168  77]
 [ 66 486]]"
0.8718426501035196,0.8092848180677541,0.7737873410233658,0.6816326530612244,0.8659420289855072,0.5501106129682092,"[[167  78]
 [ 74 478]]"
0.8789041703637976,0.820577164366374,0.7921546879621413,0.7183673469387755,0.8659420289855072,0.5810744350918259,"[[176  69]
 [ 74 478]]"
0.8755953924219416,0.8153266331658291,0.7782028964035705,0.6816326530612244,0.8747731397459165,0.5623419330595342,"[[167  78]
 [ 69 482]]"
0.8506325730577335,0.792713567839196,0.7453522214302685,0.6229508196721312,0.8677536231884058,0.5024294977162784,"[[152  92]
 [ 73 479]]"
0.8724933451641527,0.8042659974905897,0.7747042295178941,0.6979591836734694,0.8514492753623188,0.544613261598327,"[[171  74]
 [ 82 470]]"
0.8480627033422063,0.8130489335006273,0.7730996746524696,0.6693877551020408,0.8768115942028986,0.5547988384108732,"[[164  81]
 [ 68 484]]"
0.8760499852114758,0.8193224592220828,0.7833037562851228,0.689795918367347,0.8768115942028986,0.5719614032823644,"[[169  76]
 [ 68 484]]"
0.8649875921330419,0.7839195979899497,0.7441831178932553,0.6408163265306123,0.8475499092558983,0.49062475726047294,"[[157  88]
 [ 84 467]]"
0.8676942266571632,0.8153266331658291,0.7742337847469708,0.6680327868852459,0.8804347826086957,0.5586066925103267,"[[163  81]
 [ 66 486]]"
0.8726634131913635,0.8268506900878294,0.7910085773439811,0.6979591836734694,0.8840579710144928,0.588960647542553,"[[171  74]
 [ 64 488]]"
0.843988464951198,0.7791718946047679,0.7338879029872818,0.6163265306122448,0.8514492753623188,0.47453999819423154,"[[151  94]
 [ 82 470]]"
0.8576086956521739,0.8055207026348808,0.7563146997929606,0.6285714285714286,0.8840579710144928,0.5306260439018512,"[[154  91]
 [ 64 488]]"
0.8793214563502353,0.8203517587939698,0.7886329123300864,0.7061224489795919,0.8711433756805808,0.577923343282877,"[[173  72]
 [ 71 480]]"
0.8833823354716084,0.8341708542713567,0.8015413399857448,0.7172131147540983,0.8858695652173914,0.6073453770643072,"[[175  69]
 [ 63 489]]"
0.8993419106773144,0.8318695106649937,0.8037119195504289,0.7306122448979592,0.8768115942028986,0.6060585633575727,"[[179  66]
 [ 68 484]]"
0.8721975746820467,0.8130489335006273,0.7765047323277137,0.6816326530612244,0.8713768115942029,0.5575589131053508,"[[167  78]
 [ 71 481]]"
0.8404466134279799,0.7967377666248432,0.7522441585329784,0.636734693877551,0.8677536231884058,0.5144128223124688,"[[156  89]
 [ 73 479]]"
0.8654690914478315,0.792713567839196,0.7596022074891662,0.673469387755102,0.8457350272232305,0.5163342008129689,"[[165  80]
 [ 85 466]]"
0.859571751009741,0.8077889447236181,0.7642254692325968,0.6516393442622951,0.8768115942028986,0.5396349429207854,"[[159  85]
 [ 68 484]]"
0.869572611653357,0.8017565872020075,0.7660825199645076,0.673469387755102,0.8586956521739131,0.5333851280985445,"[[165  80]
 [ 78 474]]"
0.8726264418811002,0.820577164366374,0.7819395149364093,0.6816326530612244,0.8822463768115942,0.5727568719658686,"[[167  78]
 [ 65 487]]"
0.8563590653652764,0.8017565872020075,0.7694875776397516,0.6857142857142857,0.8532608695652174,0.5365761617839746,"[[168  77]
 [ 81 471]]"
0.849587021741546,0.7914572864321608,0.7518945146116522,0.6489795918367347,0.8548094373865699,0.507318850082514,"[[159  86]
 [ 80 471]]"
0.8854092421002613,0.8190954773869347,0.7746644095984794,0.6598360655737705,0.8894927536231884,0.5647606149303268,"[[161  83]
 [ 61 491]]"
0.8837548062703342,0.8180677540777918,0.7846679976338362,0.6979591836734694,0.8713768115942029,0.5713037157056398,"[[171  74]
 [ 71 481]]"
0.8486912156166815,0.8042659974905897,0.7656240757172434,0.6653061224489796,0.8659420289855072,0.5362679305244135,"[[163  82]
 [ 74 478]]"
0.8545844424726412,0.8030112923462986,0.7635832593907128,0.6612244897959184,0.8659420289855072,0.5327984695127242,"[[162  83]
 [ 74 478]]"
0.8617652505648357,0.7977386934673367,0.766632097485092,0.6857142857142857,0.8475499092558983,0.5291777143490004,"[[168  77]
 [ 84 467]]"
0.8423244832501782,0.7814070351758794,0.7280529817058683,0.5901639344262295,0.8659420289855072,0.47156116996666636,"[[144 100]
 [ 74 478]]"
0.8658754806270335,0.8005018820577164,0.7685817805383023,0.6857142857142857,0.8514492753623188,0.5341896359454429,"[[168  77]
 [ 82 470]]"
0.8303608399881692,0.7616060225846926,0.7189367051168294,0.6081632653061224,0.8297101449275363,0.43887731715630973,"[[149  96]
 [ 94 458]]"
0.8742753623188404,0.820577164366374,0.777399438036084,0.6653061224489796,0.8894927536231884,0.5694909586055933,"[[163  82]
 [ 61 491]]"
0.8872921219304419,0.8203517587939698,0.7954331641912664,0.7306122448979592,0.8602540834845736,0.5838902464141061,"[[179  66]
 [ 77 474]]"
0.8718742575433596,0.8103015075376885,0.767180446661915,0.6557377049180327,0.8786231884057971,0.5456699745967006,"[[160  84]
 [ 67 485]]"
0.8799763383614314,0.8005018820577164,0.7560965690624075,0.6408163265306123,0.8713768115942029,0.522953146327218,"[[157  88]
 [ 71 481]]"
0.8537193138124815,0.8017565872020075,0.7547323277136941,0.6326530612244898,0.8768115942028986,0.5236706853501605,"[[155  90]
 [ 68 484]]"
0.8482993197278912,0.8055207026348808,0.7665298728186927,0.6653061224489796,0.8677536231884058,0.5387546562914384,"[[163  82]
 [ 73 479]]"
0.865817252490833,0.7914572864321608,0.7586947664728323,0.673469387755102,0.8439201451905626,0.5139742579529619,"[[165  80]
 [ 86 465]]"
0.8745916488477071,0.800251256281407,0.7690811356616774,0.6885245901639344,0.8496376811594203,0.534001636269996,"[[168  76]
 [ 83 469]]"
0.8658532978408755,0.8055207026348808,0.7529096421177166,0.6163265306122448,0.8894927536231884,0.528204504145345,"[[151  94]
 [ 61 491]]"
0.8487281869269447,0.7967377666248432,0.7635943507837918,0.6775510204081633,0.8496376811594203,0.5248421699072867,"[[166  79]
 [ 83 469]]"
0.8788154392191659,0.8268506900878294,0.7887385388938184,0.689795918367347,0.8876811594202898,0.5873177490529936,"[[169  76]
 [ 62 490]]"
