ROC-AUC,Accuracy,BA,Sensitivity,Specificity,MCC,CM
0.959020744143956,0.9232715008431703,0.8864075388952699,0.8237704918032787,0.9490445859872612,0.767054959453699,"[[201  43]
 [ 48 894]]"
0.9642933049946865,0.9249578414839797,0.8787460148777896,0.8,0.9574920297555791,0.7681359961629373,"[[196  49]
 [ 40 901]]"
0.9591446355375306,0.9139966273187183,0.8658006029191698,0.7836734693877551,0.9479277364505845,0.73608478515011,"[[192  53]
 [ 49 892]]"
0.9672037996920342,0.924114671163575,0.8948187989329632,0.8448979591836735,0.944739638682253,0.7737771906439636,"[[207  38]
 [ 52 889]]"
0.9662755644234314,0.9224283305227656,0.890737166279902,0.8367346938775511,0.944739638682253,0.767923845494947,"[[205  40]
 [ 52 889]]"
0.9664386899168146,0.924114671163575,0.8899751139883749,0.8319672131147541,0.9479830148619958,0.7707500213188268,"[[203  41]
 [ 49 893]]"
0.9670129475807326,0.9258010118043845,0.8913530980936477,0.8326530612244898,0.9500531349628055,0.7757717482486939,"[[204  41]
 [ 47 894]]"
0.9685441020191287,0.9249578414839797,0.8968596152594939,0.8489795918367347,0.944739638682253,0.7766987196605353,"[[208  37]
 [ 52 889]]"
0.9581513370491661,0.9165261382799326,0.8704135852002863,0.7918367346938775,0.9489904357066951,0.7442195524503636,"[[194  51]
 [ 48 893]]"
0.9602203474375935,0.9207419898819561,0.8836366002298901,0.8204081632653061,0.946865037194474,0.760475482377069,"[[201  44]
 [ 50 891]]"
0.9650856218022345,0.927487352445194,0.8951350457693781,0.8401639344262295,0.9501061571125266,0.7809481529112196,"[[205  39]
 [ 47 895]]"
0.9603331236851808,0.9148397976391232,0.8799171528335032,0.8204081632653061,0.9394261424017003,0.7456120366843232,"[[201  44]
 [ 57 884]]"
0.9638291873603853,0.9266441821247892,0.8843371142293261,0.8122448979591836,0.9564293304994687,0.7745848268529417,"[[199  46]
 [ 41 900]]"
0.9619163286993863,0.9207419898819561,0.8775987334359887,0.8040816326530612,0.9511158342189161,0.7574943454898568,"[[197  48]
 [ 46 895]]"
0.9664881042746536,0.9325463743676222,0.8940944284196144,0.8285714285714286,0.9596174282678002,0.7930192305784886,"[[203  42]
 [ 38 903]]"
0.9745440465002958,0.9367622259696459,0.9116024503149908,0.8688524590163934,0.9543524416135881,0.8099969452518752,"[[212  32]
 [ 43 899]]"
0.9608449543473075,0.9148397976391232,0.8633130191502744,0.7755102040816326,0.9511158342189161,0.7368362884927234,"[[190  55]
 [ 46 895]]"
0.9591142727016416,0.9190556492411467,0.8750265674814028,0.8,0.9500531349628055,0.7523343674662796,"[[196  49]
 [ 47 894]]"
0.9648398360406861,0.9232715008431703,0.894287449304908,0.8448979591836735,0.9436769394261424,0.7716647027768194,"[[207  38]
 [ 53 888]]"
0.9605803639202759,0.9080944350758853,0.8635906222212584,0.7877551020408163,0.9394261424017003,0.7217928807386774,"[[193  52]
 [ 57 884]]"
0.9612700567331454,0.9207419898819561,0.8757048136159549,0.7991803278688525,0.9522292993630573,0.7560420143621134,"[[195  49]
 [ 45 897]]"
0.9646359712854323,0.9266441821247892,0.8918844477217029,0.8326530612244898,0.9511158342189161,0.7779612210834282,"[[204  41]
 [ 46 895]]"
0.9523954108742327,0.9131534569983136,0.8592313864972132,0.7673469387755102,0.9511158342189161,0.7308962289784254,"[[188  57]
 [ 46 895]]"
0.9665097920145742,0.924114671163575,0.8978377323299139,0.8530612244897959,0.9426142401700319,0.7754166026417602,"[[209  36]
 [ 54 887]]"
0.9721659545858726,0.9249578414839797,0.8878028150686417,0.8244897959183674,0.9511158342189161,0.772131992302139,"[[202  43]
 [ 46 895]]"
0.9672218161567645,0.9376053962900506,0.9030228672862066,0.8442622950819673,0.9617834394904459,0.8085118109041163,"[[206  38]
 [ 36 906]]"
0.9567069335704526,0.9148397976391232,0.8753887527380773,0.8081632653061225,0.9426142401700319,0.7430454811652161,"[[198  47]
 [ 54 887]]"
0.9682231234683034,0.9207419898819561,0.8775987334359887,0.8040816326530612,0.9511158342189161,0.7574943454898568,"[[197  48]
 [ 46 895]]"
0.9626450367607192,0.9266441821247892,0.8964128478171289,0.8448979591836735,0.9479277364505845,0.780178744843448,"[[207  38]
 [ 49 892]]"
0.9637120735648139,0.9173693086003373,0.881511201717669,0.8204081632653061,0.9426142401700319,0.7519175349766047,"[[201  44]
 [ 54 887]]"
0.9626100727437263,0.9258010118043845,0.8849631060526957,0.8155737704918032,0.9543524416135881,0.7722817816809047,"[[199  45]
 [ 43 899]]"
0.9560736515647705,0.9139966273187183,0.8658006029191698,0.7836734693877551,0.9479277364505845,0.73608478515011,"[[192  53]
 [ 49 892]]"
0.964935262096337,0.9190556492411467,0.888611767767681,0.8367346938775511,0.9404888416578109,0.7595085673040416,"[[205  40]
 [ 56 885]]"
0.9730594894706023,0.9308600337268128,0.8869938623696024,0.8122448979591836,0.9617428267800212,0.786117993936252,"[[199  46]
 [ 36 905]]"
0.9676418920384307,0.9308600337268128,0.8975601292589299,0.8408163265306122,0.9543039319872476,0.7903895755385899,"[[206  39]
 [ 43 898]]"
0.9660819324075041,0.9198988195615514,0.8858027914099753,0.8278688524590164,0.9437367303609342,0.759225515476347,"[[202  42]
 [ 53 889]]"
