,number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_n_estimators,params_n_voters,state
0,0,0.8423182798142357,2024-07-04 10:55:43.551269,2024-07-04 10:56:47.268530,0 days 00:01:03.717261,0.0248461687421351,120,4,COMPLETE
1,1,0.8825998371421111,2024-07-04 10:56:47.279181,2024-07-04 10:58:07.817988,0 days 00:01:20.538807,0.04595068893557344,100,11,COMPLETE
2,2,0.8244511361248665,2024-07-04 10:58:07.826815,2024-07-04 10:59:42.355834,0 days 00:01:34.529019,0.0016002303899586149,120,15,COMPLETE
3,3,0.8087380880638652,2024-07-04 10:59:42.363784,2024-07-04 11:02:34.374124,0 days 00:02:52.010340,0.0021560531082856806,200,19,COMPLETE
4,4,0.862527755664263,2024-07-04 11:02:34.383549,2024-07-04 11:05:31.051711,0 days 00:02:56.668162,0.01061710292709643,200,18,COMPLETE
5,5,0.8525893009258467,2024-07-04 11:05:31.060632,2024-07-04 11:06:25.189780,0 days 00:00:54.129148,0.011826757340963001,60,15,COMPLETE
6,6,0.6828651919662436,2024-07-04 11:06:25.200801,2024-07-04 11:07:33.712447,0 days 00:01:08.511646,0.0032038374530860836,140,6,COMPLETE
7,7,0.8546726544503075,2024-07-04 11:07:33.721892,2024-07-04 11:08:45.849791,0 days 00:01:12.127899,0.00802883321752304,80,13,COMPLETE
8,8,0.5,2024-07-04 11:08:45.858518,2024-07-04 11:09:46.141905,0 days 00:01:00.283387,0.002010040901901548,60,10,COMPLETE
9,9,0.8870848581954445,2024-07-04 11:09:46.150616,2024-07-04 11:11:05.286030,0 days 00:01:19.135414,0.05710066130791045,140,8,COMPLETE
10,10,0.808477662463827,2024-07-04 11:11:05.295228,2024-07-04 11:12:42.520294,0 days 00:01:37.225066,0.09146556119631263,160,2,COMPLETE
11,11,0.8881069187519547,2024-07-04 11:12:42.528982,2024-07-04 11:13:48.167375,0 days 00:01:05.638393,0.0893491248622469,100,8,COMPLETE
