,number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_n_estimators,params_n_voters,state
0,0,0.7407717420457234,2024-07-05 10:40:05.262094,2024-07-05 10:42:10.555706,0 days 00:02:05.293612,0.034885205571560766,160,1,COMPLETE
1,1,0.8752110437467492,2024-07-05 10:42:10.565702,2024-07-05 10:43:11.427693,0 days 00:01:00.861991,0.03144906695123094,80,10,COMPLETE
2,2,0.7958859236236762,2024-07-05 10:43:11.436609,2024-07-05 10:44:18.233096,0 days 00:01:06.796487,0.002489577954043502,80,16,COMPLETE
3,3,0.8462919777474476,2024-07-05 10:44:18.242255,2024-07-05 10:46:33.184359,0 days 00:02:14.942104,0.0015020335327164721,200,14,COMPLETE
4,4,0.8287753116019673,2024-07-05 10:46:33.193678,2024-07-05 10:48:31.306550,0 days 00:01:58.112872,0.001018348745338606,180,11,COMPLETE
5,5,0.8632172609975977,2024-07-05 10:48:31.315057,2024-07-05 10:49:47.144011,0 days 00:01:15.828954,0.01679005557522366,100,15,COMPLETE
6,6,0.8866857436072106,2024-07-05 10:49:47.151315,2024-07-05 10:51:38.323665,0 days 00:01:51.172350,0.06847755494022188,140,15,COMPLETE
7,7,0.7153186056414298,2024-07-05 10:51:38.332717,2024-07-05 10:52:55.248248,0 days 00:01:16.915531,0.0019245982882901906,160,8,COMPLETE
8,8,0.862158741986349,2024-07-05 10:52:55.257448,2024-07-05 10:54:32.856854,0 days 00:01:37.599406,0.007650086554079969,140,9,COMPLETE
9,9,0.8640947965897656,2024-07-05 10:54:32.865818,2024-07-05 10:56:12.628491,0 days 00:01:39.762673,0.010623716801588558,140,14,COMPLETE
10,10,0.8797622264000727,2024-07-05 10:56:12.637454,2024-07-05 10:58:14.099009,0 days 00:02:01.461555,0.07781750281810046,120,20,COMPLETE
11,11,0.8787985668790969,2024-07-05 10:58:14.107869,2024-07-05 11:00:10.514227,0 days 00:01:56.406358,0.0772423225940892,120,19,COMPLETE
12,12,0.8830149700418474,2024-07-05 11:00:10.523333,2024-07-05 11:02:05.112991,0 days 00:01:54.589658,0.09918273483363291,120,19,COMPLETE
13,13,0.8784032335017505,2024-07-05 11:02:05.120896,2024-07-05 11:03:08.968644,0 days 00:01:03.847748,0.09137003464214873,60,18,COMPLETE
