ROC-AUC,Accuracy,BA,Sensitivity,Specificity,MCC,CM
0.9753940975775929,0.9244762174405436,0.9225847847456063,0.9202898550724637,0.924879714418749,0.6713076031535847,"[[ 1143    99]
 [  968 11918]]"
0.9738938237780932,0.9232729331823329,0.9182874072474516,0.9122383252818036,0.9243364892130995,0.6648705706953901,"[[ 1133   109]
 [  975 11911]]"
0.9734583813513422,0.9236976217440543,0.9185202180498728,0.9122383252818036,0.924802110817942,0.6660231799421975,"[[ 1133   109]
 [  969 11917]]"
0.9738810772929365,0.92440543601359,0.9189082360539081,0.9122383252818036,0.9255781468260127,0.66795441760754,"[[ 1133   109]
 [  959 11927]]"
0.974058778291886,0.9246177802944507,0.9222986136572839,0.9194847020933977,0.9251125252211703,0.6713777532957719,"[[ 1142   100]
 [  965 11921]]"
0.9742174845286413,0.9227066817667045,0.920887190357259,0.9186795491143317,0.9230948316001862,0.6658919069280849,"[[ 1141   101]
 [  991 11895]]"
0.9737280569882856,0.9241930917327293,0.9191556053418269,0.9130434782608695,0.9252677324227844,0.6676902843248954,"[[ 1134   108]
 [  963 11923]]"
0.974704412758182,0.9251840317100792,0.9204263799257355,0.9146537842190016,0.9261989756324693,0.671038306349041,"[[ 1136   106]
 [  951 11935]]"
0.9736222736580388,0.9236268403171007,0.9181176415603398,0.9114331723027376,0.924802110817942,0.6655131902147582,"[[ 1132   110]
 [  969 11917]]"
0.9746191862593889,0.9259626274065685,0.9259460453779871,0.9259259259259259,0.9259661648300481,0.6775745666791226,"[[ 1150    92]
 [  954 11932]]"
