,Feature,Importance
15,Orthologs count,0.04080769230769231
10,BIOGRID,0.03497435897435897
5,OncoDB_expression,0.034
0,Gene length,0.029128205128205128
12,REACTOME,0.026333333333333334
6,HPA_kidney,0.02573076923076923
3,GTEX_kidney,0.021935897435897436
13,UCSC_TFBS,0.02
2,GC content,0.01617948717948718
2642,protein-containing complex,0.012538461538461538
8,GO-BP,0.01164102564102564
2980,Spliceosomal complex,0.010846153846153847
14,UP_tissue,0.010397435897435898
1,Transcripts count,0.00882051282051282
9,GO-CC,0.008115384615384616
2767,RNA polymerase complex,0.007974358974358975
11,KEGG,0.007217948717948718
7,GO-MF,0.007025641025641026
4,Gene-Disease association,0.006564102564102565
1914,MIS12/MIND type complex,0.006551282051282051
782,Cytosol,0.0063076923076923076
1289,GO:0044444,0.006128205128205127
2230,Nucleus,0.006012820512820513
1843,Membrane,0.005692307692307692
2747,Ribonucleoprotein complex,0.005461538461538461
2210,Nucleolus,0.005358974358974359
1969,Mitochondrion,0.005217948717948718
2172,Nuclear lumen,0.0047692307692307695
1288,GO:0044424,0.004717948717948717
16,Driver_genes_MUT (all),0.004602564102564103
1265,GO:0005623,0.004423076923076924
2563,Preribosome,0.004346153846153846
1612,Intrinsic component of membrane,0.004294871794871795
743,Cytoplasm,0.004141025641025641
232,ATPase complex,0.004064102564102564
1070,Extracellular region,0.003846153846153846
1592,Intracellular non-membrane-bounded organelle,0.0038205128205128207
2751,Ribosomal subunit,0.003641025641025641
3247,Ubiquitin ligase complex,0.0034871794871794873
2561,Prefoldin complex,0.003397435897435897
1817,MCM complex,0.0033589743589743587
2930,sno(s)RNA-containing ribonucleoprotein complex,0.003294871794871795
1601,Intramolecular phosphotransferase complex,0.003205128205128205
2752,Ribosome,0.003192307692307692
3152,"Transferase complex, transferring phosphorus-containing groups",0.003141025641025641
427,Cell junction,0.0031153846153846158
533,Chromosome,0.003102564102564103
863,DNA polymerase complex,0.003102564102564103
479,Chaperone complex,0.0030256410256410257
2193,Nuclear protein-containing complex,0.0030256410256410257
1594,Intracellular organelle lumen,0.003012820512820513
779,Cytoskeleton,0.002935897435897436
3041,Supramolecular complex,0.00291025641025641
166,Anchoring junction,0.002897435897435897
1848,Membrane protein complex,0.0028717948717948715
1586,Intracellular anatomical structure,0.002717948717948718
3147,Transcription export complex,0.0026666666666666666
393,Catalytic complex,0.0026538461538461538
2701,Receptor complex,0.0025256410256410257
881,DNA-directed RNA polymerase complex,0.0025256410256410257
2748,Ribonucleoprotein granule,0.0024743589743589744
2215,Nucleoplasm,0.0024102564102564104
532,Chromosomal region,0.0023589743589743587
3284,Vesicle,0.0022564102564102562
430,Cell periphery,0.0022564102564102562
522,Chromatin,0.0022435897435897434
2214,Nucleomorph,0.0022435897435897434
2288,"PAM complex, Tim23 associated import motor",0.002205128205128205
3149,Transcription preinitiation complex,0.0021794871794871794
3238,U5 snRNP,0.0021666666666666666
2261,Origin recognition complex,0.0021538461538461538
1065,Extracellular matrix,0.0021025641025641025
1318,Golgi apparatus,0.0021025641025641025
454,cellular_component,0.002064102564102564
441,Cell wall,0.002064102564102564
1880,Microbody,0.0020384615384615385
789,Cytosolic ribosome,0.0020384615384615385
629,collagen-containing extracellular matrix,0.002
1049,exon-exon junction complex,0.0019615384615384616
2656,proton-transporting two-sector ATPase complex,0.0019615384615384616
1498,Integral component of membrane,0.0019487179487179486
1705,Large ribosomal subunit,0.0019102564102564104
3151,Transferase complex,0.0018974358974358976
640,"Condensed chromosome, centromeric region",0.0018846153846153848
1595,Intracellular protein-containing complex,0.0018461538461538461
2183,Nuclear pore,0.0018461538461538461
1385,Heterochromatin,0.0018333333333333333
2644,protein-DNA complex,0.0018333333333333333
3042,Supramolecular fiber,0.0018333333333333333
2768,RNA polymerase I complex,0.0018205128205128205
2970,Spindle microtubule,0.0018076923076923077
45,90S preribosome,0.0018076923076923077
1352,Growth factor complex,0.0017692307692307693
1055,External encapsulating structure,0.0017307692307692308
1593,Intracellular organelle,0.0016794871794871794
785,Cytosolic large ribosomal subunit,0.0016794871794871794
1591,Intracellular membrane-bounded organelle,0.001653846153846154
1895,Microtubule associated complex,0.001653846153846154
2087,Ndc80 complex,0.0016153846153846153
445,cell-substrate junction,0.0016153846153846153
421,Cell cortex,0.0016025641025641025
2256,Organelle membrane,0.0016025641025641025
861,DNA methyltransferase complex,0.0015897435897435897
1033,Eukaryotic translation initiation factor 2 complex,0.0015384615384615382
2202,Nuclear ubiquitin ligase complex,0.0015384615384615382
3047,SWI/SNF complex,0.0015128205128205128
2315,Peptidase inhibitor complex,0.0015128205128205128
3156,Translation initiation complex,0.0015
2449,Plastid,0.0014871794871794872
1953,Mitochondrial protein-containing complex,0.0014743589743589744
968,Endoplasmic reticulum quality control compartment,0.0014743589743589744
444,cell-cell junction,0.0014615384615384616
2157,Nuclear chromosome,0.0014615384615384616
1851,membrane-bounded organelle,0.0014487179487179486
2913,Small nuclear ribonucleoprotein complex,0.0014487179487179486
1192,GARP complex,0.0014358974358974358
955,Endomembrane system,0.0014358974358974358
2666,Prp19 complex,0.001423076923076923
2155,Nuclear body,0.001423076923076923
2981,Spliceosomal snRNP complex,0.001423076923076923
1401,Histone deacetylase complex,0.001423076923076923
2238,Oligosaccharyltransferase complex,0.001423076923076923
446,Cellular anatomical entity,0.0014102564102564104
1897,Microtubule cytoskeleton,0.0014102564102564104
1774,LYSP100-associated nuclear domain,0.0014102564102564104
2314,Peptidase complex,0.0014102564102564104
57,Acidocalcisome,0.0013717948717948717
2956,Sperm head,0.001358974358974359
3168,Transporter complex,0.001346153846153846
1434,i-AAA complex,0.001346153846153846
3193,Tubulin complex,0.0013333333333333333
1943,Mitochondrial matrix,0.0013333333333333333
1872,Methyltransferase complex,0.0013333333333333333
2221,Nucleosome,0.0013205128205128205
669,Cortical cytoskeleton,0.0013205128205128205
1894,Microtubule,0.001282051282051282
2427,Plasma membrane,0.001282051282051282
2130,NMS complex,0.0012692307692307692
964,Endoplasmic reticulum lumen,0.0012692307692307692
1979,Mitotic spindle,0.0012692307692307692
957,Endonuclease complex,0.0012564102564102564
2046,Myb complex,0.0012564102564102564
3133,TOR complex,0.0012435897435897436
2567,Presynapse,0.0012435897435897436
1509,Integral component of plasma membrane,0.0012051282051282052
858,DNA helicase complex,0.0012051282051282052
2280,Oxidoreductase complex,0.0012051282051282052
1071,Extracellular space,0.0011923076923076924
639,Condensed chromosome,0.0011923076923076924
1087,Extrinsic component of membrane,0.0011923076923076924
1335,Golgi-associated vesicle membrane,0.0011794871794871794
960,Endoplasmic reticulum,0.0011794871794871794
681,Creatine kinase complex,0.0011794871794871794
1367,H4 histone acetyltransferase complex,0.001153846153846154
753,Cytoplasmic region,0.001153846153846154
2606,Proteasome regulatory particle,0.001153846153846154
2507,Polymeric cytoskeletal fiber,0.001141025641025641
133,aminoacyl-tRNA synthetase multienzyme complex,0.001141025641025641
2428,Plasma membrane bounded cell projection,0.001141025641025641
771,Cytoplasmic stress granule,0.001141025641025641
1279,GO:0031975,0.0011282051282051281
