ROC-AUC,Accuracy,BA,Sensitivity,Specificity,MCC,CM
0.9583312325424276,0.8993327531186539,0.8825300749226068,0.8629032258064516,0.9021569240387621,0.549328091256195,"[[ 214   34]
 [ 313 2886]]"
0.9576115015781143,0.8833768494342907,0.8925319404249312,0.9032258064516129,0.8818380743982495,0.5343164884901742,"[[ 224   24]
 [ 378 2821]]"
0.9461209440639355,0.8859878154917319,0.8718947082890662,0.8554216867469879,0.8883677298311444,0.5183003939490729,"[[ 213   36]
 [ 357 2841]]"
0.9579757428714231,0.8874383521903104,0.885638237754018,0.8835341365461847,0.8877423389618512,0.5340969933550275,"[[ 220   29]
 [ 359 2839]]"
0.9620037220843672,0.895821242019733,0.8936570739776877,0.8911290322580645,0.8961851156973109,0.5543401606865266,"[[ 221   27]
 [ 332 2866]]"
0.9602181629339814,0.8909196402668987,0.8984555405419032,0.907258064516129,0.8896530165676774,0.5512056148690188,"[[ 225   23]
 [ 353 2846]]"
0.9354498381550687,0.8827966347548593,0.8568825691496335,0.8266129032258065,0.8871522350734604,0.4978613908639913,"[[ 205   43]
 [ 361 2838]]"
0.9708402088654806,0.892660284305193,0.9069693407777452,0.9236947791164659,0.8902439024390244,0.562865243810595,"[[ 230   19]
 [ 351 2847]]"
0.953738656941713,0.8970118944009283,0.8870943436033063,0.8755020080321285,0.8986866791744841,0.5505705947029508,"[[ 218   31]
 [ 324 2874]]"
0.9575515947467168,0.8943702843876958,0.8835764288163974,0.8709677419354839,0.8961851156973109,0.5421350766212343,"[[ 216   32]
 [ 332 2866]]"
0.955607347054019,0.8848273861328692,0.8802946233197875,0.875,0.8855892466395748,0.5242788730549184,"[[ 217   31]
 [ 366 2833]]"
0.9554762577014994,0.8871482448505947,0.8852646744446349,0.8830645161290323,0.8874648327602376,0.5325903465912061,"[[ 219   29]
 [ 360 2839]]"
0.945344856599632,0.8923701769654773,0.8660759360142257,0.8353413654618473,0.8968105065666041,0.522248356510088,"[[ 208   41]
 [ 330 2868]]"
0.9601671225238666,0.8981723237597912,0.8877197344725996,0.8755020080321285,0.8999374609130707,0.5531256610840823,"[[ 218   31]
 [ 320 2878]]"
0.9627778954588554,0.8932095182820662,0.8996890697815166,0.907258064516129,0.8921200750469043,0.5560136697291982,"[[ 225   23]
 [ 345 2853]]"
0.9534998336173603,0.8801856686974181,0.87965367201444,0.8790322580645161,0.8802750859643639,0.517125408508225,"[[ 218   30]
 [ 383 2816]]"
0.9622462664744023,0.8967217870612126,0.8997216872208049,0.9032258064516129,0.8962175679899969,0.5616415463254883,"[[ 224   24]
 [ 332 2867]]"
0.962627244437412,0.8996228604583696,0.882946419825644,0.8634538152610441,0.9024390243902439,0.5509474524303393,"[[ 215   34]
 [ 312 2886]]"
0.9539307951003513,0.8946910356832027,0.8821401930423383,0.8674698795180723,0.8968105065666041,0.541902845934334,"[[ 216   33]
 [ 330 2868]]"
0.9556766830075248,0.8923389437028438,0.8917809013698077,0.8911290322580645,0.892432770481551,0.5469435105394812,"[[ 221   27]
 [ 344 2854]]"
0.9559123818935352,0.8938207136640557,0.8907193780314413,0.8870967741935484,0.8943419818693341,0.548197482338864,"[[ 220   28]
 [ 338 2861]]"
0.9588518085288751,0.8854076008123005,0.889906371950912,0.8951612903225806,0.8846514535792435,0.5346264568649542,"[[ 222   26]
 [ 369 2830]]"
0.9630002185100626,0.8941108210037714,0.8910859196636451,0.8875502008032129,0.8946216385240775,0.5497309756043833,"[[ 221   28]
 [ 337 2861]]"
0.9483160911312543,0.8909196402668987,0.8708492506611814,0.8473895582329317,0.8943089430894309,0.5247240161650968,"[[ 211   38]
 [ 338 2860]]"
0.9583345942020215,0.889727219965177,0.8829346466541588,0.875,0.8908692933083177,0.5342140033016757,"[[ 217   31]
 [ 349 2849]]"
0.9599320352126167,0.8833768494342907,0.8850926196694531,0.8870967741935484,0.8830884651453579,0.5269677568671969,"[[ 220   28]
 [ 374 2825]]"
0.963616402303139,0.9045546852335364,0.9095212465589044,0.9153225806451613,0.9037199124726477,0.5844761825163272,"[[ 227   21]
 [ 308 2891]]"
0.9425808298861487,0.8909196402668987,0.859739144194037,0.8232931726907631,0.8961851156973109,0.5135975681695245,"[[ 205   44]
 [ 332 2866]]"
0.9512873256628767,0.8796054540179866,0.8795651649750973,0.8795180722891566,0.8796122576610381,0.5169497712355823,"[[ 219   30]
 [ 385 2813]]"
0.9660965018459119,0.8969820081253628,0.8980020274768504,0.8991935483870968,0.8968105065666041,0.5604586388750777,"[[ 223   25]
 [ 330 2868]]"
0.956190946767639,0.9028140411952422,0.8918449817987476,0.8790322580645161,0.9046577055329791,0.5644659077939422,"[[ 218   30]
 [ 305 2894]]"
