ROC-AUC,Accuracy,BA,Sensitivity,Specificity,MCC,CM
0.9599561107826116,0.8929814385150812,0.8793667950953548,0.8634538152610441,0.8952797749296655,0.5363713467923157,"[[ 215   34]
 [ 335 2864]]"
0.9555922213594974,0.8909196402668987,0.8928760499752947,0.8951612903225806,0.8905908096280087,0.5457598364348264,"[[ 222   26]
 [ 350 2849]]"
0.9606883199386905,0.89353060632434,0.9054417206990087,0.9193548387096774,0.8915286026883401,0.5620374469665389,"[[ 228   20]
 [ 347 2852]]"
0.9569762224082121,0.89353060632434,0.8794040980548357,0.8629032258064516,0.8959049703032198,0.5366267422774175,"[[ 214   34]
 [ 333 2866]]"
0.9502877049159741,0.8909196402668987,0.872700935072372,0.8514056224899599,0.8939962476547842,0.5265678059735753,"[[ 212   37]
 [ 339 2859]]"
0.9512849773586374,0.888631090487239,0.875170579159401,0.8594377510040161,0.8909034073147859,0.5254585424245288,"[[ 214   35]
 [ 349 2850]]"
0.9534405913138178,0.8938207136640557,0.8851398874648327,0.875,0.8952797749296655,0.5427347538648754,"[[ 217   31]
 [ 335 2864]]"
0.9584610614204035,0.8949811430229185,0.8969240639716041,0.8991935483870968,0.8946545795561113,0.5561001087113083,"[[ 223   25]
 [ 337 2862]]"
0.9571035303371013,0.8970118944009283,0.8849993445532374,0.8709677419354839,0.899030947170991,0.5478117744489273,"[[ 216   32]
 [ 323 2876]]"
0.9611441387815175,0.8862779228314477,0.8979746377630597,0.9116465863453815,0.884302689180738,0.5445210828106098,"[[ 227   22]
 [ 370 2828]]"
0.9660536487933604,0.8967517401392111,0.8943608130552846,0.891566265060241,0.8971553610503282,0.5571607259237403,"[[ 222   27]
 [ 329 2870]]"
0.9531506821688229,0.8819263127357122,0.8768718046970323,0.8709677419354839,0.8827758674585808,0.5167538981969799,"[[ 216   32]
 [ 375 2824]]"
0.950083947604594,0.8929503916449086,0.8809513305569281,0.8669354838709677,0.8949671772428884,0.5372264326552718,"[[ 215   33]
 [ 336 2863]]"
0.95640648791457,0.896431679721497,0.8865465770553298,0.875,0.8980931541106596,0.548361009379545,"[[ 217   31]
 [ 326 2873]]"
0.950077985487918,0.8888888888888888,0.8845682919294438,0.8795180722891566,0.889618511569731,0.535211496136164,"[[ 219   30]
 [ 353 2845]]"
