ROC-AUC,Accuracy,BA,Sensitivity,Specificity,MCC,CM
0.9605612195578187,0.8799303944315545,0.8871472134238737,0.8787120975304783,0.8955823293172691,0.5248831775710596,"[[2811  388]
 [  26  223]]"
0.9534910102955562,0.8793153466782709,0.8959232471840999,0.8765239137230384,0.9153225806451613,0.5320709407276264,"[[2804  395]
 [  21  227]]"
0.9630428863858665,0.8827966347548593,0.9033783238713711,0.8793372929040325,0.9274193548387096,0.5441457260682788,"[[2813  386]
 [  18  230]]"
0.9590572658794584,0.8790252393385553,0.8883276275852332,0.8774617067833698,0.8991935483870968,0.5241759165658763,"[[2807  392]
 [  25  223]]"
0.9525607118907148,0.8784450246591239,0.8752364052834226,0.8789868667917449,0.8714859437751004,0.5110542056283118,"[[2811  387]
 [  32  217]]"
0.9540519062809538,0.8819605568445475,0.8956482384680956,0.8796498905908097,0.9116465863453815,0.5360646896758943,"[[2814  385]
 [  22  227]]"
0.9487415422158134,0.8801856686974181,0.8777938418255704,0.8805876836511409,0.875,0.5152694888581018,"[[2817  382]
 [  31  217]]"
0.963475229154272,0.8854076008123005,0.9029251832729985,0.8824632697718037,0.9233870967741935,0.5473909892853817,"[[2823  376]
 [  19  229]]"
0.9602068186630903,0.8851174934725848,0.8897500731075235,0.8843388558924664,0.8951612903225806,0.534054097838905,"[[2829  370]
 [  26  222]]"
0.9639157003247512,0.8732230925442414,0.8964940437170823,0.8692933083176986,0.9236947791164659,0.5254321155914757,"[[2780  418]
 [  19  230]]"
0.9649325655231116,0.8834106728538283,0.8964297326850383,0.8812128790246953,0.9116465863453815,0.5388564014056916,"[[2819  380]
 [  22  227]]"
0.9583400558642319,0.8642297650130548,0.8784965563835473,0.861831822444514,0.8951612903225806,0.4960029344266488,"[[2757  442]
 [  26  222]]"
0.9508856094142322,0.8836669567740064,0.8926882392683197,0.8821506720850266,0.9032258064516129,0.5348797631023091,"[[2822  377]
 [  24  224]]"
0.9564922001835251,0.8854076008123005,0.889906371950912,0.8846514535792435,0.8951612903225806,0.5346264568649542,"[[2830  369]
 [  26  222]]"
0.9544670238175967,0.8752538439222513,0.8846266868600103,0.8736710444027517,0.8955823293172691,0.5162380222563917,"[[2794  404]
 [  26  223]]"
0.9564886617429392,0.8837006960556845,0.892882564958176,0.8821506720850266,0.9036144578313253,0.5357767360645201,"[[2822  377]
 [  24  225]]"
0.9602269862557856,0.8671308384102118,0.8930783561395194,0.8627696155048452,0.9233870967741935,0.5139366421013909,"[[2760  439]
 [  19  229]]"
0.9587875243271587,0.886858137510879,0.8999870171122024,0.8846514535792435,0.9153225806451613,0.5466220073767126,"[[2830  369]
 [  21  227]]"
0.9633794330889693,0.8851174934725848,0.8971893938630016,0.8830884651453579,0.9112903225806451,0.5413663285366543,"[[2825  374]
 [  22  226]]"
0.9538315865086361,0.8801856686974181,0.8909879668768884,0.8783614759224515,0.9036144578313253,0.5290842308598674,"[[2809  389]
 [  24  225]]"
0.9607018257462485,0.877030162412993,0.8837324917048626,0.8758987183494842,0.891566265060241,0.5176110804987888,"[[2802  397]
 [  27  222]]"
0.9596433865421654,0.8819263127357122,0.8917504462079884,0.8802750859643639,0.9032258064516129,0.5315191795104663,"[[2816  383]
 [  24  224]]"
0.9515624842440682,0.8804757760371338,0.8835296312355676,0.8799624882775867,0.8870967741935484,0.5213807348496974,"[[2815  384]
 [  28  220]]"
0.9579997277374985,0.8790252393385553,0.9013464389073198,0.87527352297593,0.9274193548387096,0.5370151684671077,"[[2800  399]
 [  18  230]]"
0.9617795760904783,0.8790252393385553,0.8959176292411672,0.8761726078799249,0.9156626506024096,0.5323852385138853,"[[2802  396]
 [  21  228]]"
0.9624016541313738,0.8839907192575406,0.9041492635123174,0.8805876836511409,0.927710843373494,0.5472324117664406,"[[2817  382]
 [  18  231]]"
0.9632634694309714,0.8798955613577023,0.903675165626355,0.8758987183494842,0.9314516129032258,0.5404650668900973,"[[2802  397]
 [  17  231]]"
0.9451605340378544,0.8761241659413983,0.8793253183958697,0.8755861206627071,0.8830645161290323,0.511374405210936,"[[2801  398]
 [  29  219]]"
0.9485688572033599,0.8784450246591239,0.8675568978208916,0.8802750859643639,0.8548387096774194,0.5026368095800888,"[[2816  383]
 [  36  212]]"
0.9668844232464567,0.8790252393385553,0.905176051297121,0.8746091307066917,0.9357429718875502,0.5414809367195943,"[[2797  401]
 [  16  233]]"
0.959554378815669,0.8837006960556845,0.8910308316730504,0.8824632697718037,0.8995983935742972,0.5339519454695163,"[[2823  376]
 [  25  224]]"
0.9540746100091763,0.8772845953002611,0.8855300043360324,0.8758987183494842,0.8951612903225806,0.51908217086548,"[[2802  397]
 [  26  222]]"
0.9473550202180117,0.8790252393385553,0.8753088162631468,0.8796498905908097,0.8709677419354839,0.511207290310197,"[[2814  385]
 [  32  216]]"
0.965931894039468,0.8833768494342907,0.9074105819358872,0.8793372929040325,0.9354838709677419,0.5488890283956531,"[[2813  386]
 [  16  232]]"
0.9612132080542306,0.8767043806208297,0.8909634786801992,0.874296435272045,0.9076305220883534,0.5244181684261621,"[[2796  402]
 [  23  226]]"
0.9624732126379856,0.8784802784222738,0.8974761189176839,0.87527352297593,0.9196787148594378,0.5331426837382093,"[[2800  399]
 [  20  229]]"
0.9596673355584909,0.8772845953002611,0.8966889854692495,0.8740231322288216,0.9193548387096774,0.5301296479741886,"[[2796  403]
 [  20  228]]"
