ROC-AUC,Accuracy,BA,Sensitivity,Specificity,MCC,CM
0.9565055003887877,0.8268059181897301,0.8879303751481854,0.9591836734693877,0.8166770768269831,0.4678179972887421,"[[ 235   10]
 [ 587 2615]]"
0.9213157592831013,0.8154917319408181,0.8403778250838124,0.8693877551020408,0.811367895065584,0.4113353725944281,"[[ 213   32]
 [ 604 2598]]"
0.9100434677306275,0.8062082970699158,0.8297269563665566,0.8571428571428571,0.8023110555902561,0.39422474244347827,"[[ 210   35]
 [ 633 2569]]"
0.9198970031485423,0.8050478677110531,0.8347563385129192,0.8693877551020408,0.8001249219237976,0.3986511389187043,"[[ 213   32]
 [ 640 2562]]"
0.9468134669929654,0.81601857225769,0.8631388169279446,0.9180327868852459,0.8082448469706434,0.4342426178307192,"[[ 224   20]
 [ 614 2588]]"
0.9184374561817232,0.8059181897302001,0.8389941235707274,0.8775510204081632,0.8004372267332917,0.4035391526439941,"[[ 215   30]
 [ 639 2563]]"
0.9510573748550013,0.8178125906585436,0.8661276753049751,0.9224489795918367,0.8098063710181137,0.43916370029982743,"[[ 226   19]
 [ 609 2593]]"
0.9212481994671697,0.8244850594720047,0.8433338857091869,0.8653061224489796,0.8213616489693941,0.42091728047490595,"[[ 212   33]
 [ 572 2630]]"
0.9252813930069217,0.8152016246011025,0.8496449922879833,0.889795918367347,0.8094940662086196,0.4205988651689689,"[[ 218   27]
 [ 610 2592]]"
0.9191207339674997,0.8087637840975044,0.8440907834242942,0.8852459016393442,0.8029356652092442,0.4099810352733991,"[[ 216   28]
 [ 631 2571]]"
0.9398182258537393,0.803307223672759,0.8488967354587057,0.9020408163265307,0.7957526545908807,0.41198471050432456,"[[ 221   24]
 [ 654 2548]]"
0.9271705184259837,0.8152016246011025,0.8666069675840355,0.926530612244898,0.806683322923173,0.437793247502355,"[[ 227   18]
 [ 619 2583]]"
0.9302094354293873,0.8047577603713374,0.8459081696388737,0.8938775510204081,0.7979387882573392,0.40985625990591457,"[[ 219   26]
 [ 647 2555]]"
0.9745401471019388,0.8349289237017696,0.9036106260118039,0.9836734693877551,0.8235477826358526,0.4900434307783659,"[[ 241    4]
 [ 565 2637]]"
0.9796617892505708,0.8360417875798026,0.9023087517023172,0.9795081967213115,0.8251093066833229,0.4890403487620137,"[[ 239    5]
 [ 560 2642]]"
0.946296319902102,0.8143313025819553,0.8717925021351451,0.9387755102040817,0.8048094940662086,0.4424088161860339,"[[ 230   15]
 [ 625 2577]]"
0.9556718377544646,0.8198433420365535,0.8822980535124731,0.9551020408163265,0.8094940662086196,0.45689613163462406,"[[ 234   11]
 [ 610 2592]]"
