ROC-AUC,Accuracy,BA,Sensitivity,Specificity,MCC,CM
0.869081267503371,0.7770114942528735,0.7834379213774505,0.7983870967741935,0.7684887459807074,0.523936878718335,"[[198  50]
 [144 478]]"
0.8877644953842964,0.8091954022988506,0.803521418939944,0.7903225806451613,0.8167202572347267,0.5722232660761865,"[[196  52]
 [114 508]]"
0.8615288870449124,0.7793103448275862,0.7753474743283892,0.7661290322580645,0.7845659163987139,0.5142369735905346,"[[190  58]
 [134 488]]"
0.8618693776717175,0.771264367816092,0.7651960499000834,0.751004016064257,0.7793880837359098,0.49587669022288816,"[[187  62]
 [137 484]]"
0.8750169761170284,0.7839080459770115,0.784878645014842,0.7871485943775101,0.782608695652174,0.5304286637846258,"[[196  53]
 [135 486]]"
0.8619826781454206,0.7793103448275862,0.7789842858624624,0.7782258064516129,0.7797427652733119,0.5191309482790243,"[[193  55]
 [137 485]]"
0.8730940773778653,0.7873563218390804,0.7833990249974069,0.7741935483870968,0.792604501607717,0.530286647438799,"[[192  56]
 [129 493]]"
0.8775347474328389,0.7862068965517242,0.7838074369878643,0.7782258064516129,0.7893890675241158,0.5300367393421861,"[[193  55]
 [131 491]]"
0.8725077443429111,0.7919540229885057,0.7941233533166482,0.7991967871485943,0.789049919484702,0.5479628656272462,"[[199  50]
 [131 490]]"
0.8699015061857738,0.7804597701149425,0.7824631860776439,0.7871485943775101,0.7777777777777778,0.5250270683690335,"[[196  53]
 [138 483]]"
0.8852297479514574,0.7908045977011494,0.794296494139612,0.8024193548387096,0.7861736334405145,0.5469856554849588,"[[199  49]
 [133 489]]"
0.8860854683124156,0.7885057471264367,0.7963255886318847,0.8145161290322581,0.7781350482315113,0.5483309891071002,"[[202  46]
 [138 484]]"
0.8463787470179442,0.7586206896551724,0.7475430453272482,0.7217741935483871,0.7733118971061094,0.463495395334119,"[[179  69]
 [141 481]]"
0.8765367427843419,0.7885057471264367,0.7893021360805541,0.7911646586345381,0.7874396135265701,0.5393001338447312,"[[197  52]
 [132 489]]"
0.8739111033506004,0.7942528735632184,0.7921250218264362,0.7871485943775101,0.7971014492753623,0.5469227792614658,"[[196  53]
 [126 495]]"
0.88718753241365,0.8011494252873563,0.801531220827715,0.8024193548387096,0.8006430868167203,0.5634928245400271,"[[199  49]
 [124 498]]"
0.881716108287522,0.7873563218390804,0.7833990249974069,0.7741935483870968,0.792604501607717,0.530286647438799,"[[192  56]
 [129 493]]"
0.8468908826885179,0.7632183908045977,0.7543952909449227,0.7338709677419355,0.77491961414791,0.47570956223009603,"[[182  66]
 [140 482]]"
0.8743379314358886,0.7827586206896552,0.7840734920357759,0.7871485943775101,0.7809983896940419,0.5286229324913508,"[[196  53]
 [136 485]]"
0.870295998810055,0.7896551724137931,0.7913101682090682,0.7951807228915663,0.7874396135265701,0.5427217960021834,"[[198  51]
 [132 489]]"
0.8777616429830932,0.7896551724137931,0.782582201016492,0.7661290322580645,0.7990353697749196,0.5308771874234336,"[[190  58]
 [125 497]]"
0.8789414998444145,0.7885057471264367,0.7963255886318847,0.8145161290322581,0.7781350482315113,0.5483309891071002,"[[202  46]
 [138 484]]"
0.8546960896172596,0.7839080459770115,0.7749260968779172,0.7540322580645161,0.7958199356913184,0.5168503027926479,"[[187  61]
 [127 495]]"
0.8641328599421843,0.7517241379310344,0.7683487573482335,0.8072289156626506,0.7294685990338164,0.4908434633730552,"[[201  48]
 [168 453]]"
0.8728440331373805,0.7977011494252874,0.786120326717498,0.7590361445783133,0.8132045088566827,0.5420633415888556,"[[189  60]
 [116 505]]"
0.8532439580956332,0.7586206896551724,0.7608780209521834,0.7661290322580645,0.7556270096463023,0.4822347530621481,"[[190  58]
 [152 470]]"
0.8898519344466342,0.7931034482758621,0.8019655637382015,0.8225806451612904,0.7813504823151125,0.5587673916562838,"[[204  44]
 [136 486]]"
0.870027746084431,0.8011494252873563,0.7845594336687065,0.7459677419354839,0.8231511254019293,0.5427240735186916,"[[185  63]
 [110 512]]"
0.8735877487405337,0.7931034482758621,0.786508352249578,0.7710843373493976,0.8019323671497585,0.5389034796707527,"[[192  57]
 [123 498]]"
0.8683300027808497,0.7816091954022989,0.7772539433094698,0.7670682730923695,0.7874396135265701,0.518750199438049,"[[191  58]
 [132 489]]"
0.8666502437506483,0.7770114942528735,0.7567679701275801,0.7096774193548387,0.8038585209003215,0.48852380357572417,"[[176  72]
 [122 500]]"
