ROC-AUC,Accuracy,BA,Sensitivity,Specificity,MCC,CM
0.7824473938473628,0.7405902213329999,0.7092473479443835,0.657979407979408,0.760515287909359,0.35474283256624317,"[[2045 1063]
 [3086 9800]]"
0.7786043676544996,0.7402776041015381,0.7044145512444442,0.6457528957528957,0.7630762067359925,0.3478376424141788,"[[2007 1101]
 [3053 9833]]"
0.7821123600263752,0.7405902213329999,0.7066838073744794,0.6512226512226512,0.7621449635263077,0.3511615497860218,"[[2024 1084]
 [3065 9821]]"
0.7820910614834253,0.7377766662498437,0.7043273595539621,0.6496138996138996,0.7590408194940246,0.34652674124625227,"[[2019 1089]
 [3105 9781]]"
0.7806444334847252,0.7403401275478304,0.706284453451922,0.6505791505791506,0.7619897563246935,0.35048303634009764,"[[2022 1086]
 [3067 9819]]"
0.7786517338162535,0.7368388145554583,0.7020363055013064,0.6451093951093951,0.7589632158932175,0.3428717684592322,"[[2005 1103]
 [3106 9780]]"
0.7787760793542262,0.7352132049518569,0.7009053853303426,0.6447876447876448,0.7570231258730405,0.34053048897217514,"[[2004 1104]
 [3131 9755]]"
0.7819581765530859,0.7371514317869201,0.7023523878637956,0.6454311454311454,0.7592736302964458,0.34346167898683405,"[[2006 1102]
 [3102 9784]]"
0.7794527138388694,0.7408403151181693,0.7025664469595868,0.63996138996139,0.7651715039577837,0.34552558711795633,"[[1989 1119]
 [3026 9860]]"
0.7832925190328573,0.7389646117293985,0.7037217867964414,0.646074646074646,0.7613689275182368,0.34623798219061863,"[[2008 1100]
 [3075 9811]]"
