ROC-AUC,Accuracy,BA,Sensitivity,Specificity,MCC,CM
0.7937908411990457,0.7459770114942529,0.7023324862566124,0.6008064516129032,0.8038585209003215,0.3944741871593457,"[[149  99]
 [122 500]]"
0.8282011720775854,0.7574712643678161,0.717644694533762,0.625,0.8102893890675241,0.4234777766562978,"[[155  93]
 [118 504]]"
0.8096475987968053,0.7505747126436781,0.7188828959651488,0.6451612903225806,0.792604501607717,0.419590712755811,"[[160  88]
 [129 493]]"
0.8178866836104481,0.7540229885057471,0.7098151058339639,0.606425702811245,0.8132045088566827,0.4112424472990798,"[[151  98]
 [116 505]]"
0.8165285942481681,0.7436781609195402,0.7206119162640902,0.6666666666666666,0.7745571658615137,0.4176420040456256,"[[166  83]
 [140 481]]"
0.8074823669743803,0.7471264367816092,0.6958627217093662,0.5766129032258065,0.815112540192926,0.3871838638873093,"[[143 105]
 [115 507]]"
0.8182372160564257,0.7689655172413793,0.7353814438336272,0.657258064516129,0.8135048231511254,0.45533119892707197,"[[163  85]
 [116 506]]"
0.8274686235867649,0.7586206896551724,0.7281467171455243,0.657258064516129,0.7990353697749196,0.43773121355824934,"[[163  85]
 [125 497]]"
0.8036267453065078,0.7517241379310344,0.7214364705197602,0.6506024096385542,0.7922705314009661,0.4242665998735537,"[[162  87]
 [129 492]]"
0.80960233850054,0.7586206896551724,0.7226587509458122,0.6385542168674698,0.8067632850241546,0.4312403558018096,"[[159  90]
 [120 501]]"
0.8367454102271549,0.7770114942528735,0.7555556996162224,0.7056451612903226,0.8054662379421221,0.4870065452772993,"[[175  73]
 [121 501]]"
0.8012135670573591,0.735632183908046,0.6914609480344363,0.5887096774193549,0.7942122186495176,0.3721626814472872,"[[146 102]
 [128 494]]"
0.7989121979047817,0.7597701149425288,0.7168278705528472,0.6169354838709677,0.8167202572347267,0.4244747354502366,"[[153  95]
 [114 508]]"
0.797269593672597,0.7390804597701149,0.7101740294511378,0.642570281124498,0.7777777777777778,0.40035787315850685,"[[160  89]
 [138 483]]"
0.8054828007682905,0.7379310344827587,0.7021516015753837,0.6184738955823293,0.785829307568438,0.3886667868520802,"[[154  95]
 [133 488]]"
0.8333484597033504,0.7735632183908046,0.7519318535421637,0.7016129032258065,0.8022508038585209,0.4797097822545036,"[[174  74]
 [123 499]]"
0.8161951561041385,0.7586206896551724,0.7196608235660201,0.6290322580645161,0.8102893890675241,0.4269777306886937,"[[156  92]
 [118 504]]"
0.7850456384192511,0.7333333333333333,0.6947023130380666,0.6048387096774194,0.7845659163987139,0.37489889581587366,"[[150  98]
 [134 488]]"
0.8297343965232913,0.7482758620689656,0.7250354073298023,0.6706827309236948,0.7793880837359098,0.4266593995041164,"[[167  82]
 [137 484]]"
0.8086258075781387,0.7586206896551724,0.7202529926469161,0.6305220883534136,0.8099838969404187,0.42822543336094565,"[[157  92]
 [118 503]]"
0.7815773778653666,0.7528735632183908,0.7047310963592989,0.592741935483871,0.8167202572347267,0.40337217845055756,"[[147 101]
 [114 508]]"
0.8249857379939841,0.7620689655172413,0.7329828337309408,0.6653225806451613,0.8006430868167203,0.4466197910712917,"[[165  83]
 [124 498]]"
0.8312739861010268,0.7873563218390804,0.7555168032361788,0.6814516129032258,0.8295819935691319,0.4961873226093175,"[[169  79]
 [106 516]]"
0.7976058824670664,0.7448275862068966,0.7250257066915002,0.678714859437751,0.7713365539452496,0.42444508131016767,"[[169  80]
 [142 479]]"
0.8052629196334452,0.7620689655172413,0.7262770890324584,0.642570281124498,0.8099838969404187,0.43866481470662255,"[[160  89]
 [118 503]]"
0.8146068872523597,0.7701149425287356,0.7349730318431698,0.6532258064516129,0.8167202572347267,0.45584929292522625,"[[162  86]
 [114 508]]"
0.8265869723057774,0.7551724137931034,0.7342210351623275,0.6854838709677419,0.7829581993569131,0.4432030912960725,"[[170  78]
 [135 487]]"
0.8083316046053315,0.7632183908045977,0.7192394461155482,0.6169354838709677,0.8215434083601286,0.43055778788150334,"[[153  95]
 [111 511]]"
0.8187080043200177,0.7586206896551724,0.7298760258425004,0.6626506024096386,0.7971014492753623,0.44043657148129856,"[[165  84]
 [126 495]]"
0.8123443855939054,0.7517241379310344,0.716624953921968,0.6345381526104418,0.7987117552334944,0.41799557500253004,"[[158  91]
 [125 496]]"
0.8291476506586454,0.7735632183908046,0.7337477958717975,0.6411290322580645,0.8263665594855305,0.45759815637065154,"[[159  89]
 [108 514]]"
0.8017192199979255,0.7390804597701149,0.7035706876879992,0.6209677419354839,0.7861736334405145,0.3909228410995208,"[[154  94]
 [133 489]]"
0.8045975521211493,0.7563218390804598,0.7277512706150814,0.6612903225806451,0.7942122186495176,0.4354682459627882,"[[164  84]
 [128 494]]"
0.8382321556758434,0.7689655172413793,0.7347166443551986,0.6546184738955824,0.8148148148148148,0.4550258877064837,"[[163  86]
 [115 506]]"
0.7920247818973154,0.7436781609195402,0.7049744873212658,0.6144578313253012,0.7954911433172303,0.3966160241301304,"[[153  96]
 [127 494]]"
0.7988279224146873,0.7517241379310344,0.7172622134633337,0.6370967741935484,0.797427652733119,0.4183379368173799,"[[158  90]
 [126 496]]"
0.8339578363240328,0.771264367816092,0.7491118659890053,0.6975806451612904,0.8006430868167203,0.47434017298887887,"[[173  75]
 [124 498]]"
0.7950614562804688,0.7425287356321839,0.7096190747847734,0.6330645161290323,0.7861736334405145,0.4014845454877841,"[[157  91]
 [133 489]]"
0.8261322261671484,0.7873563218390804,0.7439904545719108,0.642570281124498,0.8454106280193237,0.4839986354365732,"[[160  89]
 [ 96 525]]"
0.8195616604905938,0.7551724137931034,0.7310692043536464,0.6746987951807228,0.7874396135265701,0.43946013322184696,"[[168  81]
 [132 489]]"
0.7842093662483145,0.7425287356321839,0.702345451716627,0.6088709677419355,0.7958199356913184,0.39179710616610364,"[[151  97]
 [127 495]]"
0.8183539051965565,0.7482758620689656,0.7172751789233482,0.6451612903225806,0.7893890675241158,0.41579127162924906,"[[160  88]
 [131 491]]"
0.8258155274349135,0.767816091954023,0.7309407737786537,0.6451612903225806,0.8167202572347267,0.4489037503852563,"[[160  88]
 [114 508]]"
0.8395126399317074,0.774712643678161,0.7387424092505287,0.6546184738955824,0.822866344605475,0.4650895188014953,"[[163  86]
 [110 511]]"
0.8176409341067976,0.7551724137931034,0.713026017111926,0.6144578313253012,0.8115942028985508,0.4162465142008597,"[[153  96]
 [117 504]]"
0.8236373301524738,0.764367816091954,0.7358028212840991,0.6693548387096774,0.8022508038585209,0.4520256067343878,"[[166  82]
 [123 499]]"
0.781486619645265,0.7298850574712644,0.6801680323617882,0.5645161290322581,0.7958199356913184,0.3527073234560043,"[[140 108]
 [127 495]]"
0.8065877502333783,0.7471264367816092,0.7079854268229437,0.6169354838709677,0.7990353697749196,0.4027176675464423,"[[153  95]
 [125 497]]"
0.8129264238920255,0.7551724137931034,0.7202432920086141,0.6385542168674698,0.8019323671497585,0.42536812412883,"[[159  90]
 [123 498]]"
0.8163539827587323,0.7551724137931034,0.7190404128591661,0.6345381526104418,0.8035426731078905,0.4238329306605937,"[[158  91]
 [122 499]]"
