ROC-AUC,Accuracy,BA,Sensitivity,Specificity,MCC,CM
0.9422179361938398,0.8819157720891825,0.8438201871936812,0.7791164658634538,0.9085239085239085,0.6575308994539797,"[[194  55]
 [ 88 874]]"
0.928065693125934,0.8744838976052849,0.821283053210764,0.7309236947791165,0.9116424116424117,0.626416798684944,"[[182  67]
 [ 85 877]]"
0.9336689356850648,0.8818181818181818,0.8568422641003286,0.8145161290322581,0.8991683991683992,0.6679206576684457,"[[202  46]
 [ 97 865]]"
0.9407442492119911,0.8892561983471075,0.8630163972905909,0.8185483870967742,0.9074844074844075,0.6849468112073368,"[[203  45]
 [ 89 873]]"
0.9252020320568708,0.8752066115702479,0.8317349607672189,0.7580645161290323,0.9054054054054054,0.635854388724221,"[[188  60]
 [ 91 871]]"
0.9363733520360026,0.87943848059455,0.8482140620694838,0.7951807228915663,0.9012474012474012,0.6572163511407647,"[[198  51]
 [ 95 867]]"
0.9324115589175831,0.8769611890999174,0.8466548105102323,0.7951807228915663,0.8981288981288982,0.6520156708974276,"[[198  51]
 [ 98 864]]"
0.9375922138018913,0.8917355371900827,0.8481154852122594,0.7741935483870968,0.922037422037422,0.6777277016198477,"[[192  56]
 [ 75 887]]"
0.9244056401314467,0.8752066115702479,0.8362240963047415,0.7701612903225806,0.9022869022869023,0.639703770764526,"[[191  57]
 [ 94 868]]"
0.9356892562537724,0.8611570247933884,0.842352122594058,0.8104838709677419,0.8742203742203742,0.6254347077245348,"[[201  47]
 [121 841]]"
0.9374337265903531,0.8810900082576383,0.8522301263265118,0.8032128514056225,0.9012474012474012,0.663261759897038,"[[200  49]
 [ 95 867]]"
0.9351752122836461,0.8736581337737407,0.8311812739523583,0.7590361445783133,0.9033264033264033,0.6333599045524896,"[[189  60]
 [ 93 869]]"
0.9370976125008383,0.8884297520661157,0.853518375695795,0.7943548387096774,0.9126819126819127,0.6759185232575671,"[[197  51]
 [ 84 878]]"
0.9240996579706259,0.8677685950413223,0.8195753135269264,0.7379032258064516,0.9012474012474012,0.6133187496547552,"[[183  65]
 [ 95 867]]"
0.9259816578364966,0.8826446280991735,0.8513765005700489,0.7983870967741935,0.9043659043659044,0.6645431301698033,"[[198  50]
 [ 92 870]]"
0.9318604981255584,0.8769611890999174,0.8302837128138333,0.751004016064257,0.9095634095634095,0.6380567190405582,"[[187  62]
 [ 87 875]]"
0.9477535923319056,0.8852188274153592,0.8563171605340281,0.8072289156626506,0.9054054054054054,0.6732940284441152,"[[201  48]
 [ 91 871]]"
0.9353623164107036,0.8735537190082645,0.853141137415331,0.8185483870967742,0.8877338877338877,0.6524265758170316,"[[203  45]
 [108 854]]"
0.9244014485949972,0.8603305785123967,0.8208830728992019,0.7540322580645161,0.8877338877338877,0.6033490385858624,"[[187  61]
 [108 854]]"
0.9348844812554491,0.8785123966942149,0.8323175843337134,0.7540322580645161,0.9106029106029107,0.6418677793225175,"[[187  61]
 [ 86 876]]"
0.924872045353973,0.8753096614368291,0.8351973382093865,0.7670682730923695,0.9033264033264033,0.6394678716340869,"[[191  58]
 [ 93 869]]"
0.9394292346099573,0.8810900082576383,0.8537184079352754,0.8072289156626506,0.9002079002079002,0.6645436987061437,"[[201  48]
 [ 96 866]]"
0.9393903829387701,0.8892561983471075,0.8555345047280531,0.7983870967741935,0.9126819126819127,0.67893247938825,"[[198  50]
 [ 84 878]]"
0.9353120179733082,0.8735537190082645,0.8516447589028234,0.8145161290322581,0.8887733887733887,0.6510373215042895,"[[202  46]
 [107 855]]"
0.9354922540406412,0.8892561983471075,0.8555345047280531,0.7983870967741935,0.9126819126819127,0.67893247938825,"[[198  50]
 [ 84 878]]"
0.9319105945611971,0.8753096614368291,0.83668561981815,0.7710843373493976,0.9022869022869023,0.6407489304526596,"[[192  57]
 [ 94 868]]"
