ROC-AUC,Accuracy,BA,G-mean,Specificity,Sensitivity,MCC,cm
0.9124615992555674,0.810850014505367,0.8322253948425091,0.831852287304231,0.8073079325421612,0.8571428571428571,0.39980951669299725,"[[2585  617]
 [  35  210]]"
0.9215095157363382,0.811720336524514,0.8421171716656681,0.8413713646051179,0.806683322923173,0.8775510204081632,0.4105308934935407,"[[2583  619]
 [  30  215]]"
0.9097490089102473,0.8059181897302001,0.8295708039618095,0.8291124776948086,0.801998750780762,0.8571428571428571,0.39388017816562315,"[[2568  634]
 [  35  210]]"
0.9187663322668229,0.8044676530316217,0.8344440337034251,0.8337120496418765,0.7995003123048094,0.8693877551020408,0.3979665759301168,"[[2560  642]
 [  32  213]]"
0.927423690111713,0.8061520603598374,0.8445784397046927,0.8433912270955983,0.7998126171143035,0.889344262295082,0.40878776869380196,"[[2561  641]
 [  27  217]]"
0.9091142015831941,0.8035973310124747,0.8339755764891841,0.8332234032877125,0.7985633978763272,0.8693877551020408,0.39694354200902504,"[[2557  645]
 [  32  213]]"
0.9210824867111118,0.8027270089933275,0.833507119274943,0.8327344701972275,0.7976264834478451,0.8693877551020408,0.39592504498981823,"[[2554  648]
 [  32  213]]"
0.9204795472217618,0.8218740934145634,0.8456978419100307,0.845241729360695,0.8179262960649594,0.8734693877551021,0.42137452149200555,"[[2619  583]
 [  31  214]]"
0.9249142755165777,0.8102697998259356,0.8488750653290673,0.8476813391947642,0.8038725796377264,0.8938775510204081,0.4164522888202029,"[[2574  628]
 [  26  219]]"
0.9196506281934446,0.8041207196749854,0.8415923449483418,0.8404594232108258,0.7979387882573392,0.8852459016393442,0.4044604878046767,"[[2555  647]
 [  28  216]]"
0.9213348799857233,0.793733681462141,0.8324357225713521,0.8312122725958664,0.7873204247345409,0.8775510204081632,0.3895131760631737,"[[2521  681]
 [  30  215]]"
0.9270443217886779,0.8125906585436612,0.8614322680977451,0.859548689323293,0.8044971892567145,0.9183673469387755,0.4307581475221772,"[[2576  626]
 [  20  225]]"
0.9098701066935206,0.7969248621990136,0.8284994072582188,0.8276814203206968,0.7916926920674578,0.8653061224489796,0.3873168085559366,"[[2535  667]
 [  33  212]]"
0.9071842853318717,0.8152016246011025,0.8213750334612296,0.8213435076086338,0.8141786383510307,0.8285714285714286,0.3915555748337364,"[[2607  595]
 [  42  203]]"
0.9257124133482147,0.816598955310505,0.8426278145830988,0.8420820323884481,0.8123048094940662,0.8729508196721312,0.41381196511786583,"[[2601  601]
 [  31  213]]"
0.9188134966666243,0.8053379750507688,0.8367971548394498,0.8359931971495811,0.8001249219237976,0.8734693877551021,0.4009238775151314,"[[2562  640]
 [  31  214]]"
0.919004703692845,0.8096895851465042,0.8334854491453045,0.8330237328916468,0.8057464084946908,0.8612244897959184,0.40033660193958737,"[[2580  622]
 [  34  211]]"
0.9091001797346047,0.8082390484479257,0.8270506953562187,0.826759926573822,0.8051217988757027,0.8489795918367347,0.3927726770052522,"[[2578  624]
 [  37  208]]"
0.9176165406824816,0.8178125906585436,0.8435117082435724,0.8429795604771647,0.8135540287320425,0.8734693877551021,0.41618087188667025,"[[2605  597]
 [  31  214]]"
0.9225560868719346,0.8061520603598374,0.8407923838584491,0.8398233707439783,0.8004372267332917,0.8811475409836066,0.40492912882030835,"[[2563  639]
 [  29  215]]"
0.9206325128427386,0.8166521612996809,0.8447717625463678,0.844135564379162,0.8119925046845722,0.8775510204081632,0.41664530106251135,"[[2600  602]
 [  30  215]]"
0.9143558235286617,0.8012764722947491,0.8364956850947749,0.8354875765829688,0.7954403497813867,0.8775510204081632,0.39809467248560515,"[[2547  655]
 [  30  215]]"
0.9311603717064589,0.8096895851465042,0.8579860801284911,0.8561369428356752,0.8016864459712679,0.9142857142857143,0.42531541522284305,"[[2567  635]
 [  21  224]]"
0.9128274420324032,0.8035973310124747,0.8320909125674005,0.8314277097918807,0.7988757026858213,0.8653061224489796,0.39501183193728834,"[[2558  644]
 [  33  212]]"
0.9147894246423853,0.8096343586767266,0.8294150172535608,0.8290948347139582,0.806371018113679,0.8524590163934426,0.39552958797656484,"[[2582  620]
 [  36  208]]"
0.924999681321623,0.8166521612996809,0.852310418233502,0.8512962013901171,0.8107432854465959,0.8938775510204081,0.4243320833989389,"[[2596  606]
 [  26  219]]"
0.9179122742163699,0.807078619089063,0.8301954135807976,0.829757952668163,0.8032479700187383,0.8571428571428571,0.3952615593356141,"[[2572  630]
 [  35  210]]"
0.9084003620186363,0.8067885117493473,0.8225006054889163,0.8222966498729986,0.8041848844472205,0.8408163265306122,0.3871497147950152,"[[2575  627]
 [  39  206]]"
0.9103404759780238,0.8131708732230926,0.8410132697676198,0.8403867682980294,0.8085571517801374,0.8734693877551021,0.4103850960469853,"[[2589  613]
 [  31  214]]"
0.9278383899407132,0.8067324434126524,0.8524628562066741,0.8507965160405997,0.7991880074953154,0.9057377049180327,0.41717083498042884,"[[2559  643]
 [  23  221]]"
0.9232074341291794,0.8050478677110531,0.853602977730755,0.8517243442733679,0.797001873828857,0.9102040816326531,0.41785751972870816,"[[2552  650]
 [  22  223]]"
0.9109319430458004,0.803307223672759,0.8206267766319519,0.8203783813584052,0.8004372267332917,0.8408163265306122,0.3830376726898094,"[[2563  639]
 [  39  206]]"
0.9192303279837857,0.8021467943138961,0.8407334701525833,0.8395293288898302,0.7957526545908807,0.8857142857142857,0.40295494624612793,"[[2548  654]
 [  28  217]]"
0.9118573850527095,0.8175224833188279,0.8320475723081238,0.8318752726812626,0.8151155527795128,0.8489795918367347,0.4042053400951836,"[[2610  592]
 [  37  208]]"
0.9249713293945383,0.8224027858386536,0.8552160022936484,0.8543612444699621,0.8169893816364772,0.8934426229508197,0.430857506667613,"[[2616  586]
 [  26  218]]"
0.91685043786409,0.8183928053379751,0.8381700212877156,0.8378528964366322,0.8151155527795128,0.8612244897959184,0.411121612842903,"[[2610  592]
 [  34  211]]"
0.9169371183826434,0.8099796924862199,0.8336416015500516,0.8331851559593167,0.8060587133041849,0.8612244897959184,0.4006880488616632,"[[2581  621]
 [  34  211]]"
0.9326275669543269,0.8024369016536118,0.8521976060880317,0.8502211527697151,0.7941911305434104,0.9102040816326531,0.41479367371115733,"[[2543  659]
 [  22  223]]"
0.9175859475582863,0.7992457209167392,0.84294127394868,0.8414009074182744,0.7920049968769519,0.8938775510204081,0.4034430704481162,"[[2536  666]
 [  26  219]]"
0.9156354634910558,0.8195008705745792,0.8347241990149599,0.8345357779470681,0.8169893816364772,0.8524590163934426,0.4077797661935688,"[[2616  586]
 [  36  208]]"
0.9164336065469286,0.8064984044096316,0.8279984448495201,0.827619043854071,0.8029356652092442,0.8530612244897959,0.39263167033407015,"[[2571  631]
 [  36  209]]"
0.9188695840609823,0.8230345227734261,0.8463224515290189,0.8458869521488231,0.8191755153029356,0.8734693877551021,0.4228801460614877,"[[2623  579]
 [  31  214]]"
0.9153857920432382,0.7995358282564549,0.8412127624316434,0.8398086619207996,0.79262960649594,0.889795918367347,0.40185649419427816,"[[2538  664]
 [  27  218]]"
0.9264184374561818,0.8175224833188279,0.8471248836823924,0.8464217520872228,0.8126171143035603,0.8816326530612245,0.41966615457736345,"[[2602  600]
 [  29  216]]"
0.9084038152384268,0.8012188044109112,0.8192075137465313,0.8189394232854277,0.7982510930668333,0.8401639344262295,0.37973026909264335,"[[2556  646]
 [  39  205]]"
0.9257109714591646,0.8175224833188279,0.8546635393695268,0.8535661970298221,0.811367895065584,0.8979591836734694,0.42734388540794493,"[[2598  604]
 [  25  220]]"
