ROC-AUC,Accuracy,BA,G-mean,Specificity,Sensitivity,MCC,cm
0.9597305255643793,0.8874383521903104,0.8941809328353453,0.8941463878346729,0.8863210493441599,0.9020408163265307,0.5396430234218095,"[[2838  364]
 [  24  221]]"
0.9615418934594451,0.889759210908036,0.8954301520733216,0.8954057495684195,0.8888194878201124,0.9020408163265307,0.5443329553739311,"[[2846  356]
 [  24  221]]"
0.9563793037514818,0.8804757760371338,0.8960872668867672,0.8959024536124812,0.8778888194878202,0.9142857142857143,0.5316556095251163,"[[2811  391]
 [  21  224]]"
0.9648867417048018,0.8865680301711634,0.9106744509171564,0.910240784638997,0.8825733916302311,0.9387755102040817,0.5544334929667054,"[[2826  376]
 [  15  230]]"
0.9530838819999795,0.8914683691236216,0.8829151350078333,0.8828589060805758,0.8928794503435353,0.8729508196721312,0.5340129487814438,"[[2859  343]
 [  31  213]]"
0.9504531606521435,0.8804757760371338,0.879125291590715,0.8791238820466108,0.8806995627732667,0.8775510204081632,0.5148691416054605,"[[2820  382]
 [  30  215]]"
0.9642034952644393,0.8859878154917319,0.9028234904205279,0.9026101567287463,0.8831980012492192,0.9224489795918367,0.5459704417737942,"[[2828  374]
 [  19  226]]"
0.9621295363866972,0.8929503916449086,0.8990324924473225,0.899004535579446,0.8919425359150531,0.9061224489795918,0.5527604506587774,"[[2856  346]
 [  23  222]]"
0.9625871585361189,0.8871482448505947,0.9015634361177325,0.9014068215437085,0.8847595252966896,0.9183673469387755,0.5464290188588363,"[[2833  369]
 [  20  225]]"
0.9562338087875405,0.8882762623331398,0.8868765423249814,0.8868750432486353,0.8885071830106184,0.8852459016393442,0.5330437387226401,"[[2845  357]
 [  28  216]]"
0.9531032900355645,0.8813460980562808,0.8814784127267397,0.881478399232319,0.8813241723922548,0.8816326530612245,0.5184082807057565,"[[2822  380]
 [  29  216]]"
0.9591900470369285,0.8880185668697418,0.8963779015666229,0.8963249333878305,0.886633354153654,0.9061224489795918,0.5426507255954838,"[[2839  363]
 [  23  222]]"
0.9540134354803758,0.8767043806208297,0.8827493020943543,0.8827211765598302,0.8757026858213617,0.889795918367347,0.5134259535336636,"[[2804  398]
 [  27  218]]"
0.9549376027737766,0.886858137510879,0.890099300182284,0.8900912812771485,0.8863210493441599,0.8938775510204081,0.5347836100932567,"[[2838  364]
 [  26  219]]"
0.9669929654621598,0.8961114335461404,0.9157020202537349,0.9154175660317349,0.8928794503435353,0.9385245901639344,0.5731605773201525,"[[2859  343]
 [  15  229]]"
0.9534971765095794,0.8804757760371338,0.879125291590715,0.8791238820466108,0.8806995627732667,0.8775510204081632,0.5148691416054605,"[[2820  382]
 [  30  215]]"
0.9677153309793624,0.8874383521903104,0.9092582442096139,0.9089024057728483,0.8838226108682073,0.9346938775510204,0.5543275384849141,"[[2830  372]
 [  16  229]]"
0.9549809430330533,0.8877284595300261,0.8811444377876072,0.88111101108262,0.8888194878201124,0.8734693877551021,0.527237059415051,"[[2846  356]
 [  31  214]]"
