Split,Fold,Accuracy,AUC,Recall,MCC,Sensitivity,Specificity,BA
CV-Train,0,0.9065,0.0,0.9065,0.6283,1.0,0.8991,0.9495
CV-Train,1,0.9051,0.0,0.9051,0.6252,1.0,0.8976,0.9488
CV-Train,2,0.9109,0.0,0.9109,0.6385,1.0,0.9038,0.9519
CV-Train,3,0.905,0.0,0.905,0.6252,1.0,0.8974,0.9487
CV-Train,4,0.9081,0.0,0.9081,0.6324,1.0,0.9009,0.9504
CV-Val,0,0.8834,0.0,0.8834,0.5308,0.8872,0.8831,0.8852
CV-Val,1,0.8945,0.0,0.8945,0.5466,0.8722,0.8962,0.8842
CV-Val,2,0.8939,0.0,0.8939,0.5556,0.8947,0.8939,0.8943
CV-Val,3,0.8706,0.0,0.8706,0.5019,0.8788,0.87,0.8744
CV-Val,4,0.8806,0.0,0.8806,0.5027,0.8409,0.8837,0.8623
CV-Train,Mean,0.9071,0.0,0.9071,0.6299,1.0,0.8998,0.9499
CV-Train,Std,0.0022,0.0,0.0022,0.005,0.0,0.0024,0.0012
CV-Val,Mean,0.8846,0.0,0.8846,0.5275,0.8748,0.8854,0.8801
CV-Val,Std,0.0089,0.0,0.0089,0.0221,0.0186,0.0093,0.0109
Train,,0.9055,1.0,0.9055,0.6263,1.0,0.898,0.949
