,number,values_0,values_1,datetime_start,datetime_complete,duration,params_boosting_type,params_lr,params_n_estimators,params_n_voters,system_attrs_nsga2:generation,state
0,0,0.8738892689147306,0.4766843516019192,2024-05-30 22:59:13.237040,2024-05-30 22:59:46.903947,0 days 00:00:33.666907,dart,0.00021130662473824654,60,16,0,COMPLETE
1,1,0.8738892689147306,0.4766843516019192,2024-05-30 22:59:46.905270,2024-05-30 23:00:19.085195,0 days 00:00:32.179925,dart,0.003058936897508187,60,16,0,COMPLETE
2,2,0.6824546291370035,0.5162126606095031,2024-05-30 23:00:19.086077,2024-05-30 23:00:56.315368,0 days 00:00:37.229291,gbdt,0.004207451949780591,160,1,0,COMPLETE
3,3,0.8666029067754385,0.503722912570705,2024-05-30 23:00:56.316209,2024-05-30 23:01:27.242660,0 days 00:00:30.926451,dart,0.003527613604835517,60,12,0,COMPLETE
4,4,0.8752286488814572,0.5060526239807737,2024-05-30 23:01:27.243873,2024-05-30 23:02:39.030473,0 days 00:01:11.786600,dart,0.0040316070156795735,180,13,0,COMPLETE
5,5,0.8885962689907358,0.48935734962652266,2024-05-30 23:02:39.031444,2024-05-30 23:04:13.058637,0 days 00:01:34.027193,dart,0.002855544442446853,190,18,0,COMPLETE
6,6,0.8869993159534848,0.4940686502940446,2024-05-30 23:04:13.059800,2024-05-30 23:05:20.567440,0 days 00:01:07.507640,gbdt,0.0016318807245495324,120,17,0,COMPLETE
7,7,0.6639351253663027,0.48405403327552066,2024-05-30 23:05:20.568313,2024-05-30 23:05:59.415290,0 days 00:00:38.846977,dart,0.00023093065883553012,160,1,0,COMPLETE
8,8,0.763765802741253,0.5422747455464366,2024-05-30 23:05:59.416115,2024-05-30 23:06:19.003699,0 days 00:00:19.587584,dart,0.002062544462358512,80,3,0,COMPLETE
9,9,0.8661270299713714,0.5153816072370455,2024-05-30 23:06:19.004833,2024-05-30 23:07:22.933207,0 days 00:01:03.928374,dart,0.0076357262372029906,160,11,0,COMPLETE
10,10,0.8787878020149815,0.5379746726510983,2024-05-30 23:07:22.935089,2024-05-30 23:08:21.809866,0 days 00:00:58.874777,gbdt,0.00010976010981843044,130,11,0,COMPLETE
11,11,0.8856067323689122,0.4806947499229452,2024-05-30 23:08:21.811123,2024-05-30 23:09:05.961980,0 days 00:00:44.150857,gbdt,0.001143520848212769,70,19,0,COMPLETE
12,12,0.8804911622879246,0.49738446830980715,2024-05-30 23:09:05.963018,2024-05-30 23:10:12.036268,0 days 00:01:06.073250,dart,0.0035959147091016675,160,15,0,COMPLETE
13,13,0.8633781763826607,0.5588073992613587,2024-05-30 23:10:12.037072,2024-05-30 23:11:11.154361,0 days 00:00:59.117289,gbdt,0.009328005637277302,190,8,0,COMPLETE
14,14,0.6837758523135129,0.5130249656728836,2024-05-30 23:11:11.155449,2024-05-30 23:11:47.484556,0 days 00:00:36.329107,gbdt,0.0009069434580613882,150,1,0,COMPLETE
15,15,0.8886410275898762,0.5098063058077408,2024-05-30 23:11:47.486192,2024-05-30 23:13:04.645513,0 days 00:01:17.159321,gbdt,0.0027435486360233223,150,15,0,COMPLETE
16,16,0.8645566787430434,0.5138169995041922,2024-05-30 23:13:04.646797,2024-05-30 23:13:41.935962,0 days 00:00:37.289165,dart,0.0002706100903896181,100,11,0,COMPLETE
17,17,0.8836276422352276,0.5199596655068401,2024-05-30 23:13:41.937076,2024-05-30 23:14:35.349651,0 days 00:00:53.412575,gbdt,0.009925688644583933,130,13,0,COMPLETE
18,18,0.8700151165834833,0.5215102837496628,2024-05-30 23:14:35.350804,2024-05-30 23:15:37.368187,0 days 00:01:02.017383,dart,0.0013948202796559782,190,11,0,COMPLETE
19,19,0.8590940183932507,0.5317948912184959,2024-05-30 23:15:37.369295,2024-05-30 23:16:10.857478,0 days 00:00:33.488183,dart,0.00032012937546225953,100,9,0,COMPLETE
20,20,0.6788156705767103,0.5059170792414571,2024-05-30 23:16:10.858399,2024-05-30 23:16:42.286295,0 days 00:00:31.427896,gbdt,0.0003245613151781227,140,1,0,COMPLETE
21,21,0.8699213768758498,0.49148122160194396,2024-05-30 23:16:42.287465,2024-05-30 23:17:27.798590,0 days 00:00:45.511125,dart,0.0010494426021253821,110,14,0,COMPLETE
22,22,0.8527104287535997,0.5432849677473072,2024-05-30 23:17:27.799866,2024-05-30 23:18:21.836913,0 days 00:00:54.037047,dart,0.006825788859883114,200,8,0,COMPLETE
23,23,0.8842812866830501,0.49560841214649287,2024-05-30 23:18:21.838046,2024-05-30 23:19:11.800073,0 days 00:00:49.962027,gbdt,0.00023133919304696798,110,16,0,COMPLETE
24,24,0.8891924873113594,0.4975465352697261,2024-05-30 23:19:11.801205,2024-05-30 23:20:39.811086,0 days 00:01:28.009881,gbdt,0.0022994627464311464,190,17,0,COMPLETE
25,25,0.8447298860766976,0.5715823901187269,2024-05-30 23:20:39.812188,2024-05-30 23:21:13.375576,0 days 00:00:33.563388,gbdt,0.00014714925682505564,130,6,0,COMPLETE
26,26,0.8840097793316612,0.485050289171389,2024-05-30 23:21:13.376392,2024-05-30 23:22:16.144240,0 days 00:01:02.767848,dart,0.0002520948641045967,130,17,0,COMPLETE
27,27,0.8819635512992661,0.49169630639917866,2024-05-30 23:22:16.145540,2024-05-30 23:23:21.800116,0 days 00:01:05.654576,dart,0.0012758320407919557,150,16,0,COMPLETE
28,28,0.8871420367696115,0.5244309917431756,2024-05-30 23:23:21.801395,2024-05-30 23:24:26.995319,0 days 00:01:05.193924,gbdt,0.001145904419609688,170,13,0,COMPLETE
29,29,0.8566208946652817,0.5714572181245801,2024-05-30 23:24:26.996180,2024-05-30 23:24:54.752929,0 days 00:00:27.756749,gbdt,0.0016600186595838585,90,7,0,COMPLETE
30,30,0.7650114430003463,0.5542203807315823,2024-05-30 23:24:54.754096,2024-05-30 23:25:18.122423,0 days 00:00:23.368327,dart,0.00027963123709241885,110,3,0,COMPLETE
31,31,0.8303699762694974,0.5842886545660994,2024-05-30 23:25:18.123602,2024-05-30 23:25:47.073942,0 days 00:00:28.950340,gbdt,0.00013193178169208336,110,5,0,COMPLETE
32,32,0.880237811726753,0.515940796627538,2024-05-30 23:25:47.075075,2024-05-30 23:26:30.727116,0 days 00:00:43.652041,gbdt,0.0009067741021736273,100,13,0,COMPLETE
33,33,0.7445212941146664,0.5516906865912578,2024-05-30 23:26:30.728338,2024-05-30 23:27:02.805291,0 days 00:00:32.076953,gbdt,0.0013077758444477255,180,2,0,COMPLETE
